,V1,V2,V3,Topic,Docs,Stem_doc
1,0.308641975,0.382716049,0.308641975,2," Um, i wanted to actually discuss something with you.",um want actual discuss someth
2,0.297619048,0.386904762,0.31547619,2, I was hoping to have an open conversation about potentially increasing my salery.,hope open convers potenti increas saleri
3,0.283105023,0.242009132,0.474885845,3," So i personally believe that i've done a lot of good things for this company, such as leading many projects, bringing lots of business to the company, and i've taken on a lot of extra work that wasn't necessarily assigned to.",person believ ive done lot good thing compani lead mani project bring lot busi compani ive taken lot extra work wasnt necessarili assign
4,0.33974359,0.320512821,0.33974359,1," Yes, indeed, i do.",yes inde
5,0.371584699,0.289617486,0.338797814,1," Um, in fact, i feel like you could ask anyone in the office, including upper management, about my work ethic.",um fact feel like ask anyon offic includ upper manag work ethic
6,0.321212121,0.339393939,0.339393939,2, And i believe that i worked harder than almost anyone.,believ work harder almost anyon
7,0.327160494,0.345679012,0.327160494,2, what aren't you the one who has the final say?,arent one final say
8,0.362573099,0.34502924,0.292397661,1, i don't understand why we would why you would need thio discuss this with upper management.,dont understand need thio discuss upper manag
9,0.369791667,0.338541667,0.291666667,1," like i said earlier, you could ask anyone in the office including upper management about my work ethic and i think they definitely back .",like said earlier ask anyon offic includ upper manag work ethic think definit back
10,0.465277778,0.340277778,0.194444444,1," i understand i understand and i definitely i respect that, but i just think that i'm asking to just think about raising the salary considering that i've been working here for three years, i've never had any problems i've won numerous employee of the month awards as well as earning the highest productivity rate in the office last year and considering that i have filled in for higher management numerous times, i believe that the current salary i have doesn't reflect accurately what i'm capable of doing, .",understand understand definit respect just think im ask just think rais salari consid ive work three year ive never problem ive won numer employe month award well earn highest product rate offic last year consid fill higher manag numer time believ current salari doesnt reflect accur im capabl
11,0.375757576,0.321212121,0.303030303,1, Can you can you explain a little bit more?,can can explain littl bit
12,0.329218107,0.41563786,0.255144033,2," I would definitely wouldn't say it's very urgent, but i would i would appreciate if we could just get get it into the talks and just thinking about, like, raising my salary, considering i've been working for the past three years, maybe, like, on my fourth year of working, i would expect, not expect, but i would appreciate ah, higher raise a raise.",definit wouldnt say urgent appreci just get get talk just think like rais salari consid ive work past three year mayb like fourth year work expect expect appreci ah higher rais rais
13,0.333333333,0.333333333,0.333333333,1," Um, but i do understand that is a long process.",um understand long process
14,0.312169312,0.423280423,0.264550265,2," No, because i definitely think, considering the way how open you are, of discussing the possibility of a raise that i could come back next year or the year after that.",definit think consid way open discuss possibl rais come back next year year
15,0.282485876,0.367231638,0.350282486,2," And try to, you know, discuss the higher salary when the future, when the company is going to be doing much better.",tri know discuss higher salari futur compani go much better
16,0.314465409,0.352201258,0.333333333,2, And when i will be more much more experienced than too .,will much experienc
17,0.326797386,0.326797386,0.346405229,3, Cool.,cool
18,0.346405229,0.326797386,0.326797386,1, Thanks.,thank
19,0.314465409,0.371069182,0.314465409,2, I was hoping to talk to you about something.,hope talk someth
20,0.292397661,0.415204678,0.292397661,2, I just wanted to have an open conversation with you about potentially increasing in my salary.,just want open convers potenti increas salari
21,0.407407407,0.296296296,0.296296296,1," Um, well, i've been at this company for a long time for three years, and i haven't received a pay raise and all three of these years.",um well ive compani long time three year havent receiv pay rais three year
22,0.333333333,0.297619048,0.369047619,3," Um, i believe that i have done really good work in this company.",um believ done realli good work compani
23,0.31547619,0.333333333,0.351190476,3," I put in a lot of effort on, and i think that results speak for themselves.",put lot effort think result speak
24,0.415204678,0.292397661,0.292397661,1, I've won employee of the month awards numerous times.,ive won employe month award numer time
25,0.43715847,0.273224044,0.289617486,1," I have the highest productivity rate for the office in the last year, and i filled in for upper management several times.",highest product rate offic last year fill upper manag sever time
26,0.31547619,0.31547619,0.369047619,3, So i do believe that i am doing a lot of good work here and that i'm deserving of a raise.,believ lot good work im deserv rais
27,0.314465409,0.333333333,0.352201258,3, i think that i do more than my colleagues who are in the same position.,think colleagu posit
28,0.345679012,0.308641975,0.345679012,1, I've also been here for a longer time.,ive also longer time
29,0.326797386,0.326797386,0.346405229,3, So i have more experience.,experi
30,0.343434343,0.358585859,0.297979798,2," Um, and i think that if you just look at, you know, my employment records, or if you look at your feedback from my managers, that you'll see that i've done above and beyond what a regular worker does here.",um think just look know employ record look feedback manag youll see ive done beyond regular worker
31,0.303030303,0.357575758,0.339393939,2," Oh, um, i guess i just wanted to give you a heads up.",oh um guess just want give head
32,0.333333333,0.314465409,0.352201258,3, And i knew that you would have a lot of influence on that.,knew lot influenc
33,0.308641975,0.345679012,0.345679012,2, I guess I will just apply for that.,guess will just appli
34,0.308641975,0.364197531,0.327160494,2," Um, i think that i will definitely continue.",um think will definit continu
35,0.314465409,0.352201258,0.333333333,2," To, keep up the word work.",keep word work
36,0.345679012,0.345679012,0.308641975,1, I think that i've been keeping now.,think ive keep now
37,0.308641975,0.345679012,0.345679012,2, I definitely think i could bring more customers.,definit think bring custom
38,0.333333333,0.350282486,0.316384181,2," And i think that in the future, i have the ability to do really well, in a higher management position get.",think futur abil realli well higher manag posit get
39,0.311111111,0.294444444,0.394444444,3," I understand the vision of the company well, and we'll be able to lead it and do better things for the future.",understand vision compani well well abl lead better thing futur
40,0.320512821,0.358974359,0.320512821,2," Yeah, absolutely.",yeah absolut
41,0.326797386,0.346405229,0.326797386,2, Yeah.,yeah
42,0.304597701,0.33908046,0.356321839,3," I think that that's, always something that I’m looking for, more opportunities to prove myself.",think that alway someth ’m look opportun prove
43,0.320512821,0.358974359,0.320512821,2," Yeah, absolutely.",yeah absolut
44,0.303030303,0.321212121,0.375757576,3," Um, and i just tell them everything that I’ve told you.",um just tell everyth ’ve told
45,0.31547619,0.333333333,0.351190476,3, I think bring in my work records and they will speak for themselves.,think bring work record will speak
46,0.308641975,0.382716049,0.308641975,2, i actually wanted to discuss something with you.,actual want discuss someth
47,0.297619048,0.404761905,0.297619048,2, I was hoping to open a conversation with you about potentially increasing my salary.,hope open convers potenti increas salari
48,0.270531401,0.241545894,0.487922705,3," I have done a lot of good things for the company, I’ve led many projects running a lot of business for the company, and i've taken a lot of extra work that was not assigned to me.",done lot good thing compani ’ve led mani project run lot busi compani ive taken lot extra work assign
49,0.352201258,0.314465409,0.333333333,1," Oh, i can show them all the work.",oh can show work
50,0.326797386,0.346405229,0.326797386,2, I think.,think
51,0.364197531,0.327160494,0.308641975,1," You know, for the past couple of months.",know past coupl month
52,0.320512821,0.33974359,0.33974359,2,  I think they would Be very impressed.,think impress
53,0.33974359,0.33974359,0.320512821,1," Okay, thank you.",okay thank
54,0.358974359,0.320512821,0.320512821,1, I really appreciate that.,realli appreci
55,0.326797386,0.346405229,0.326797386,2, When do you think you could do that?,think
56,0.314465409,0.314465409,0.371069182,3," I’m sorry, excuse me?",’m sorri excus
