"","V1","V2","V3","Topic","Docs"
"1",0.268817204301075,0.28494623655914,0.446236559139785,3," Hello sir, Uh, no, There's, no problem. I wanted to discuss something with you. I was going to have an open conversation about potentially increasing my salary. "
"2",0.315476190476191,0.333333333333333,0.351190476190476,3," I appreciate the, uh, support and, um, thank you for the consideration, and i wouldn't go above your head. "
"3",0.473484848484849,0.212121212121212,0.314393939393939,1," Hello sir, Uh, no, There's, no problem. I wanted to discuss something with you. I was going to have an open conversation about potentially increasing my salary.  ~  I've done a lot of things for the company. I’ve lead many projects brought in a lot of business for the company, have taken a lot of extra work that was not assigned to me.  ~  i can show them all the work that i've been doing with past couple of months. I believe they would be impressed,"
"4",0.323809523809524,0.352380952380952,0.323809523809524,2," In other companies? i haven't considered that. But if you feel that that's, the only way for me to excel my career, then i might have to consider that in the future. ~  Yeah, no, i definitely understand, um, and i hope that we can work together to come to a conclusion. "
"5",0.315476190476191,0.333333333333333,0.351190476190476,3," Thank you. Appreciate it, I’ll keep working hard.  ~  No, thank you."
"6",0.273224043715847,0.289617486338798,0.437158469945355,3," No, sir, I just wanted to discuss something with you. I was hoping to have a open conversation with you about potentially increasing my salary. "
"7",0.256172839506173,0.311728395061728,0.432098765432099,3," No, sir, I just wanted to discuss something with you. I was hoping to have a open conversation with you about potentially increasing my salary.  ~  No. Now, whenever it's, convenient for you, I know you’re very busy and are doing a lot of things for the company but if you could talk to them this quarter about my work and if I deserve a pay raise, it would go a long way for me.  ~  I understand that. I do appreciate your feedback, but it would go a long way from me if you could at least try and know you're busy. But if you could take a few minutes out of your busy schedule to talk to the higher ups about it I would really appreciate it. Just put that seed in their mind, so when the economy does get better, they have me on their mind ~  Thank you, sir for your time. I appreciate it."
"8",0.584967320261438,0.212418300653595,0.202614379084967,1," I’ve done a lot of good things with company. Lead many projects, brought in a lot of business company and taking a lot of extra work that was not assigned to me.  ~  Well, like i've reiterated earlier i brought on a lot of business for the company, i take a lot of extra projects and for those reasons. I do believe i am eligible for a higher pay raise seeing as I've received numerous times to play the month, high productivity rate, and i have even applied numerous times for higher management"
"9",0.40952380952381,0.283809523809524,0.306666666666667,1," You ask anyone in the office, including upper management, about my work ethic, I work harder than almost anyone.  ~  you'd ask your upper management before you give me a raise? Is that correct?  ~  yeah, yeah, okay, so would you be able to talk to them at some point this quarter?  ~  No. Now, whenever it's, convenient for you, I know you’re very busy and are doing a lot of things for the company but if you could talk to them this quarter about my work and if I deserve a pay raise, it would go a long way for me.  ~  Well, like i've reiterated earlier i brought on a lot of business for the company, i take a lot of extra projects and for those reasons. I do believe i am eligible for a higher pay raise seeing as I've received numerous times to play the month, high productivity rate, and i have even applied numerous times for higher management ~  I understand that. I do appreciate your feedback, but it would go a long way from me if you could at least try and know you're busy. But if you could take a few minutes out of your busy schedule to talk to the higher ups about it I would really appreciate it. Just put that seed in their mind, so when the economy does get better, they have me on their mind ~  i understand that i don't need the pay raise immediately just the appreciation that the sign that will you ask for them and they wanted to give a pay raise whenever it would come in and it would be very beneficial to me so i completely understand the situation "
"10",0.248888888888889,0.395555555555556,0.355555555555556,2,"  thank you so much so i really do appreciate it if you could let me know how that conversation goes that would be great  ~  Okay, I did not know that i'm still very new to the culture of chinese companies. So from, like from now, what is the correct way for an employee to seek out a raise if you can’t do it directly? "
"11",0.304597701149425,0.304597701149425,0.390804597701149,3," no ma'am no problem at all i was just wondering if we could have open conversation about increasing my salary"
"12",0.304597701149425,0.304597701149425,0.390804597701149,3," no ma'am no problem at all i was just wondering if we could have open conversation about increasing my salary"
"13",0.304597701149425,0.32183908045977,0.373563218390805,3," no ma'am no problem at all i was just wondering if we could have open conversation about increasing my salary"
"14",0.424242424242424,0.315151515151515,0.260606060606061,1," i've been here for several years now i have received a lot of employee of the month awards stood in for higher ups quite a few times and i work extremely hard for this company i just feel my salary is not reflective of the good work i have been doing ~  if there is a higher position i could take. That would be amazing. But i would be perfectly content just increasing my current salary with my current position as well.  ~  Well, i mean, i think all of my past work has definitely shown that and you said that based on the results of my work. I think if we look back in the books projects i have worked on, i believe they are more than up to par when considering a raise. So i believe that shows that i earned it. "
"15",0.387878787878788,0.36969696969697,0.242424242424242,1," In terms of money there's never needed in my opinion but i would like to make progress i need to make progress otherwise i don't believe i would be able to stay with this company because we all want to progress in life, we all want to make sure that we're moving forward i think by earning in the past employee of the month awards repeatedly doing the work of many people around me and just overall just working hard every day that i show up i just i believe that the work in the past that i've done will show to the other managers that you have to talk to about it i think it will clearly show i am deserving of it."
"16",0.381944444444444,0.267361111111111,0.350694444444444,1," Oh, you know, actually, i'm really happy with my work here. I've loved working here like the past ten years. Uh, i was just hoping to talk to you about something. Um, i, you know, i've been working here for the past ten years. Um, have won numerous awards. Um, i've increased our companies productivity. And actually, i earned the highest productivity in the last year. I think i've been really beneficial to this company. And i was hoping that after these ten years, it is time for me to get a raise. "
