"","x"
"work",145
"compani",112
"think",105
"like",104
"ive",89
"lot",81
"just",77
"salari",65
"rais",61
"want",55
"can",51
"year",48
"increas",46
"hope",46
"realli",43
"time",43
"well",42
"potenti",40
"someth",38
"will",38
"discuss",37
"project",37
"convers",36
"higher",36
"know",36
"talk",36
"good",36
"get",35
"past",34
"done",33
"manag",33
"busi",32
"yeah",32
"believ",31
"month",31
"understand",31
"open",30
"show",30
"thing",29
"pay",27
"see",26
"actual",25
"help",25
"thank",24
"take",22
"much",22
"that",21
"appreci",20
"extra",20
"mani",20
"your",20
"assign",19
"feel",19
"deserv",19
"abl",19
"employe",19
"taken",18
"offic",18
"brought",17
"put",17
"numer",17
"three",17
"littl",17
"sir",16
"need",16
"upper",16
"also",16
"mayb",16
"definit",15
"way",15
"hard",15
"product",15
"ask",15
"award",15
"make",15
"job",15
"coupl",14
"better",14
"long",14
"dont",14
"kind",14
"come",13
"tri",13
"okay",13
"great",13
"back",13
"one",13
"problem",12
"consid",12
"rate",12
"give",12
"earn",12
"look",12
"level",12
"thought",12
"impress",11
"now",11
"posit",11
"highest",11
"say",11
"led",11
"futur",10
"keep",10
"even",10
"reason",10
"current",10
"move",10
"peopl",10
"yes",10
"fill",10
"right",10
"meet",10
"direct",9
"said",9
"stay",9
"won",9
"success",9
"person",9
"bit",9
"alway",9
"there",8
"might",8
"mind",8
"receiv",8
"anyon",8
"mean",8
"day",8
"sure",8
"last",8
"cours",8
"obvious",8
"bring",8
"process",8
"dedic",8
"passion",8
"grow",8
"role",8
"group",8
"lead",7
"havent",7
"ethic",7
"still",7
"wonder",7
"base",7
"necessarili",7
"end",7
"guess",7
"part",7
"speak",7
"whether",7
"worker",7
"anyth",7
"sinc",7
"continu",7
"earlier",6
"let",6
"love",6
"seen",6
"sound",6
"beyond",6
"commit",6
"leader",6
"career",5
"appli",5
"complet",5
"point",5
"reflect",5
"shown",5
"cant",5
"els",5
"everyth",5
"valu",5
"within",5
"decis",5
"option",5
"fine",5
"word",5
"possibl",5
"approv",5
"number",5
"two",5
"budget",5
"compens",5
"pretti",5
"gone",5
"opportun",5
"feedback",4
"includ",4
"youd",4
"sever",4
"around",4
"forward",4
"money",4
"never",4
"progress",4
"ten",4
"absolut",4
"famili",4
"happen",4
"kid",4
"next",4
"order",4
"import",4
"away",4
"employ",4
"felt",4
"final",4
"fact",4
"wasnt",4
"expect",4
"though",4
"that√",4
"effort",4
"whatev",4
"moment",4
"involv",4
"recogn",4
"offer",4
"charg",4
"boss",4
"it√",4
"best",4
"recent",4
"fix",4
"task",4
"ma√",4
"hello",3
"least",3
"quarter",3
"schedul",3
"whenev",3
"you√",3
"almost",3
"maam",3
"life",3
"opinion",3
"preschool",3
"hate",3
"leav",3
"may",3
"honest",3
"request",3
"benefit",3
"percent",3
"ill",3
"along",3
"behalf",3
"record",3
"stuff",3
"team",3
"four",3
"status",3
"yet",3
"youv",3
"question",3
"stand",3
"contact",3
"close",3
"influenc",3
"experi",3
"learn",3
"accomplish",3
"achiev",3
"rise",3
"head",2
"support",2
"wouldnt",2
"excel",2
"togeth",2
"conveni",2
"economi",2
"minut",2
"seed",2
"elig",2
"high",2
"play",2
"reiter",2
"benefici",2
"correct",2
"harder",2
"situat",2
"goe",2
"seek",2
"amaz",2
"result",2
"clear",2
"everi",2
"happi",2
"ever",2
"nowher",2
"send",2
"six",2
"somewher",2
"start",2
"youll",2
"case",2
"hear",2
"made",2
"far",2
"place",2
"prioriti",2
"especi",2
"exact",2
"amount",2
"tell",2
"near",2
"noth",2
"doesnt",2
"respect",2
"fifteen",2
"communiti",2
"receipt",2
"unhappi",2
"applic",2
"interest",2
"care",2
"answer",2
"fold",2
"incentiv",2
"qualit",2
"invest",2
"leeway",2
"call",2
"provid",2
"today",2
"weve",2
"certain",2
"goal",2
"indic",2
"step",2
"prove",2
"accord",2
"china",2
"requir",2
"chanc",2
"expedit",2
"howev",2
"succeed",2
"eventu",2
"pitch",2
"wouldn√",2
"listen",2
"appropri",2
"told",2
"fair",2
"total",2
"first",2
"remain",2
"usual",2
"came",2
"use",2
"connect",2
"don√",2
"what",2
"full",2
"got",2
"specif",2
"twenti",2
"normal",2
"anoth",2
"expertis",2
"idea",2
"find",2
"strong",2
"face",2
"improv",2
"finish",2
"graduat",2
"knowledg",2
"shoulder",2
"wont",2
"input",2
"check",2
"nice",2
"contribut",2
"gotten",2
"enjoy",2
"perhap",2
"stagnant",2
"vouch",2
"expens",2
"vacat",2
"consider",1
"conclus",1
"immedi",1
"sign",1
"can√",1
"chines",1
"cultur",1
"new",1
"book",1
"content",1
"extrem",1
"par",1
"perfect",1
"quit",1
"stood",1
"otherwis",1
"overal",1
"repeat",1
"term",1
"adjust",1
"ago",1
"basic",1
"corner",1
"cut",1
"frame",1
"period",1
"pull",1
"sick",1
"singl",1
"theyr",1
"true",1
"later",1
"lobbi",1
"anytim",1
"deep",1
"divert",1
"econom",1
"fund",1
"peer",1
"proceed",1
"school",1
"soon",1
"standpoint",1
"superior",1
"worri",1
"aren√",1
"cover",1
"easier",1
"proven",1
"toward",1
"worth",1
"paperwork",1
"submit",1
"wait",1
"bank",1
"saleri",1
"accur",1
"arent",1
"capabl",1
"inde",1
"fourth",1
"urgent",1
"explain",1
"experienc",1
"cool",1
"isnt",1
"run",1
"advertis",1
"bonus",1
"either",1
"present",1
"regard",1
"driven",1
"exposur",1
"given",1
"initi",1
"strive",1
"took",1
"whole",1
"contract",1
"incent",1
"inequ",1
"promis",1
"spend",1
"twice",1
"creat",1
"greater",1
"multipl",1
"choos",1
"passport",1
"profession",1
"regardless",1
"tomorrow",1
"without",1
"addit",1
"blind",1
"ethicand",1
"load",1
"showcas",1
"truli",1
"worthwhil",1
"hey",1
"how√",1
"mine",1
"refer",1
"supervisor",1
"system",1
"exceed",1
"therefor",1
"approach",1
"exercis",1
"entir",1
"evalu",1
"formal",1
"activ",1
"affect",1
"primarili",1
"doubt",1
"less",1
