"document","term","count","overall.rating","testee.id"
"1","convers",1,"9","X2564"
"1","discuss",1,"9","X2564"
"1","hello",1,"9","X2564"
"1","increas",1,"9","X2564"
"1","open",1,"9","X2564"
"1","potenti",1,"9","X2564"
"1","problem",1,"9","X2564"
"1","salari",1,"9","X2564"
"1","sir",1,"9","X2564"
"1","someth",1,"9","X2564"
"1","there",1,"9","X2564"
"1","want",1,"9","X2564"
"2","appreci",1,"9","X2564"
"2","consider",1,"9","X2564"
"2","head",1,"9","X2564"
"2","support",1,"9","X2564"
"2","thank",1,"9","X2564"
"2","wouldnt",1,"9","X2564"
"3","assign",1,"9","X2564"
"3","believ",1,"9","X2564"
"3","brought",1,"9","X2564"
"3","busi",1,"9","X2564"
"3","can",1,"9","X2564"
"3","compani",2,"9","X2564"
"3","convers",1,"9","X2564"
"3","coupl",1,"9","X2564"
"3","discuss",1,"9","X2564"
"3","done",1,"9","X2564"
"3","extra",1,"9","X2564"
"3","hello",1,"9","X2564"
"3","impress",1,"9","X2564"
"3","increas",1,"9","X2564"
"3","ive",2,"9","X2564"
"3","lead",1,"9","X2564"
"3","lot",3,"9","X2564"
"3","mani",1,"9","X2564"
"3","month",1,"9","X2564"
"3","open",1,"9","X2564"
"3","past",1,"9","X2564"
"3","potenti",1,"9","X2564"
"3","problem",1,"9","X2564"
"3","project",1,"9","X2564"
"3","salari",1,"9","X2564"
"3","show",1,"9","X2564"
"3","sir",1,"9","X2564"
"3","someth",1,"9","X2564"
"3","taken",1,"9","X2564"
"3","there",1,"9","X2564"
"3","thing",1,"9","X2564"
"3","want",1,"9","X2564"
"3","work",2,"9","X2564"
"4","can",1,"9","X2564"
"4","career",1,"9","X2564"
"4","come",1,"9","X2564"
"4","compani",1,"9","X2564"
"4","conclus",1,"9","X2564"
"4","consid",2,"9","X2564"
"4","definit",1,"9","X2564"
"4","excel",1,"9","X2564"
"4","feel",1,"9","X2564"
"4","futur",1,"9","X2564"
"4","havent",1,"9","X2564"
"4","hope",1,"9","X2564"
"4","might",1,"9","X2564"
"4","that",1,"9","X2564"
"4","togeth",1,"9","X2564"
