n_estimaters,depth,accuracy,f1,num_topics
100,8,0.668,0.653108033,14
150,10,0.664666667,0.652698571,14
200,10,0.664666667,0.653704484,14
200,16,0.663333333,0.659724524,24
200,18,0.663333333,0.658302111,24
200,20,0.663333333,0.659724524,24
200,22,0.663333333,0.659724524,24
200,24,0.663333333,0.659724524,24
200,26,0.663333333,0.659724524,24
200,28,0.663333333,0.659724524,24
200,8,0.662666667,0.649632609,24
150,10,0.662666667,0.650677771,24
100,10,0.661333333,0.64836395,29
100,12,0.661333333,0.648612245,29
150,12,0.661333333,0.648612245,29
100,14,0.661333333,0.64826967,29
150,14,0.661333333,0.64826967,29
150,18,0.661333333,0.649281734,29
150,20,0.661333333,0.648990136,29
150,22,0.661333333,0.648990136,29
150,24,0.661333333,0.648990136,29
150,26,0.661333333,0.648990136,29
150,28,0.661333333,0.648990136,29
100,4,0.66,0.613939482,28
150,18,0.657333333,0.648999924,27
150,20,0.657333333,0.648999924,27
150,22,0.657333333,0.648999924,27
150,24,0.657333333,0.648999924,27
150,26,0.657333333,0.648999924,27
150,28,0.657333333,0.648999924,27
150,12,0.656,0.651921671,24
200,14,0.656,0.650739016,24
250,8,0.655333333,0.643036447,24
200,10,0.655333333,0.645920823,24
250,10,0.655333333,0.644017511,24
100,10,0.653333333,0.64196657,24
250,14,0.652666667,0.643567641,27
250,16,0.652666667,0.642815144,27
250,18,0.652666667,0.642815144,27
250,20,0.652666667,0.642815144,27
250,22,0.652666667,0.642815144,27
250,24,0.652666667,0.642815144,27
250,26,0.652666667,0.642815144,27
250,28,0.652666667,0.642815144,27
100,10,0.652,0.63747481,14
150,6,0.652,0.638922699,15
150,12,0.650666667,0.640993538,27
150,16,0.650666667,0.641288087,27
200,16,0.650666667,0.640299263,27
200,8,0.65,0.637968786,14
150,8,0.649333333,0.636344986,14
100,2,0.648666667,0.625550281,15
250,8,0.648,0.635789214,14
100,20,0.648,0.63597884,29
100,22,0.648,0.63597884,29
100,24,0.648,0.63597884,29
100,26,0.648,0.63597884,29
100,28,0.648,0.63597884,29
150,8,0.647333333,0.634868665,24
250,14,0.647333333,0.636524345,24
250,16,0.647333333,0.637351939,24
250,18,0.647333333,0.637351939,24
250,20,0.647333333,0.637351939,24
250,22,0.647333333,0.637351939,24
250,24,0.647333333,0.637351939,24
250,26,0.647333333,0.637351939,24
250,28,0.647333333,0.637351939,24
150,10,0.646,0.635544027,29
150,16,0.646,0.634340495,29
200,16,0.646,0.634340495,29
200,18,0.646,0.635154952,29
200,20,0.646,0.635108194,29
200,22,0.646,0.635108194,29
200,24,0.646,0.635108194,29
200,26,0.646,0.635108194,29
200,28,0.646,0.635108194,29
100,8,0.645333333,0.633023265,24
250,10,0.645333333,0.642362008,27
150,4,0.645333333,0.601224497,28
200,14,0.645333333,0.633432148,29
150,12,0.644,0.632346097,14
150,14,0.643333333,0.635566542,14
200,4,0.643333333,0.582923056,23
150,8,0.643333333,0.640003755,27
250,8,0.643333333,0.640003755,27
150,14,0.643333333,0.6314042,27
200,18,0.643333333,0.630936469,27
200,20,0.643333333,0.630936469,27
200,22,0.643333333,0.630936469,27
200,24,0.643333333,0.630936469,27
200,26,0.643333333,0.630936469,27
200,28,0.643333333,0.630936469,27
250,12,0.642,0.632737583,24
150,14,0.642,0.638055069,24
150,16,0.642,0.640655834,24
150,18,0.642,0.639084405,24
150,20,0.642,0.640655834,24
150,22,0.642,0.640655834,24
150,24,0.642,0.640655834,24
150,26,0.642,0.640655834,24
150,28,0.642,0.640655834,24
250,10,0.641333333,0.630553798,14
250,10,0.640666667,0.627074029,15
250,12,0.640666667,0.626585172,15
200,12,0.64,0.63082882,24
100,6,0.64,0.608415451,29
150,6,0.64,0.608415451,29
100,6,0.639333333,0.6198106,14
150,6,0.639333333,0.620065812,14
100,18,0.639333333,0.629208039,24
100,20,0.639333333,0.629208039,24
100,22,0.639333333,0.629208039,24
100,24,0.639333333,0.629208039,24
100,26,0.639333333,0.629208039,24
100,28,0.639333333,0.629208039,24
150,16,0.638666667,0.627316174,14
250,16,0.638666667,0.627081681,14
250,18,0.638666667,0.627081681,14
250,20,0.638666667,0.627081681,14
250,22,0.638666667,0.627081681,14
250,24,0.638666667,0.627081681,14
250,26,0.638666667,0.627081681,14
250,28,0.638666667,0.627081681,14
250,12,0.638,0.626397418,14
250,14,0.638,0.626397418,14
100,6,0.637333333,0.617837784,24
150,6,0.637333333,0.617837784,24
200,6,0.637333333,0.618175492,24
250,6,0.637333333,0.617640059,24
250,14,0.636,0.622723421,20
250,16,0.636,0.623115501,20
250,18,0.636,0.623463914,20
250,20,0.636,0.623463914,20
250,22,0.636,0.623463914,20
250,24,0.636,0.623463914,20
250,26,0.636,0.623463914,20
250,28,0.636,0.623463914,20
100,8,0.636,0.631585075,27
100,18,0.635333333,0.590415371,23
100,12,0.635333333,0.623892979,27
100,4,0.634,0.575400587,23
150,4,0.634,0.575099467,23
250,12,0.634,0.626240046,27
150,8,0.634,0.603811131,29
100,6,0.633333333,0.612344227,15
200,6,0.633333333,0.612344227,15
250,6,0.633333333,0.612344227,15
250,4,0.633333333,0.574592696,23
100,14,0.632666667,0.621833821,27
100,16,0.632666667,0.621833821,27
100,18,0.632666667,0.621393745,27
100,20,0.632666667,0.621393745,27
100,22,0.632666667,0.621393745,27
100,24,0.632666667,0.621393745,27
100,26,0.632666667,0.621393745,27
100,28,0.632666667,0.621393745,27
100,16,0.632,0.622200005,24
250,14,0.632,0.615348774,28
250,18,0.632,0.615306532,28
250,20,0.632,0.615306532,28
250,22,0.632,0.615306532,28
250,24,0.632,0.615306532,28
250,26,0.632,0.615306532,28
250,28,0.632,0.615306532,28
250,16,0.632,0.62088115,29
250,18,0.632,0.621341023,29
200,4,0.631333333,0.588921184,28
250,4,0.631333333,0.588921184,28
100,8,0.630666667,0.617993054,15
150,8,0.630666667,0.617993054,15
250,8,0.630666667,0.617993054,15
100,10,0.630666667,0.617394814,15
150,10,0.630666667,0.617993054,15
200,10,0.630666667,0.617993054,15
100,14,0.630666667,0.617394814,15
150,14,0.630666667,0.617394814,15
200,14,0.630666667,0.617394814,15
250,14,0.630666667,0.617394814,15
100,16,0.630666667,0.617394814,15
150,16,0.630666667,0.617394814,15
200,16,0.630666667,0.617394814,15
250,16,0.630666667,0.617394814,15
