,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.005555823910981417,0.005555855110287666,0.005555716343224049,0.9499971270561218,0.005555934738367796,0.005556108895689249,0.005555806215852499,0.005555867217481136,0.005555849988013506,0.005555861163884401
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9549948573112488,0.005000820849090815,0.0050003728829324245,0.005000533536076546,0.0050005861558020115,0.005000535398721695,0.00500028720125556,0.005000925622880459,0.005000498611479998,0.00500051723793149
2,"Hello, sir. Have you eaten yet?",0.02000013366341591,0.02000013366341591,0.02000013366341591,0.0200020931661129,0.020001674070954323,0.02000013366341591,0.8199952244758606,0.02000013366341591,0.02000013366341591,0.02000013366341591
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.8874861001968384,0.012500392273068428,0.012501831166446209,0.012504005804657936,0.012501482851803303,0.012502619065344334,0.012501644901931286,0.012500831857323647,0.012500309385359287,0.01250077411532402
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.011112179607152939,0.011113387532532215,0.011112005449831486,0.011111852712929249,0.011111605912446976,0.01111180242151022,0.011112108826637268,0.011111454106867313,0.8999911546707153,0.011112451553344727
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.004167032893747091,0.004166829399764538,0.004167345818132162,0.004167176783084869,0.9624963402748108,0.004167592152953148,0.004166924394667149,0.004167031031101942,0.0041668307967484,0.004166897851973772
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.011111513711512089,0.011112968437373638,0.8999904990196228,0.011111460626125336,0.011112264357507229,0.011114688590168953,0.011111592873930931,0.011111661791801453,0.01111214142292738,0.011111201718449593
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.006250124890357256,0.9437466263771057,0.006250835955142975,0.006250265520066023,0.006250385660678148,0.0062504964880645275,0.006250748876482248,0.006250112783163786,0.006250296253710985,0.006250100210309029
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01111146342009306,0.011113914661109447,0.8999919891357422,0.011111298575997353,0.011111975647509098,0.011111680418252945,0.01111272256821394,0.011111408472061157,0.011112040840089321,0.011111495085060596
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.012500104494392872,0.012500116601586342,0.012503726407885551,0.012500463053584099,0.012502200901508331,0.8874924778938293,0.012500179000198841,0.012500508688390255,0.012500104494392872,0.012500105425715446
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.011111514642834663,0.011112970300018787,0.8999906778335571,0.01111146155744791,0.011112264357507229,0.011114531196653843,0.011111593805253506,0.011111662723124027,0.011112143285572529,0.011111203581094742
