,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.004273528233170509,0.004273525904864073,0.9487175345420837,0.004273531027138233,0.004273529164493084,0.0042735314927995205,0.00427353335544467,0.004273532424122095,0.004273529164493084,0.004273571539670229,0.004273558966815472,0.004273522645235062,0.004273529630154371
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9538454413414001,0.003846202278509736,0.003846206935122609,0.003846192266792059,0.003846223931759596,0.003846209729090333,0.0038462479133158922,0.0038462039083242416,0.0038462139200419188,0.003846201580017805,0.003846209729090333,0.003846182953566313,0.0038461945950984955
2,"Hello, sir. Have you eaten yet?",0.015384749509394169,0.015384810976684093,0.015384781174361706,0.015384749509394169,0.015384749509394169,0.015384758822619915,0.8153825998306274,0.015384749509394169,0.015384749509394169,0.015384749509394169,0.015384749509394169,0.015384922735393047,0.015384863130748272
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.009615473449230194,0.8846133947372437,0.009615635499358177,0.009615661576390266,0.009615461342036724,0.00961549486964941,0.009615516290068626,0.009615521878004074,0.009615471586585045,0.009615620598196983,0.009615587070584297,0.009615602903068066,0.009615588933229446
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.8974344730377197,0.008547075092792511,0.00854715146124363,0.008547072298824787,0.0085471011698246,0.00854707695543766,0.008547091856598854,0.008547510951757431,0.0085471011698246,0.008547071367502213,0.008547124452888966,0.008547085337340832,0.008547072298824787
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0032051519956439734,0.0032051594462245703,0.0032051524613052607,0.9615381360054016,0.0032051519956439734,0.003205155720934272,0.0032051519956439734,0.0032051499001681805,0.0032051566522568464,0.0032051510643213987,0.003205150132998824,0.0032051499001681805,0.0032051592133939266
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.00854715146124363,0.008547104895114899,0.00854705274105072,0.00854707695543766,0.008547057397663593,0.008547071367502213,0.008547070436179638,0.008547063916921616,0.8974350690841675,0.008547048084437847,0.008547057397663593,0.008547057397663593,0.00854707695543766
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.004807746969163418,0.0048077292740345,0.004807733464986086,0.004807743243873119,0.9423070549964905,0.0048077525570988655,0.004807735793292522,0.00480779679492116,0.004807742312550545,0.0048077343963086605,0.004807737190276384,0.004807725548744202,0.004807742778211832
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.8974348902702332,0.008547142148017883,0.008547049947082996,0.008547056466341019,0.008547050878405571,0.008547075092792511,0.008547072298824787,0.008547059260308743,0.00854719802737236,0.008547092787921429,0.00854706484824419,0.008547166362404823,0.008547060191631317
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.009615467861294746,0.009615455754101276,0.009615453891456127,0.8846145868301392,0.009615431539714336,0.009615440852940083,0.009615455754101276,0.009615443646907806,0.009615457616746426,0.00961543433368206,0.009615431539714336,0.009615431539714336,0.009615532122552395
