,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.8798072934150696,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146,0.004807709250599146
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.31132057309150696,0.0042735254392027855,0.0042735254392027855,0.586114764213562,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855,0.0042735254392027855
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.0029585936572402716,0.9260351657867432,0.0029585936572402716,0.0029585936572402716
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.9399035573005676,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446,0.002403859281912446
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.9465810060501099,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435
5,"No, he is not here. I am taking his place.",0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.6794859766960144,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013,0.012820559553802013
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.8931620717048645,0.004273517057299614,0.004273517057299614,0.004273517057299614,0.004273517057299614
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.8931620121002197,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625,0.004273520316928625
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.9260351061820984,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777,0.002958595287054777
9,Can you explain to me why we are setting up two individual aid stations?,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.862636923789978,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939,0.005494523793458939
