,Original Input,Topic 1,Topic 2
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.967507004737854,0.032493021339178085
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.05965907871723175,0.9403408765792847
2,"Hello, sir. Have you eaten yet?",0.11928697675466537,0.8807129859924316
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.9266660213470459,0.0733339861035347
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06122545525431633,0.9387745261192322
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.02789326012134552,0.9721067547798157
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.059660520404577255,0.9403394460678101
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.4773857295513153,0.5226142406463623
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.10292620211839676,0.8970737457275391
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.06766527146100998,0.9323347210884094
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0596623495221138,0.9403376579284668
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.47168928384780884,0.5283107161521912
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.027890076860785484,0.9721099138259888
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.9402655959129333,0.05973443388938904
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.945883572101593,0.05411647632718086
15,I don't have any questions right now.,0.8131324052810669,0.1868675798177719
16,"No, he is not here. I am taking his place.",0.7823132872581482,0.217686727643013
17,Can you explain to me why we are setting up two individual aid stations?,0.9159624576568604,0.08403754979372025
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09574628621339798,0.9042537212371826
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9675104022026062,0.03248957544565201
20,I’d rather not say.,0.17509731650352478,0.8249027132987976
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06124810501933098,0.9387518763542175
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08219001442193985,0.9178100228309631
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09575504064559937,0.9042449593544006
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.94586580991745,0.05413416400551796
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512687921524048,0.04873121529817581
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512695670127869,0.04873042181134224
27,"I'd really prefer just to wait until the brief, if that is ok.",0.08898139744997025,0.9110186100006104
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.059677742421627045,0.9403222799301147
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.05967748910188675,0.9403225183486938
30,"Hello, sir. Have you eaten yet?",0.11925899982452393,0.8807410597801208
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.0676657184958458,0.9323342442512512
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06124512478709221,0.9387549161911011
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.05966480076313019,0.9403351545333862
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.9256084561347961,0.07439158111810684
35,"Hello, sir. Have you eaten yet?",0.11929833889007568,0.8807016611099243
36,"Hello, sir. Have you eaten yet?",0.11926540732383728,0.8807345628738403
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08218938857316971,0.9178106188774109
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.059645719826221466,0.9403542876243591
39,"No, he is not here. I am taking his place.",0.7822527289390564,0.2177472710609436
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9134325385093689,0.08656749129295349
41,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.059660255908966064,0.9403398036956787
42,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.1885138899087906,0.8114861249923706
43,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9425027966499329,0.05749719589948654
44,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.06766464561223984,0.9323353171348572
45,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.6392499804496765,0.3607500195503235
46,Why does it have to be in private? We don't have a ton of time. ,0.14810404181480408,0.8518959283828735
47,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.6391804814338684,0.3608194887638092
48,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9675195217132568,0.03248053416609764
49,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9500649571418762,0.049935080111026764
50,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.92667555809021,0.07332441210746765
51,Can I talk with you in private once questions are over?,0.26531827449798584,0.7346817255020142
52,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.18849347531795502,0.8115065693855286
53,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.10418766736984253,0.8958123326301575
54,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.06766377389431,0.9323362112045288
55,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.05963233858346939,0.9403676390647888
56,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.9555349946022034,0.04446505755186081
57,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.9555352926254272,0.04446475952863693
58,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9500485062599182,0.049951545894145966
59,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.927356481552124,0.07264353334903717
60,The plan was to use one large aid station with American medics running it. How is this way better?,0.9152082204818726,0.08479179441928864
61,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.47928452491760254,0.5207154750823975
62,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.061224568635225296,0.9387754797935486
63,"No, he is not here. I am taking his place.",0.7821584939956665,0.2178414911031723
64,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.6391808390617371,0.36081910133361816
65,The plan was to use one large aid station with American medics running it. How is this way better?,0.915209949016571,0.08479002863168716
66,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06124574691057205,0.9387543201446533
67,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.950066864490509,0.04993313550949097
68,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.10297363996505737,0.8970264196395874
69,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9425037503242493,0.05749621242284775
70,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.951272189617157,0.04872780665755272
71,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.925183892250061,0.07481613755226135
72,"No, he is not here. I am taking his place.",0.7823014259338379,0.2176986038684845
73,I’d rather not say.,0.17511574923992157,0.8248842358589172
74,It won't take long.,0.19756947457790375,0.8024305105209351
75,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.061244040727615356,0.938755989074707
76,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.6385191082954407,0.3614808917045593
77,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512693881988525,0.048730574548244476
78,The plan was to use one large aid station with American medics running it. How is this way better?,0.915195643901825,0.08480431884527206
79,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.027888866141438484,0.9721111059188843
80,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.92735356092453,0.07264641672372818
81,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9675099849700928,0.03249000012874603
82,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06122613325715065,0.9387739300727844
83,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.9266498684883118,0.07335012406110764
84,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.9402580857276917,0.05974189564585686
85,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9251903891563416,0.07480961084365845
86,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512478709220886,0.048752132803201675
87,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.062365639954805374,0.9376343488693237
88,I don't have any questions right now.,0.8129974603652954,0.1870025098323822
89,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.9555419683456421,0.04445803537964821
90,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.9266675114631653,0.07333248853683472
91,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08217926323413849,0.9178206920623779
92,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.10422039031982422,0.8957796096801758
93,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08218304812908173,0.9178169369697571
94,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9500658512115479,0.04993414133787155
95,It won't take long.,0.1975659877061844,0.802433967590332
96,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09576189517974854,0.9042381048202515
97,"No, he is not here. I am taking his place.",0.7822438478469849,0.21775619685649872
98,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.92518550157547,0.07481453567743301
99,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.10420657694339752,0.8957933783531189
100,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08220956474542618,0.9177904725074768
101,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.05967633053660393,0.9403237104415894
102,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9117224216461182,0.08827754855155945
103,I’d rather not say.,0.17509958148002625,0.8249004483222961
104,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.9458642601966858,0.0541357696056366
105,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9500526785850525,0.04994739219546318
106,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.9458871483802795,0.05411285161972046
107,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9134193658828735,0.08658058196306229
108,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9675074219703674,0.03249252587556839
109,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.059634946286678314,0.9403650760650635
110,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.053945835679769516,0.9460541605949402
111,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.067662812769413,0.9323371648788452
112,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.053967829793691635,0.9460321664810181
113,Can you explain to me why we are setting up two individual aid stations?,0.9159793257713318,0.0840207040309906
114,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.48012426495552063,0.5198757648468018
115,Can you explain to me why we are setting up two individual aid stations?,0.9159671068191528,0.08403285592794418
116,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.6392217874526978,0.36077821254730225
117,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0623789057135582,0.9376211166381836
118,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.08221081644296646,0.9177891612052917
119,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.9555366039276123,0.0444633774459362
120,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512702226638794,0.048729825764894485
121,Why does it have to be in private? We don't have a ton of time. ,0.14808447659015656,0.8519155383110046
122,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9134613275527954,0.08653868734836578
123,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9424939155578613,0.05750611796975136
124,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9512699842453003,0.0487300269305706
125,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.18853014707565308,0.8114697933197021
126,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.9561134576797485,0.04388653114438057
127,Can I talk with you in private once questions are over?,0.2652791142463684,0.7347208857536316
128,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.06766403466463089,0.9323359727859497
129,Why does it have to be in private? We don't have a ton of time. ,0.14807504415512085,0.8519249558448792
130,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.06122417747974396,0.9387758374214172
131,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.9561044573783875,0.043895553797483444
132,"No, he is not here. I am taking his place.",0.7822355628013611,0.2177644520998001
133,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.9561091065406799,0.04389093443751335
134,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.05393600836396217,0.9460639953613281
135,He is busy today,0.18632879853248596,0.8136712312698364
136,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.02787942811846733,0.9721205830574036
137,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.9555275440216064,0.04447240009903908
138,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.05964197218418121,0.94035804271698
