,Original Input,Topic 1,Topic 2,Topic 3,Topic 4
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9558831453323364,0.014510788954794407,0.014532852917909622,0.015073142945766449
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.01296968013048172,0.012709008529782295,0.013174865394830704,0.9611464738845825
2,"Hello, sir. Have you eaten yet?",0.050004567950963974,0.8499149680137634,0.0500711053609848,0.0500093512237072
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.03152957558631897,0.9041805863380432,0.032816410064697266,0.031473420560359955
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0295804925262928,0.027881145477294922,0.9138600826263428,0.02867831476032734
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.010620363056659698,0.9678583145141602,0.010969609953463078,0.010551715269684792
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.9159282445907593,0.02790057845413685,0.028315642848610878,0.027855562046170235
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9526469111442566,0.015733735635876656,0.015924545004963875,0.01569479890167713
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.914557933807373,0.02819327637553215,0.029369590803980827,0.027879217639565468
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.5434754490852356,0.39197590947151184,0.03176049143075943,0.03278811648488045
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.9159272909164429,0.02790057845413685,0.028316566720604897,0.027855562046170235
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9526458382606506,0.015733737498521805,0.015925660729408264,0.015694797039031982
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.010620365850627422,0.967857837677002,0.01097012311220169,0.01055171713232994
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.019482281059026718,0.9413843154907227,0.019449325278401375,0.019684096798300743
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.021706579253077507,0.021824488416314125,0.9344571828842163,0.022011708468198776
15,I don't have any questions right now.,0.7935400605201721,0.06415867805480957,0.06557619571685791,0.0767250657081604
16,"No, he is not here. I am taking his place.",0.08337891846895218,0.08339221775531769,0.749845564365387,0.08338335156440735
17,Can you explain to me why we are setting up two individual aid stations?,0.0358484722673893,0.8916139602661133,0.03664189577102661,0.03589564561843872
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.8741604685783386,0.04211986064910889,0.04204190894961357,0.04167778044939041
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9558787941932678,0.014510802924633026,0.014532860368490219,0.01507747545838356
20,I’d rather not say.,0.08335664868354797,0.08337191492319107,0.0846300721168518,0.7486413717269897
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.029599618166685104,0.02788115106523037,0.9138407707214355,0.028678426519036293
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.01984933577477932,0.9413915276527405,0.020124245434999466,0.018634874373674393
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.8741595149040222,0.042120616883039474,0.042042121291160583,0.04167778044939041
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.02170698344707489,0.021824495866894722,0.9344473481178284,0.022021153941750526
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9353582859039307,0.02168579213321209,0.021535245701670647,0.021420689299702644
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.935357391834259,0.021686740219593048,0.02153518609702587,0.021420689299702644
27,"I'd really prefer just to wait until the brief, if that is ok.",0.8724084496498108,0.041680268943309784,0.04332418367266655,0.04258712753653526
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.915926456451416,0.02790057845413685,0.028317371383309364,0.027855563908815384
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.9159278273582458,0.02790057845413685,0.028316061943769455,0.027855562046170235
30,"Hello, sir. Have you eaten yet?",0.05000457912683487,0.849915087223053,0.05007098615169525,0.050009358674287796
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.5434041023254395,0.3920472264289856,0.03176044672727585,0.0327882319688797
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.029578527435660362,0.027881145477294922,0.9138619899749756,0.028678305447101593
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.012969842180609703,0.012709015049040318,0.013186215423047543,0.9611349701881409
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.028229596093297005,0.028037305921316147,0.02800423838198185,0.9157288074493408
35,"Hello, sir. Have you eaten yet?",0.05000457540154457,0.8499153852462769,0.050070639699697495,0.0500093474984169
36,"Hello, sir. Have you eaten yet?",0.050004567950963974,0.8499149680137634,0.050071101635694504,0.0500093512237072
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.019849266856908798,0.9413760304450989,0.020139852538704872,0.018634889274835587
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.01296968199312687,0.012709008529782295,0.013172667473554611,0.9611486792564392
39,"No, he is not here. I am taking his place.",0.08337894082069397,0.08339224755764008,0.7498454451560974,0.08338338136672974
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9227988123893738,0.025798393413424492,0.025986846536397934,0.025416003540158272
