,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006945418193936348,0.9513562917709351,0.006946598179638386,0.006948061753064394,0.006947278510779142,0.00694999797269702,0.006948299240320921,0.006958043668419123
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.006251992657780647,0.006254886277019978,0.006252908147871494,0.006251618266105652,0.006258014123886824,0.006252293474972248,0.9562225341796875,0.006255713291466236
2,"Hello, sir. Have you eaten yet?",0.02500036731362343,0.02500036731362343,0.02500036731362343,0.025042572990059853,0.025006018579006195,0.8249432444572449,0.02500666119158268,0.02500036731362343
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.015628542751073837,0.015635116025805473,0.01563611999154091,0.015644513070583344,0.015634508803486824,0.8905611038208008,0.0156268123537302,0.015633298084139824
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013926764018833637,0.9026917219161987,0.01389847882091999,0.01389447320252657,0.013904175721108913,0.013893945142626762,0.013896139338612556,0.013894334435462952
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.005210067145526409,0.005210658069700003,0.0052115824073553085,0.9635257720947266,0.005210915580391884,0.005210575647652149,0.005209743045270443,0.00521071907132864
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.013892755843698978,0.013894210569560528,0.013896040618419647,0.01389399915933609,0.013894250616431236,0.9027380347251892,0.013897260650992393,0.013893392868340015
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.007827413268387318,0.007817219011485577,0.9452651739120483,0.007822100073099136,0.0078157689422369,0.007824589498341084,0.007813342846930027,0.007814375683665276
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.013897445984184742,0.013893520459532738,0.013895533978939056,0.013895010575652122,0.01390014123171568,0.013898737728595734,0.9027263522148132,0.013893278315663338
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.015626611188054085,0.015625979751348495,0.8905752897262573,0.015651466324925423,0.015633950009942055,0.01562548242509365,0.015625126659870148,0.015636105090379715
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.013892756775021553,0.013894212432205677,0.013896043412387371,0.01389400102198124,0.013894252479076385,0.9027380347251892,0.013897285796701908,0.013893394730985165
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.007826262153685093,0.007817217148840427,0.9452663064002991,0.007822098210453987,0.007815767079591751,0.007824587635695934,0.007813341915607452,0.007814374752342701
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.005210066679865122,0.005210657604038715,0.005211579147726297,0.9635257720947266,0.005210915580391884,0.005210575181990862,0.005209742579609156,0.005210718605667353
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.009625313803553581,0.009621337056159973,0.009632263332605362,0.9325962066650391,0.009639558382332325,0.009627126157283783,0.00963624194264412,0.00962196197360754
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.010422199964523315,0.010422594845294952,0.010424396954476833,0.010420321486890316,0.9270225167274475,0.010423842817544937,0.010438123717904091,0.010426019318401814
15,I don't have any questions right now.,0.031270962208509445,0.03125138208270073,0.781033992767334,0.03126579523086548,0.03130526468157768,0.03128141537308693,0.031325750052928925,0.03126547113060951
16,"No, he is not here. I am taking his place.",0.041754283010959625,0.04167000949382782,0.04168646037578583,0.04170927032828331,0.04166712239384651,0.04167497530579567,0.7080651521682739,0.04177273437380791
17,Can you explain to me why we are setting up two individual aid stations?,0.017861442640423775,0.01789689250290394,0.017870856449007988,0.017869167029857635,0.017867084592580795,0.8749106526374817,0.01785844936966896,0.017865430563688278
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.8540307879447937,0.020843718200922012,0.0208364836871624,0.020863182842731476,0.020857684314250946,0.020875822752714157,0.020847046747803688,0.020845303311944008
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006945419125258923,0.9513556957244873,0.006946598645299673,0.006948062218725681,0.00694727897644043,0.006949998438358307,0.006948299705982208,0.006958676036447287
20,I’d rather not say.,0.708131730556488,0.04166998341679573,0.04169641435146332,0.041714780032634735,0.04166709631681442,0.04171476140618324,0.041735291481018066,0.041669923812150955
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.01392306201159954,0.9026954174041748,0.013898477889597416,0.01389447320252657,0.013904173858463764,0.013893945142626762,0.013896138407289982,0.013894334435462952
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.008931152522563934,0.9374758005142212,0.008931622840464115,0.008932686410844326,0.008932455442845821,0.00893238466233015,0.008931836113333702,0.008932081051170826
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.8540303707122803,0.02084372006356716,0.02083648554980755,0.020863184705376625,0.020857688039541245,0.020876241847872734,0.020847048610448837,0.020845307037234306
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.01042219903320074,0.010422592982649803,0.010424395091831684,0.010420320555567741,0.9270248413085938,0.010423840954899788,0.010435779578983784,0.01042601652443409
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420825332403183,0.010421720333397388,0.010421030223369598,0.010419650003314018,0.9270437955856323,0.010423872619867325,0.0104273222386837,0.010421790182590485
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420824401080608,0.010421719402074814,0.010421029292047024,0.010419650003314018,0.9270452857017517,0.010423860512673855,0.010425824671983719,0.01042178925126791
27,"I'd really prefer just to wait until the brief, if that is ok.",0.8541466593742371,0.02083922177553177,0.020839964970946312,0.020834561437368393,0.02083640545606613,0.020835526287555695,0.020833391696214676,0.020834287628531456
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.013892758637666702,0.013894214294850826,0.013896032236516476,0.013894001953303814,0.013894252479076385,0.9027381539344788,0.013897265307605267,0.01389339566230774
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.013892758637666702,0.013894214294850826,0.013896025717258453,0.013894001953303814,0.013894252479076385,0.9027381539344788,0.013897255063056946,0.01389339566230774
30,"Hello, sir. Have you eaten yet?",0.02500036731362343,0.02500036731362343,0.02500036731362343,0.025033993646502495,0.025006014853715897,0.8249518275260925,0.025006655603647232,0.02500036731362343
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.015626611188054085,0.015625977888703346,0.8905794620513916,0.015647269785404205,0.015633944422006607,0.01562548242509365,0.015625126659870148,0.015636101365089417
