,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006174180191010237,0.006174417212605476,0.006173769943416119,0.006174333859235048,0.006175394635647535,0.006174364127218723,0.0061774649657309055,0.00617461372166872,0.9506013989448547
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9555403590202332,0.005556440446525812,0.005556941498070955,0.005556561518460512,0.005556326359510422,0.005558186676353216,0.0055587706156075,0.0055585820227861404,0.0055578602477908134
2,"Hello, sir. Have you eaten yet?",0.0222223661839962,0.0222223661839962,0.0222223661839962,0.02222360111773014,0.022223982959985733,0.022225014865398407,0.0222223661839962,0.8222095370292664,0.022228358313441277
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.013893535360693932,0.013894883915781975,0.8888522982597351,0.013893852941691875,0.013892139308154583,0.013890386559069157,0.013896639458835125,0.013889148831367493,0.01389711070805788
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348009273409843,0.012347039766609669,0.012352832593023777,0.012349472381174564,0.012348843738436699,0.012348495423793793,0.012347632087767124,0.012348540127277374,0.9012091159820557
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0046305544674396515,0.9629548788070679,0.004630319774150848,0.004630521405488253,0.004630805924534798,0.004631465766578913,0.00463072769343853,0.004630477167665958,0.004630273673683405
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348063290119171,0.012348816730082035,0.01234650332480669,0.012347284704446793,0.012348773889243603,0.9012160301208496,0.012347864918410778,0.01234815176576376,0.012348494492471218
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0069448030553758144,0.006944689434021711,0.006945115979760885,0.9444332122802734,0.006951262708753347,0.0069448864087462425,0.0069450922310352325,0.0069451420567929745,0.00694579491391778
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.012352051213383675,0.012348050251603127,0.012347555719316006,0.012345810420811176,0.9012121558189392,0.012349392287433147,0.01234740111976862,0.012347045354545116,0.012350519187748432
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.013889792375266552,0.013904489576816559,0.01388899702578783,0.01388899702578783,0.8888631463050842,0.013891665264964104,0.013894909992814064,0.013889004476368427,0.01388899702578783
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348063290119171,0.01234875526279211,0.01234650332480669,0.012347284704446793,0.01234877947717905,0.9012160897254944,0.012347864918410778,0.01234815176576376,0.012348493561148643
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.006944802589714527,0.006944688968360424,0.006945115048438311,0.9444347023963928,0.006949771195650101,0.006944885477423668,0.006945091765373945,0.006945141591131687,0.006945794448256493
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.004630554933100939,0.9629548192024231,0.004630319774150848,0.00463052187114954,0.004630805924534798,0.004631491377949715,0.00463072769343853,0.004630477633327246,0.004630274139344692
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.008552874438464642,0.931602954864502,0.008549852296710014,0.00854865089058876,0.008548770099878311,0.008548727259039879,0.008551637642085552,0.008547930046916008,0.008548647165298462
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.009262960404157639,0.009261103346943855,0.00926318857818842,0.009260187856853008,0.009260470978915691,0.9259063005447388,0.009263215586543083,0.009262356907129288,0.009260178543627262
15,I don't have any questions right now.,0.027786102145910263,0.027781661599874496,0.027791574597358704,0.02780304290354252,0.02780318446457386,0.02778344415128231,0.7776657938957214,0.02777991071343422,0.027805279940366745
16,"No, he is not here. I am taking his place.",0.03703971207141876,0.03703761845827103,0.03703819587826729,0.037046171724796295,0.7036673426628113,0.037037186324596405,0.037038154900074005,0.03705848008394241,0.037037186324596405
17,Can you explain to me why we are setting up two individual aid stations?,0.015877816826105118,0.015877973288297653,0.8729926347732544,0.015873542055487633,0.01587420515716076,0.0158739872276783,0.01587873138487339,0.01587333157658577,0.01587778516113758
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.018521597608923912,0.018519224599003792,0.8518381118774414,0.01851865090429783,0.01852596364915371,0.018519598990678787,0.018519630655646324,0.018518613651394844,0.018518613651394844
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006174180191010237,0.006174417212605476,0.006173769943416119,0.006174333859235048,0.006175395101308823,0.006174364127218723,0.006177500821650028,0.00617461372166872,0.9506013989448547
