,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.012500083073973656,0.012501612305641174,0.012501737102866173,0.012500419281423092,0.012500054202973843,0.887495219707489,0.012500054202973843,0.012500054202973843,0.012500239536166191,0.012500541284680367
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.011112035252153873,0.011115772649645805,0.011113984510302544,0.011112922802567482,0.8999792337417603,0.01111286599189043,0.01111473049968481,0.011111613363027573,0.011113149113953114,0.01111372746527195
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.007694522850215435,0.007693449035286903,0.007693360559642315,0.007694263011217117,0.007693428546190262,0.007692674174904823,0.007695178501307964,0.007693640887737274,0.9307549595832825,0.007694513536989689
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.006251770071685314,0.006251639686524868,0.943740725517273,0.006250823847949505,0.006250767037272453,0.006251079495996237,0.006250998470932245,0.006250523962080479,0.00625073816627264,0.006250930484384298
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.005556020420044661,0.005555722396820784,0.005555757787078619,0.005555818323045969,0.9499977231025696,0.005555653944611549,0.005555697716772556,0.005555850453674793,0.005555883981287479,0.005555851384997368
5,"No, he is not here. I am taking his place.",0.03333454951643944,0.033342305570840836,0.033333610743284225,0.0333372987806797,0.0333431251347065,0.03333403170108795,0.6999585032463074,0.033344488590955734,0.03333646059036255,0.0333356037735939
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01111175399273634,0.011111400090157986,0.011112655512988567,0.01111150998622179,0.011111404746770859,0.011113738641142845,0.01111170556396246,0.8999927043914795,0.011111585423350334,0.011111526750028133
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.011112246662378311,0.011111815460026264,0.011112077161669731,0.011112047359347343,0.011111265048384666,0.011111672036349773,0.011114444583654404,0.8999912738800049,0.011111724190413952,0.01111141312867403
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.9307585954666138,0.007692644372582436,0.007693805266171694,0.007693215738981962,0.007694039028137922,0.007693315390497446,0.007693598512560129,0.0076927440240979195,0.007693983148783445,0.007694000378251076
9,Can you explain to me why we are setting up two individual aid stations?,0.014287034049630165,0.014290707185864449,0.014288731850683689,0.014288338832557201,0.014288720674812794,0.014287666417658329,0.01428778562694788,0.01428593322634697,0.8714064955711365,0.014288598671555519
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.008333581499755383,0.008336198516190052,0.9249908328056335,0.008334195241332054,0.008334100246429443,0.008334402926266193,0.008334153331816196,0.008333433419466019,0.008334334008395672,0.008334731683135033
11,It won't take long.,0.025002019479870796,0.02500236965715885,0.02500077709555626,0.025000713765621185,0.02500189282000065,0.025002356618642807,0.02500215731561184,0.7749837040901184,0.025001605972647667,0.025002403184771538
12,Why does it have to be in private? We don't have a ton of time. ,0.025003982707858086,0.025003042072057724,0.025002479553222656,0.025000175461173058,0.02500288188457489,0.7749741673469543,0.025000236928462982,0.025005817413330078,0.025001710280776024,0.025005554780364037
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.01428653672337532,0.014286636374890804,0.8714167475700378,0.01428682915866375,0.014288038946688175,0.014286684803664684,0.01428583636879921,0.014285948127508163,0.014287144877016544,0.014289560727775097
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.009092098101973534,0.00909105408936739,0.00909170787781477,0.009092037566006184,0.009093443863093853,0.009092442691326141,0.9181721806526184,0.009090964682400227,0.009092136286199093,0.009091963060200214
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0055560152977705,0.005555722396820784,0.005555757787078619,0.005555818323045969,0.9499977231025696,0.005555653944611549,0.005555697716772556,0.005555850453674793,0.005555883981287479,0.005555851384997368
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.010000823065638542,0.909992516040802,0.010000410489737988,0.010003229603171349,0.010000214911997318,0.010000310838222504,0.01000053621828556,0.010000763460993767,0.010000684298574924,0.01000051200389862
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.012501797638833523,0.012500366196036339,0.012500379234552383,0.012500399723649025,0.012500196695327759,0.012500543147325516,0.012500392273068428,0.8874919414520264,0.012503382749855518,0.012500562705099583
18,"No, he is not here. I am taking his place.",0.033334553241729736,0.03334230184555054,0.033333610743284225,0.03333730250597,0.03334275260567665,0.03333403170108795,0.6999573111534119,0.03334605321288109,0.03333646059036255,0.0333356074988842
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.016668472439050674,0.016667058691382408,0.016669146716594696,0.01667306013405323,0.8499848246574402,0.01666724495589733,0.016667591407895088,0.01666681282222271,0.016667956486344337,0.016667859628796577
