,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0050506629049777985,0.005050618667155504,0.0050505828112363815,0.9494938254356384,0.005050621461123228,0.00505056930705905,0.0050506326369941235,0.005050618667155504,0.005050618667155504,0.005050590727478266,0.005050610285252333
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.004546089563518763,0.004545987583696842,0.0045456779189407825,0.004545718897134066,0.00454568350687623,0.004545610398054123,0.00454580457881093,0.9545424580574036,0.004545787815004587,0.004545555915683508,0.004545698873698711
2,"Hello, sir. Have you eaten yet?",0.018181947991251945,0.01818213425576687,0.018181970342993736,0.018181901425123215,0.018181901425123215,0.8181800246238708,0.018181901425123215,0.018181901425123215,0.018182381987571716,0.018181901425123215,0.018182024359703064
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.01136479340493679,0.01136433519423008,0.01136420015245676,0.011364340782165527,0.011363768950104713,0.011364093981683254,0.011363853700459003,0.011364159174263477,0.8863570690155029,0.011365524493157864,0.011363829486072063
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.01010121963918209,0.01010143756866455,0.010102066211402416,0.010101525112986565,0.8989850878715515,0.01010107807815075,0.010101443156599998,0.010101506486535072,0.010101404041051865,0.01010143756866455,0.010101770050823689
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0037881643511354923,0.003788129659369588,0.0037881170865148306,0.0037880276795476675,0.0037880348972976208,0.003788217669352889,0.0037881177850067616,0.9621183276176453,0.0037884493358433247,0.0037883534096181393,0.0037880106829106808
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.01010110229253769,0.01010152231901884,0.8989880084991455,0.010101125575602055,0.010101311840116978,0.010101059451699257,0.010101345367729664,0.010101224295794964,0.010101066902279854,0.010101069696247578,0.010101169347763062
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0056819189339876175,0.005681916140019894,0.005681915674358606,0.005682096350938082,0.943180501461029,0.005681865382939577,0.00568190636113286,0.005681920796632767,0.005681861191987991,0.0056819007731974125,0.005682202521711588
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01010130625218153,0.010101387277245522,0.010101845487952232,0.0101012596860528,0.010101433843374252,0.010101333260536194,0.8989859223365784,0.010101733729243279,0.010101298801600933,0.010101216845214367,0.010101307183504105
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.0113641656935215,0.011363920755684376,0.011365032754838467,0.011363934725522995,0.011363772675395012,0.011364833451807499,0.8863567113876343,0.011364464648067951,0.011364109814167023,0.011365343816578388,0.011363744735717773
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.010101104155182838,0.010101561434566975,0.8989880084991455,0.010101127438247204,0.010101313702762127,0.010101061314344406,0.010101348161697388,0.010101227089762688,0.010101068764925003,0.010101072490215302,0.01010117121040821
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0056819189339876175,0.005681916140019894,0.005681915674358606,0.005682096350938082,0.943180501461029,0.005681865382939577,0.00568190636113286,0.005681920796632767,0.005681861191987991,0.0056819007731974125,0.005682202521711588
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.003788164583966136,0.0037881298922002316,0.003788117552176118,0.003788028145208955,0.0037880351301282644,0.0037882181350141764,0.003788118017837405,0.9621183276176453,0.0037884798366576433,0.003788353642448783,0.0037880109157413244
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.006993229500949383,0.0069932094775140285,0.00699335103854537,0.006993151269853115,0.006993135437369347,0.006993195507675409,0.006993402261286974,0.006993223447352648,0.9300675988197327,0.006993314251303673,0.006993232760578394
