,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.010417168959975243,0.8854144215583801,0.010416842065751553,0.010416826233267784,0.010416935198009014,0.010416829027235508,0.010416797362267971,0.010416770353913307,0.010416880249977112,0.010416936129331589,0.010416833683848381,0.010416777804493904
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.009259686805307865,0.009259369224309921,0.009259551763534546,0.8981450796127319,0.00925945769995451,0.009259696118533611,0.00925937108695507,0.009259413927793503,0.00925956666469574,0.009259366430342197,0.009259904734790325,0.009259485639631748
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.006410307250916958,0.006410302594304085,0.006410336587578058,0.006410364061594009,0.0064103445038199425,0.006410321220755577,0.006410351023077965,0.006410838104784489,0.006410330068320036,0.006410353817045689,0.006410317029803991,0.9294857978820801
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.005208409391343594,0.005208382848650217,0.005208384245634079,0.9427074193954468,0.005208385176956654,0.005208405666053295,0.00520844291895628,0.005208426155149937,0.005208380986005068,0.005208398215472698,0.005208403337746859,0.005208547227084637
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0046296794898808,0.00462969159707427,0.9490732550621033,0.004629682283848524,0.004629712551832199,0.0046296813525259495,0.004629695788025856,0.0046297223307192326,0.004629670642316341,0.0046297297812998295,0.004629718605428934,0.0046297782100737095
5,"No, he is not here. I am taking his place.",0.027779152616858482,0.027777891606092453,0.027778586372733116,0.027777891606092453,0.02777835726737976,0.6944404244422913,0.02777806669473648,0.027777891606092453,0.027777982875704765,0.02777789905667305,0.027777891606092453,0.02777796983718872
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.00925933662801981,0.009259392507374287,0.009259320795536041,0.009259339421987534,0.00925939530134201,0.009259500540792942,0.009259413927793503,0.8981459736824036,0.009259901009500027,0.009259405545890331,0.009259659796953201,0.009259349666535854
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.009259400889277458,0.009259386919438839,0.009259357117116451,0.009259402751922607,0.009259400889277458,0.898145854473114,0.009259544312953949,0.009259662590920925,0.009259539656341076,0.009259582497179508,0.009259460493922234,0.009259453974664211
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.00641035009175539,0.006410319358110428,0.006410338915884495,0.006410380359739065,0.006410661619156599,0.006410361733287573,0.0064103868789970875,0.006410380359739065,0.00641036918386817,0.9294856786727905,0.006410393863916397,0.0064103868789970875
9,Can you explain to me why we are setting up two individual aid stations?,0.011904922313988209,0.011904899030923843,0.011905040591955185,0.869045078754425,0.011904871091246605,0.011905261315405369,0.011904853396117687,0.011904891580343246,0.011905256658792496,0.011904874816536903,0.011905108578503132,0.011904899962246418
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.006944657303392887,0.006944802589714527,0.006944841705262661,0.9236083030700684,0.0069446200504899025,0.00694479001685977,0.00694458931684494,0.006944696418941021,0.006944814696907997,0.00694469315931201,0.00694459630176425,0.006944635882973671
11,It won't take long.,0.02083422988653183,0.020833520218729973,0.020833898335695267,0.020833488553762436,0.7708280682563782,0.020834628492593765,0.02083386853337288,0.020833708345890045,0.020833808928728104,0.020833631977438927,0.02083365060389042,0.020833522081375122
12,Why does it have to be in private? We don't have a ton of time. ,0.7708272337913513,0.020833538845181465,0.020833667367696762,0.020833663642406464,0.020834460854530334,0.0208339374512434,0.02083377167582512,0.02083434909582138,0.02083406038582325,0.020833740010857582,0.020834121853113174,0.020833510905504227
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.011905310675501823,0.33902764320373535,0.5419214367866516,0.01190498098731041,0.011905287392437458,0.011905040591955185,0.011905062943696976,0.011904976330697536,0.011904941871762276,0.011905284598469734,0.011905057355761528,0.011904975399374962
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.007575898431241512,0.007575920782983303,0.007575827185064554,0.00757597666233778,0.007575880736112595,0.007575870957225561,0.007575864437967539,0.007575818803161383,0.007575851399451494,0.9166653156280518,0.0075759137980639935,0.007575863040983677
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0046296794898808,0.00462969159707427,0.9490732550621033,0.004629682283848524,0.004629712551832199,0.0046296813525259495,0.004629695788025856,0.0046297223307192326,0.004629670642316341,0.0046297297812998295,0.004629718605428934,0.004629777744412422
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9083316326141357,0.008333398029208183,0.008333449251949787,0.008333509787917137,0.008333497680723667,0.00833345390856266,0.008333518169820309,0.008333638310432434,0.008333543315529823,0.008333433419466019,0.00833340547978878,0.008333523757755756
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.010416772216558456,0.8854132890701294,0.01041715033352375,0.0104167889803648,0.010417112149298191,0.010417134501039982,0.010416950099170208,0.010416937060654163,0.010417292825877666,0.010416899807751179,0.010416906327009201,0.010416791774332523
