,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.00961562991142273,0.009615547955036163,0.7421472072601318,0.009615667164325714,0.009615532122552395,0.009615655988454819,0.009615538641810417,0.009615510702133179,0.009615624323487282,0.009615528397262096,0.009615669958293438,0.15208138525485992,0.009615532122552395
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.008547171019017696,0.008547377772629261,0.008547145873308182,0.00854707695543766,0.008547077886760235,0.008547083474695683,0.008547071367502213,0.008547091856598854,0.008547171019017696,0.008547124452888966,0.008547072298824787,0.8974344730377197,0.008547075092792511
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.005917241796851158,0.005917243659496307,0.0059172241017222404,0.005917224567383528,0.0059172785840928555,0.005917226895689964,0.005917275790125132,0.0059172119945287704,0.005917220842093229,0.005917221307754517,0.005917228292673826,0.005917228292673826,0.9289931654930115
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.004807725083082914,0.00480777770280838,0.004807719029486179,0.004807732533663511,0.004807730205357075,0.004807718098163605,0.9423072338104248,0.004807744175195694,0.004807722754776478,0.004807720426470041,0.0048077222891151905,0.004807720426470041,0.004807726014405489
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.004273551516234875,0.00427354546263814,0.004273554775863886,0.004273543134331703,0.004273558501154184,0.004273538943380117,0.004273536615073681,0.004273537080734968,0.004273539874702692,0.004273549187928438,0.004273546859622002,0.6302637457847595,0.322727233171463
5,"No, he is not here. I am taking his place.",0.02564130537211895,0.02564123086631298,0.02564128488302231,0.6923031806945801,0.02564135752618313,0.02564173936843872,0.025641711428761482,0.025641659274697304,0.025641292333602905,0.025641249492764473,0.025641536340117455,0.02564123086631298,0.02564123086631298
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.008547112345695496,0.008547049015760422,0.008547056466341019,0.008547077886760235,0.008547088131308556,0.8974350690841675,0.008547071367502213,0.008547189645469189,0.008547088131308556,0.008547074161469936,0.008547086268663406,0.008547041565179825,0.008547047153115273
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.008547108620405197,0.008547088131308556,0.00854708906263113,0.008547160774469376,0.008547075092792511,0.008547148667275906,0.897434651851654,0.008547092787921429,0.00854717567563057,0.00854707881808281,0.008547181263566017,0.008547068573534489,0.00854707695543766
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.005917177069932222,0.0059171803295612335,0.005917182192206383,0.005917188711464405,0.9289937019348145,0.005917197093367577,0.005917191971093416,0.005917196627706289,0.00591718964278698,0.005917207337915897,0.005917186848819256,0.0059171803295612335,0.0059171877801418304
9,Can you explain to me why we are setting up two individual aid stations?,0.010989117436110973,0.8681308627128601,0.010989060625433922,0.010989082977175713,0.01098905224353075,0.010989087633788586,0.01098905224353075,0.01098905224353075,0.010989082045853138,0.0109891751781106,0.010989074595272541,0.010989204049110413,0.010989069007337093
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.006410351954400539,0.006410351023077965,0.006410336587578058,0.006410344038158655,0.006410299334675074,0.9230759739875793,0.006410299800336361,0.006410297006368637,0.00641035009175539,0.006410347763448954,0.006410351023077965,0.0064103864133358,0.006410329136997461
11,It won't take long.,0.019230972975492477,0.019230900332331657,0.019230958074331284,0.019231099635362625,0.019231289625167847,0.01923125423491001,0.01923101581633091,0.019231300801038742,0.019231010228395462,0.01923125423491001,0.7692270278930664,0.019230930134654045,0.01923096738755703
12,Why does it have to be in private? We don't have a ton of time. ,0.019231034442782402,0.019230946898460388,0.01923093944787979,0.019230917096138,0.019231203943490982,0.01923101395368576,0.019230887293815613,0.7692281007766724,0.019230913370847702,0.01923118159174919,0.01923096366226673,0.019231008365750313,0.0192309208214283
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.8681308627128601,0.010989075526595116,0.01098922174423933,0.01098908856511116,0.01098906621336937,0.010989070869982243,0.01098906435072422,0.010989071801304817,0.010989062488079071,0.01098906621336937,0.010989160276949406,0.01098909042775631,0.010989092290401459
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.0069930702447891235,0.0069930702447891235,0.006993085145950317,0.006993116345256567,0.006993235554546118,0.006993200164288282,0.0069931806065142155,0.006993158254772425,0.9160824418067932,0.006993125658482313,0.006993115413933992,0.006993079092353582,0.006993100047111511
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0042735505849123,0.004273544065654278,0.004273554310202599,0.004273543134331703,0.004273558035492897,0.004273538943380117,0.004273535683751106,0.004273536615073681,0.004273538943380117,0.004273548256605864,0.004273546393960714,0.5376080274581909,0.4153829514980316
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.007692370098084211,0.9076913595199585,0.007692392449826002,0.007692360784858465,0.0076923668384552,0.007692366372793913,0.0076923668384552,0.007692358922213316,0.007692389190196991,0.007692461367696524,0.007692396175116301,0.007692441344261169,0.007692372892051935
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.009615636430680752,0.009615525603294373,0.009615820832550526,0.009615601040422916,0.00961555540561676,0.009615597315132618,0.009615651331841946,0.009615542367100716,0.8846126794815063,0.009615717455744743,0.009615578688681126,0.009615527465939522,0.009615588933229446
18,"No, he is not here. I am taking his place.",0.02564130537211895,0.02564123086631298,0.02564128488302231,0.6923031806945801,0.02564135752618313,0.025641724467277527,0.025641711428761482,0.025641659274697304,0.025641292333602905,0.025641249492764473,0.025641536340117455,0.02564123086631298,0.02564123086631298
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.012820624746382236,0.012820662930607796,0.012820632196962833,0.012820696458220482,0.012820819392800331,0.012820789590477943,0.012820647098124027,0.012820610776543617,0.01282068993896246,0.012820607051253319,0.012820691801607609,0.8461518883705139,0.012820661999285221
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.006410351488739252,0.0064103505574166775,0.006410336121916771,0.006410343572497368,0.006410298869013786,0.9230759143829346,0.006410299334675074,0.00641029654070735,0.006410349626094103,0.006410347297787666,0.0064103505574166775,0.006410416681319475,0.006410328671336174
21,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.004273551050573587,0.004273544065654278,0.004273554775863886,0.0042735435999929905,0.004273558501154184,0.004273539409041405,0.004273536149412394,0.004273537080734968,0.004273539409041405,0.004273548722267151,0.004273547325283289,0.46707403659820557,0.48591694235801697
22,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.007692370098084211,0.9076913595199585,0.007692392449826002,0.007692360784858465,0.0076923668384552,0.007692366372793913,0.0076923668384552,0.007692358922213316,0.007692389190196991,0.007692466024309397,0.007692396175116301,0.007692441344261169,0.007692372892051935
23,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.8974347114562988,0.008547212928533554,0.008547124452888966,0.008547072298824787,0.008547105826437473,0.008547079749405384,0.0085471635684371,0.008547104895114899,0.00854712724685669,0.008547089993953705,0.00854707881808281,0.008547071367502213,0.008547104895114899
24,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.004273551050573587,0.004273544996976852,0.004273554775863886,0.004273543134331703,0.004273558501154184,0.004273538943380117,0.004273536149412394,0.004273537080734968,0.004273539874702692,0.004273549187928438,0.004273546859622002,0.5868110656738281,0.366179883480072
25,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.009615635499358177,0.009615524671971798,0.009615713730454445,0.009615600109100342,0.009615554474294186,0.009615596383810043,0.009615650400519371,0.009615541435778141,0.8846127390861511,0.009615715593099594,0.009615577757358551,0.009615526534616947,0.009615588001906872
26,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.009615501388907433,0.009615425951778889,0.8846145868301392,0.009615438058972359,0.009615425951778889,0.009615447372198105,0.009615420363843441,0.00961542408913374,0.009615423157811165,0.009615451097488403,0.009615491144359112,0.009615463204681873,0.009615474380552769
27,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.8846139907836914,0.00961549673229456,0.009615497663617134,0.009615465998649597,0.009615483693778515,0.009615471586585045,0.009615513496100903,0.009615480899810791,0.009615481831133366,0.009615529328584671,0.009615471586585045,0.009615479037165642,0.009615658782422543
28,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.005494554527103901,0.9340649247169495,0.00549456337466836,0.005494590383023024,0.005494620185345411,0.005494567099958658,0.005494572687894106,0.005494562443345785,0.005494625773280859,0.005494584329426289,0.00549457548186183,0.005494574550539255,0.0054946765303611755
29,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.00591717753559351,0.005917180795222521,0.00591718265786767,0.005917188711464405,0.9289937019348145,0.005917197559028864,0.0059171924367547035,0.005917197093367577,0.005917190108448267,0.005917207803577185,0.005917187314480543,0.005917180795222521,0.005917188245803118
30,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.009615502320230007,0.009615426883101463,0.8846145868301392,0.009615438990294933,0.009615426883101463,0.00961544830352068,0.009615421295166016,0.009615425020456314,0.00961542408913374,0.009615452028810978,0.009615492075681686,0.009615464136004448,0.009615475311875343
31,I’d rather not say.,0.025641214102506638,0.025641104206442833,0.0256411824375391,0.02564108744263649,0.02564108744263649,0.02564108744263649,0.02564113773405552,0.02564108744263649,0.6923065781593323,0.025641094893217087,0.02564108744263649,0.02564116194844246,0.02564108744263649
32,It won't take long.,0.019230972975492477,0.019230900332331657,0.019230958074331284,0.019231099635362625,0.019231289625167847,0.01923125423491001,0.01923101581633091,0.019231300801038742,0.019231010228395462,0.01923125423491001,0.7692270278930664,0.019230930134654045,0.01923096738755703
33,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.008547107689082623,0.008547087199985981,0.008547088131308556,0.008547159843146801,0.008547075092792511,0.008547147735953331,0.897434651851654,0.008547091856598854,0.0085472222417593,0.008547077886760235,0.008547183126211166,0.008547067642211914,0.008547076024115086
34,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.006410358939319849,0.006410371512174606,0.006410351023077965,0.006410363595932722,0.006410547066479921,0.006410445552319288,0.006410375237464905,0.006410496309399605,0.006410398054867983,0.9230751395225525,0.006410408299416304,0.00641034496948123,0.006410421337932348
35,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.006410355679690838,0.006410336121916771,0.0064103794284164906,0.006410321220755577,0.006410385016351938,0.0064103370532393456,0.0064103309996426105,0.0064103384502232075,0.006410323549062014,0.9230756759643555,0.006410364992916584,0.006410375703126192,0.006410450674593449
36,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.005917177069932222,0.0059171803295612335,0.005917182192206383,0.005917188711464405,0.9289937019348145,0.005917197093367577,0.005917191971093416,0.005917196627706289,0.00591718964278698,0.005917207337915897,0.005917186848819256,0.0059171803295612335,0.0059171877801418304
37,"I'd really prefer just to wait until the brief, if that is ok.",0.012820645235478878,0.01282065361738205,0.8461528420448303,0.012820553034543991,0.012820616364479065,0.012820553965866566,0.012820594012737274,0.012820586562156677,0.01282062754034996,0.012820575386285782,0.012820553034543991,0.012820585630834103,0.01282056886702776
38,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.005917225033044815,0.005917195230722427,0.005917211528867483,0.9289935231208801,0.005917205475270748,0.005917202681303024,0.005917200818657875,0.005917197559028864,0.005917204078286886,0.005917210131883621,0.00591724319383502,0.0059172045439481735,0.005917205475270748
39,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.006410297006368637,0.006410307716578245,0.0064103249460458755,0.006410318426787853,0.00641039339825511,0.006410314701497555,0.0064103188924491405,0.0064103021286427975,0.006410309113562107,0.9230762124061584,0.006410305853933096,0.0064103007316589355,0.0064103188924491405
40,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.007692431565374136,0.007692429702728987,0.007692436687648296,0.007692420389503241,0.007692379876971245,0.007692447863519192,0.007692405954003334,0.007692392449826002,0.007692441809922457,0.00769243948161602,0.007692396175116301,0.9076909422874451,0.007692440878599882
41,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.005917225033044815,0.005917195230722427,0.005917211528867483,0.9289935231208801,0.005917205475270748,0.005917202681303024,0.005917200818657875,0.005917197559028864,0.005917204078286886,0.005917210131883621,0.005917240399867296,0.0059172045439481735,0.005917205475270748
42,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.005917236674576998,0.00591724319383502,0.005917223636060953,0.0059172241017222404,0.005917294416576624,0.005917226430028677,0.005917253438383341,0.005917211528867483,0.005917220376431942,0.005917220842093229,0.005917227827012539,0.005917227827012539,0.9289932250976562
43,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.008547108620405197,0.008547088131308556,0.00854708906263113,0.008547160774469376,0.008547075092792511,0.008547148667275906,0.8974345326423645,0.008547092787921429,0.00854717567563057,0.00854707881808281,0.00854730885475874,0.008547068573534489,0.00854707695543766
44,"No, he is not here. I am taking his place.",0.02564130537211895,0.02564123086631298,0.02564128488302231,0.6923031806945801,0.02564135752618313,0.025641730055212975,0.025641711428761482,0.025641659274697304,0.025641292333602905,0.025641249492764473,0.025641536340117455,0.02564123086631298,0.02564123086631298
45,It won't take long.,0.019230972975492477,0.019230900332331657,0.019230958074331284,0.019231099635362625,0.019231289625167847,0.01923125423491001,0.01923101581633091,0.019231287762522697,0.019231010228395462,0.01923125423491001,0.7692270278930664,0.019230930134654045,0.01923096738755703
46,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.8974345922470093,0.008547250181436539,0.008547123521566391,0.008547071367502213,0.008547104895114899,0.00854707881808281,0.008547162637114525,0.008547103963792324,0.008547126315534115,0.00854708906263113,0.008547077886760235,0.008547070436179638,0.008547103963792324
47,Why does it have to be in private? We don't have a ton of time. ,0.01923103630542755,0.019230948761105537,0.01923094131052494,0.01923091895878315,0.01923120580613613,0.01923101581633091,0.019230889156460762,0.7692280411720276,0.01923091523349285,0.01923118345439434,0.01923096552491188,0.019231010228395462,0.019230922684073448
48,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.0051282490603625774,0.005128268618136644,0.0051282672211527824,0.005128253251314163,0.00512826768681407,0.0051282672211527824,0.00512826070189476,0.005128239747136831,0.0051282555796206,0.005128251388669014,0.9384609460830688,0.0051282490603625774,0.005128261633217335
49,"I'd really prefer just to wait until the brief, if that is ok.",0.012820646166801453,0.01282065361738205,0.8461528420448303,0.012820553965866566,0.01282061729580164,0.01282055489718914,0.012820594944059849,0.012820587493479252,0.012820628471672535,0.012820576317608356,0.012820553965866566,0.012820586562156677,0.012820569798350334
50,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.004807724617421627,0.004807809367775917,0.004807718563824892,0.004807732068002224,0.004807729739695787,0.004807717632502317,0.9423072338104248,0.004807743709534407,0.0048077222891151905,0.004807719960808754,0.004807721823453903,0.004807719960808754,0.004807725548744202
51,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.008547108620405197,0.008547088131308556,0.00854708906263113,0.008547160774469376,0.008547075092792511,0.008547148667275906,0.897434651851654,0.008547092787921429,0.00854717567563057,0.00854707881808281,0.008547181263566017,0.008547068573534489,0.00854707695543766
52,"No, he is not here. I am taking his place.",0.0256413035094738,0.02564122900366783,0.02564128302037716,0.6923032402992249,0.02564135566353798,0.025641722604632378,0.025641709566116333,0.025641657412052155,0.025641290470957756,0.025641247630119324,0.025641534477472305,0.02564122900366783,0.02564122900366783
53,The plan was to use one large aid station with American medics running it. How is this way better?,0.006410351488739252,0.006410351023077965,0.006410336121916771,0.006410343572497368,0.006410298869013786,0.9230758547782898,0.006410299334675074,0.00641029654070735,0.006410349626094103,0.006410347297787666,0.0064103505574166775,0.0064105074852705,0.006410328671336174
54,"No, he is not here. I am taking his place.",0.02564130537211895,0.02564123086631298,0.02564128488302231,0.6923031806945801,0.02564135752618313,0.025641731917858124,0.025641711428761482,0.025641659274697304,0.025641292333602905,0.025641249492764473,0.025641536340117455,0.02564123086631298,0.02564123086631298
55,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.8974347114562988,0.008547213859856129,0.008547124452888966,0.008547072298824787,0.008547105826437473,0.008547079749405384,0.0085471635684371,0.008547104895114899,0.00854712724685669,0.008547089993953705,0.00854707881808281,0.008547071367502213,0.008547104895114899
56,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.00641029654070735,0.006410307250916958,0.006410324480384588,0.006410317495465279,0.0064103929325938225,0.00641031377017498,0.006410318426787853,0.00641030166298151,0.0064103081822395325,0.9230762124061584,0.006410305388271809,0.006410300265997648,0.006410318426787853
57,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.012820624746382236,0.012820662930607796,0.012820632196962833,0.012820696458220482,0.012820819392800331,0.012820788659155369,0.012820647098124027,0.012820610776543617,0.01282068993896246,0.012820607051253319,0.012820691801607609,0.8461518883705139,0.012820661999285221
58,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.012820559553802013,0.012820541858673096,0.012820541858673096,0.01282054465264082,0.01282059121876955,0.012820675037801266,0.012820553034543991,0.8461531400680542,0.01282056700438261,0.012820546515285969,0.012820598669350147,0.012820541858673096,0.012820548377931118
59,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.004273551050573587,0.004273544996976852,0.004273554775863886,0.004273543134331703,0.004273558501154184,0.004273538943380117,0.004273536149412394,0.004273537080734968,0.004273539874702692,0.004273549187928438,0.004273546859622002,0.5968099236488342,0.3561810851097107
60,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0042735505849123,0.004273544065654278,0.004273554310202599,0.004273543134331703,0.004273558035492897,0.004273538943380117,0.004273535683751106,0.004273536615073681,0.004273539409041405,0.004273548256605864,0.004273546393960714,0.5503523349761963,0.40263861417770386
61,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.006410356145352125,0.006410336587578058,0.006410379894077778,0.006410321686416864,0.0064103854820132256,0.006410337518900633,0.006410331465303898,0.006410338915884495,0.006410324014723301,0.9230756759643555,0.006410365458577871,0.006410376168787479,0.006410450674593449
62,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.007692370098084211,0.9076913595199585,0.007692392449826002,0.007692360784858465,0.0076923668384552,0.007692366372793913,0.0076923668384552,0.007692358922213316,0.007692389190196991,0.007692461367696524,0.007692396175116301,0.007692441344261169,0.007692372892051935
63,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.008547108620405197,0.008547088131308556,0.00854708906263113,0.008547160774469376,0.008547075092792511,0.008547148667275906,0.897434651851654,0.008547092787921429,0.00854717567563057,0.00854707881808281,0.008547200821340084,0.008547068573534489,0.00854707695543766
64,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.0051282490603625774,0.005128268618136644,0.005128266289830208,0.005128253251314163,0.00512826768681407,0.005128266755491495,0.00512826070189476,0.005128239747136831,0.0051282555796206,0.005128251388669014,0.9384609460830688,0.0051282490603625774,0.005128261633217335
65,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.008547170087695122,0.008547250181436539,0.008547144941985607,0.008547076024115086,0.00854707695543766,0.008547082543373108,0.008547070436179638,0.00854709092527628,0.008547170087695122,0.008547123521566391,0.008547071367502213,0.8974345922470093,0.008547074161469936
66,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.8681309223175049,0.010989074595272541,0.010989219881594181,0.01098908856511116,0.01098906621336937,0.010989069938659668,0.010989063419401646,0.010989070869982243,0.010989061556756496,0.01098906621336937,0.010989159345626831,0.010989089496433735,0.010989091359078884
67,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.008547112345695496,0.008547049015760422,0.008547056466341019,0.008547077886760235,0.008547088131308556,0.8974350690841675,0.008547071367502213,0.008547130040824413,0.008547088131308556,0.008547074161469936,0.008547086268663406,0.008547041565179825,0.008547047153115273
68,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.008547170087695122,0.008547190576791763,0.008547144941985607,0.008547076024115086,0.00854707695543766,0.008547082543373108,0.008547070436179638,0.00854709092527628,0.008547170087695122,0.008547123521566391,0.008547071367502213,0.8974345922470093,0.008547074161469936
69,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.006410297006368637,0.006410307716578245,0.0064103249460458755,0.006410318426787853,0.006410400383174419,0.006410314701497555,0.0064103188924491405,0.0064103021286427975,0.006410309113562107,0.9230762124061584,0.006410305853933096,0.0064103007316589355,0.0064103188924491405
70,"I'd really prefer just to wait until the brief, if that is ok.",0.012820646166801453,0.012820654548704624,0.8461528420448303,0.012820553965866566,0.01282061729580164,0.01282055489718914,0.012820594944059849,0.012820587493479252,0.012820628471672535,0.012820576317608356,0.012820553965866566,0.012820586562156677,0.012820569798350334
71,I don't have any questions right now.,0.01923120766878128,0.01923120766878128,0.019231079146265984,0.01923154480755329,0.019231215119361877,0.019231058657169342,0.019231388345360756,0.019231297075748444,0.01923111081123352,0.7692254185676575,0.01923111453652382,0.019231300801038742,0.019231056794524193
72,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.005917224567383528,0.00591719476506114,0.005917211063206196,0.9289935231208801,0.005917205009609461,0.005917202215641737,0.005917200352996588,0.005917197093367577,0.005917203612625599,0.005917209666222334,0.005917239934206009,0.005917204078286886,0.005917205009609461
73,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.009615588933229446,0.009615682996809483,0.009615485556423664,0.009615509770810604,0.009615474380552769,0.00961551908403635,0.009615475311875343,0.009615473449230194,0.009615500457584858,0.009615587070584297,0.009615490213036537,0.8846136927604675,0.009615529328584671
74,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.009615501388907433,0.009615425951778889,0.8846145868301392,0.009615438058972359,0.009615425951778889,0.009615447372198105,0.009615420363843441,0.00961542408913374,0.009615423157811165,0.009615451097488403,0.009615491144359112,0.009615463204681873,0.009615474380552769
75,Can you explain to me why we are setting up two individual aid stations?,0.010989117436110973,0.8681309223175049,0.010989060625433922,0.010989082977175713,0.01098905224353075,0.010989087633788586,0.01098905224353075,0.01098905224353075,0.010989082045853138,0.010989144444465637,0.010989074595272541,0.010989172384142876,0.010989069007337093
76,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.0069930702447891235,0.0069930702447891235,0.006993085145950317,0.006993116345256567,0.006993235554546118,0.0069932169280946255,0.0069931806065142155,0.006993158254772425,0.9160824418067932,0.006993125658482313,0.006993115413933992,0.006993079092353582,0.006993100047111511
77,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.009615511633455753,0.009615427814424038,0.8846145868301392,0.009615439921617508,0.009615427814424038,0.009615449234843254,0.00961542222648859,0.009615425951778889,0.009615425020456314,0.009615452960133553,0.009615493007004261,0.009615465067327023,0.009615476243197918
78,"Hello, sir. Have you eaten yet?",0.015384736470878124,0.015384736470878124,0.015384736470878124,0.015384748578071594,0.015384736470878124,0.015384736470878124,0.015384736470878124,0.015384736470878124,0.015384736470878124,0.015384748578071594,0.015384756959974766,0.8153831362724304,0.015384736470878124
