,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.00396827282384038,0.003968270029872656,0.003968271892517805,0.003968273289501667,0.003968273289501667,0.003968274686485529,0.003968271892517805,0.00396827282384038,0.00396827282384038,0.003968274686485529,0.003968279343098402,0.00396827282384038,0.00396828493103385,0.9484124779701233
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0035714611876755953,0.0035714558325707912,0.003571461420506239,0.0035714644473046064,0.0035714583937078714,0.0035714644473046064,0.0035714583937078714,0.0035714630503207445,0.0035714569967240095,0.00357146211899817,0.9535710215568542,0.003571459325030446,0.003571461420506239,0.003571457462385297
2,"Hello, sir. Have you eaten yet?",0.01428578607738018,0.01428578607738018,0.01428578607738018,0.01428578607738018,0.01428578607738018,0.01428578607738018,0.014285788871347904,0.014285799115896225,0.01428578607738018,0.014285804703831673,0.01428578607738018,0.01428578607738018,0.01428578607738018,0.8142847418785095
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.008928611874580383,0.008928625844419003,0.008928618393838406,0.008928606286644936,0.008928603492677212,0.008928608149290085,0.8839280009269714,0.008928610943257809,0.008928604423999786,0.00892863143235445,0.008928620256483555,0.00892862118780613,0.008928622119128704,0.008928618393838406
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.007936582900583744,0.007936551235616207,0.00793654564768076,0.007936550304293633,0.8968246579170227,0.007936586625874043,0.007936573587357998,0.007936552166938782,0.007936547510325909,0.007936560548841953,0.007936559617519379,0.007936574518680573,0.00793655589222908,0.007936553098261356
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.002976209856569767,0.0029762154445052147,0.9613092541694641,0.0029762100894004107,0.002976207295432687,0.0029762093909084797,0.0029762128833681345,0.0029762177728116512,0.0029762128833681345,0.0029762093909084797,0.0029762100894004107,0.002976209856569767,0.002976209856569767,0.002976211253553629
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.8968242406845093,0.007936625741422176,0.007936577312648296,0.007936581037938595,0.007936602458357811,0.007936605252325535,0.007936617359519005,0.00793659221380949,0.007936608977615833,0.007936571724712849,0.007936605252325535,0.007936582900583744,0.007936579175293446,0.0079365698620677
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.004464309196919203,0.004464305471628904,0.004464308265596628,0.004464309196919203,0.9419639706611633,0.004464312922209501,0.004464307334274054,0.004464305471628904,0.004464306868612766,0.004464311990886927,0.004464308265596628,0.004464305005967617,0.004464323166757822,0.004464305005967617
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0079365698620677,0.00793656799942255,0.007936568930745125,0.007936562411487103,0.007936582900583744,0.007936571724712849,0.00793672725558281,0.8968243598937988,0.0079365698620677,0.00793655775487423,0.007936599664390087,0.007936600595712662,0.007936554029583931,0.00793655589222908
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.00892863143235445,0.008928703144192696,0.008928708732128143,0.008928646333515644,0.008928650990128517,0.008928628638386726,0.008928628638386726,0.008928659372031689,0.008928641676902771,0.008928639814257622,0.008928634226322174,0.008928639814257622,0.008928628638386726,0.883927583694458
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.8968242406845093,0.007936623878777027,0.007936577312648296,0.007936581037938595,0.007936602458357811,0.007936605252325535,0.007936617359519005,0.00793659221380949,0.007936608977615833,0.007936571724712849,0.007936605252325535,0.007936582900583744,0.007936579175293446,0.0079365698620677
