,Original Input,Topic 1,Topic 2
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.9342892169952393,0.06571080535650253
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.08265642076730728,0.9173436164855957
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.04823790863156319,0.9517620801925659
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9652495980262756,0.03475043177604675
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.03148110210895538,0.9685189127922058
5,"No, he is not here. I am taking his place.",0.7687982320785522,0.23120179772377014
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.06427091360092163,0.9357290267944336
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06920799612998962,0.9307920336723328
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04284164682030678,0.9571583271026611
9,Can you explain to me why we are setting up two individual aid stations?,0.24089770019054413,0.7591022849082947
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.9531229138374329,0.04687708616256714
11,It won't take long.,0.16328106820583344,0.8367189764976501
12,Why does it have to be in private? We don't have a ton of time. ,0.13680095970630646,0.8631990551948547
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9199987053871155,0.08000129461288452
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04977157711982727,0.9502283930778503
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.031487736850976944,0.968512237071991
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9456524848937988,0.05434754490852356
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.9316744208335876,0.06832559406757355
18,"No, he is not here. I am taking his place.",0.7688080668449402,0.23119188845157623
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8888304829597473,0.1111694723367691
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.953120768070221,0.046879176050424576
21,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0314839743077755,0.9685160517692566
22,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9456526637077332,0.05434732511639595
23,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0771445706486702,0.9228554964065552
24,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.03148125112056732,0.9685186743736267
25,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.931673526763916,0.06832650303840637
26,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9170410633087158,0.08295892179012299
27,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.7174041867256165,0.28259584307670593
28,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.5738288164138794,0.4261711835861206
29,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04284617677330971,0.9571537971496582
30,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9170313477516174,0.08296870440244675
31,I’d rather not say.,0.2020738571882248,0.797926127910614
32,It won't take long.,0.16325460374355316,0.8367453813552856
33,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06920106709003448,0.9307988882064819
34,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.07213539630174637,0.9278645515441895
35,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.05788564682006836,0.9421142935752869
36,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04284272715449333,0.9571573138237
37,"I'd really prefer just to wait until the brief, if that is ok.",0.13989880681037903,0.8601011633872986
38,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.05903508886694908,0.9409648776054382
39,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06947343051433563,0.930526614189148
40,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9405000805854797,0.059499915689229965
41,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.059011686593294144,0.940988302230835
42,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.048243287950754166,0.9517566561698914
43,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06922122836112976,0.9307787418365479
44,"No, he is not here. I am taking his place.",0.7687916159629822,0.23120839893817902
45,It won't take long.,0.16326694190502167,0.8367330431938171
46,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07717117667198181,0.9228287935256958
47,Why does it have to be in private? We don't have a ton of time. ,0.1367957890033722,0.8632041811943054
48,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.9430148005485535,0.05698523670434952
49,"I'd really prefer just to wait until the brief, if that is ok.",0.13984523713588715,0.8601547479629517
50,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9652507901191711,0.03474925830960274
51,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06920991837978363,0.9307900667190552
52,"No, he is not here. I am taking his place.",0.7687618136405945,0.23123817145824432
53,The plan was to use one large aid station with American medics running it. How is this way better?,0.9531295299530029,0.046870503574609756
54,"No, he is not here. I am taking his place.",0.7688210606575012,0.23117892444133759
55,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07718449085950851,0.9228155016899109
56,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06952837854623795,0.9304715991020203
57,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8888004422187805,0.11119958758354187
58,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09391217678785324,0.9060878753662109
59,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0314873568713665,0.9685126543045044
60,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.03148097172379494,0.9685190320014954
61,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.05787474289536476,0.9421252608299255
62,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9456539154052734,0.054346054792404175
63,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06922061741352081,0.9307793974876404
64,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.9429965615272522,0.057003460824489594
65,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.08261766284704208,0.9173822999000549
66,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9199722409248352,0.0800277590751648
67,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0642574205994606,0.9357426166534424
68,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.08264564722776413,0.9173543453216553
69,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06949267536401749,0.9305073618888855
70,"I'd really prefer just to wait until the brief, if that is ok.",0.13982991874217987,0.8601700663566589
71,I don't have any questions right now.,0.1955854445695877,0.8044145107269287
72,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.05905517190694809,0.9409447908401489
73,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.09098433703184128,0.9090156555175781
74,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9170441627502441,0.08295588195323944
75,Can you explain to me why we are setting up two individual aid stations?,0.24084003269672394,0.7591599822044373
76,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04978921264410019,0.9502108097076416
77,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9170419573783875,0.08295806497335434
78,"Hello, sir. Have you eaten yet?",0.8963692784309387,0.10363069921731949
79,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.965399444103241,0.034600526094436646
80,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.07213179022073746,0.9278682470321655
81,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.965388298034668,0.03461166471242905
82,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.5738418698310852,0.4261581003665924
83,"No, he is not here. I am taking his place.",0.7687340974807739,0.2312658727169037
84,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9660561084747314,0.03394392877817154
85,He is busy today,0.18328224122524261,0.816717803478241
86,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.9694522619247437,0.030547797679901123
87,"Hello, sir. Have you eaten yet?",0.8963678479194641,0.10363215953111649
88,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06922647356987,0.9307735562324524
89,It won't take long.,0.16329948604106903,0.8367005586624146
90,I’d rather not say.,0.20205792784690857,0.7979421019554138
91,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9654112458229065,0.03458869829773903
92,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.09099338948726654,0.9090065956115723
93,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.03148271515965462,0.9685173034667969
94,I’d rather not say.,0.20201855897903442,0.7979814410209656
95,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9652532339096069,0.034746769815683365
96,"No, he is not here. I am taking his place.",0.7688234448432922,0.23117658495903015
97,Can I talk with you in private once questions are over?,0.6415674686431885,0.3584325313568115
98,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.9694370031356812,0.030563021078705788
99,He is busy today,0.18327674269676208,0.8167232871055603
100,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04978892579674721,0.9502110481262207
101,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8888368606567383,0.1111631840467453
102,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06947992742061615,0.9305200576782227
103,I don't have any questions right now.,0.1956707239151001,0.8043292760848999
104,Can you explain to me why we are setting up two individual aid stations?,0.2409011423587799,0.7590988874435425
105,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06951215118169785,0.930487871170044
106,"I'd really prefer just to wait until the brief, if that is ok.",0.13980530202388763,0.8601946830749512
107,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0692402571439743,0.9307597875595093
108,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.5777882933616638,0.42221173644065857
109,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06952430307865143,0.9304757118225098
110,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.9430299401283264,0.05697006359696388
111,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.031475428491830826,0.9685245156288147
112,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.09096263349056244,0.9090373516082764
113,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.5794875025749207,0.4205125570297241
114,"No, he is not here. I am taking his place.",0.7687534689903259,0.23124656081199646
115,"Hello, sir. Have you eaten yet?",0.8963653445243835,0.10363465547561646
116,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9652522206306458,0.03474780172109604
117,He is busy today,0.1832544207572937,0.8167455196380615
118,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9405078887939453,0.0594920851290226
119,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.05902504175901413,0.9409749507904053
120,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06921377778053284,0.9307862520217896
121,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.057913824915885925,0.9420861601829529
122,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04284384101629257,0.9571561217308044
123,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9456503391265869,0.0543496310710907
124,"I'd really prefer just to wait until the brief, if that is ok.",0.13989554345607758,0.8601044416427612
125,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.7145188450813293,0.28548115491867065
126,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09392295777797699,0.9060770273208618
127,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.9342902302742004,0.06570976227521896
128,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.08262535184621811,0.9173746705055237
129,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9405146241188049,0.05948533117771149
130,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.9316691756248474,0.06833081692457199
131,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.9694521427154541,0.03054780513048172
132,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9405094981193542,0.05949045717716217
133,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.042828742414712906,0.9571712613105774
134,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06921981275081635,0.9307802319526672
135,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.05788624286651611,0.9421137571334839
136,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.04823565110564232,0.9517644047737122
137,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.06427875906229019,0.9357212781906128
138,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07715697586536407,0.9228430390357971
139,"No, he is not here. I am taking his place.",0.7686636447906494,0.2313363254070282
140,I’d rather not say.,0.20202724635601044,0.7979727387428284
141,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.7168412208557129,0.28315871953964233
142,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.943008303642273,0.056991685181856155
143,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.7230613827705383,0.27693861722946167
144,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.06923793256282806,0.930761992931366
145,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.06427698582410812,0.9357230067253113
146,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09390995651483536,0.9060900211334229
147,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.9316761493682861,0.06832386553287506
148,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.5777537226676941,0.4222463071346283
149,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07717707008123398,0.9228229522705078
150,I’d rather not say.,0.20204053819179535,0.7979595065116882
151,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04978696629405022,0.9502130746841431
152,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.9316737055778503,0.06832628697156906
153,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.07214859127998352,0.9278513789176941
154,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.92000412940979,0.07999586313962936
155,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.05791797861456871,0.9420820474624634
156,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9660592675209045,0.03394072502851486
157,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.06949271261692047,0.9305073022842407
158,He is busy today,0.18325047194957733,0.8167495131492615
159,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.09100253880023956,0.9089974761009216
160,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04282871261239052,0.9571713209152222
161,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.05904299393296242,0.9409569501876831
162,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04978591948747635,0.9502140879631042
163,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9456474781036377,0.054352451115846634
164,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.06428045779466629,0.9357194900512695
165,He is busy today,0.18331609666347504,0.8166838884353638
166,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04977221041917801,0.9502277970314026
167,"Hello, sir. Have you eaten yet?",0.8963692784309387,0.10363075882196426
168,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9653993844985962,0.034600675106048584
169,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.04656096547842026,0.9534389972686768
170,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9654080271720886,0.03459193557500839
171,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.06428324431180954,0.9357167482376099
172,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.09389948099851608,0.9061005711555481
173,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.9430302977561951,0.05696972459554672
174,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04284541681408882,0.9571545720100403
175,"I'd really prefer just to wait until the brief, if that is ok.",0.13984832167625427,0.8601517081260681
176,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.04977162554860115,0.9502283930778503
177,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07717439532279968,0.9228255748748779
178,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0771569162607193,0.9228430390357971
179,Why does it have to be in private? We don't have a ton of time. ,0.13680575788021088,0.8631942272186279
180,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07714876532554626,0.9228512048721313
181,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.07715289294719696,0.9228470921516418
182,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.05901386961340904,0.940986156463623
183,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.04283733665943146,0.9571626782417297
184,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.965248703956604,0.034751325845718384
185,I don't have any questions right now.,0.1956796497106552,0.8043203353881836
186,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9405118823051453,0.05948818102478981
