,Original Input,Topic 1,Topic 2,Topic 3
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.9134902358055115,0.041777294129133224,0.04473251476883888
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.04092654958367348,0.9206066131591797,0.03846684843301773
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.02736259624361992,0.030381526798009872,0.9422558546066284
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9570397734642029,0.02144983410835266,0.02151038497686386
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.019042011350393295,0.9616959095001221,0.01926211640238762
5,"No, he is not here. I am taking his place.",0.11296993494033813,0.11254068464040756,0.7744893431663513
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.037368740886449814,0.9241772890090942,0.03845396265387535
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.03834754601120949,0.9221745133399963,0.039477940648794174
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372326537966728,0.028082888573408127,0.9455447793006897
9,Can you explain to me why we are setting up two individual aid stations?,0.055019136518239975,0.8963364362716675,0.04864439740777016
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.9426230788230896,0.028690965846180916,0.02868594042956829
11,It won't take long.,0.0850774273276329,0.09220631420612335,0.822716236114502
12,Why does it have to be in private? We don't have a ton of time. ,0.08439058065414429,0.8293418288230896,0.0862676128745079
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9009826183319092,0.04996355250477791,0.0490538589656353
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.030971361324191093,0.03307684510946274,0.935951828956604
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.019042085856199265,0.9616949558258057,0.019262993708252907
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9315479397773743,0.0340581014752388,0.03439398109912872
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.042334649711847305,0.043363265693187714,0.9143020510673523
18,"No, he is not here. I am taking his place.",0.11295241862535477,0.11253371834754944,0.774513840675354
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8812687993049622,0.05886774882674217,0.05986350029706955
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.9426258206367493,0.02869175374507904,0.028682472184300423
21,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.01904207654297352,0.9616948366165161,0.019263118505477905
22,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9315463304519653,0.03405807912349701,0.03439561650156975
23,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.039383165538311005,0.9208961129188538,0.03972066566348076
24,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.019042033702135086,0.9616953730583191,0.019262611865997314
25,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.04233464226126671,0.04336488991975784,0.9143004417419434
26,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9026823043823242,0.045859042555093765,0.05145864561200142
27,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.04417805001139641,0.048387687653303146,0.9074342250823975
28,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.025158846750855446,0.02526598796248436,0.9495751261711121
29,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372365653514862,0.02809385024011135,0.9455337524414062
30,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9026373028755188,0.045859646052122116,0.05150306597352028
31,I’d rather not say.,0.11197438836097717,0.7763372659683228,0.11168839037418365
