,Original Input,Topic 1,Topic 2,Topic 3,Topic 4
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.9060930609703064,0.0312587134540081,0.03138856217265129,0.03125966340303421
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.029772741720080376,0.029544444754719734,0.028468243777751923,0.9122145771980286
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.9412703514099121,0.019409513100981712,0.019629938527941704,0.019690237939357758
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9524878859519958,0.015729287639260292,0.01591801643371582,0.01586478389799595
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.014082465320825577,0.014475890435278416,0.9570387601852417,0.014402873814105988
5,"No, he is not here. I am taking his place.",0.08579932898283005,0.746775209903717,0.08404076844453812,0.08338472992181778
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.9131733179092407,0.028014080598950386,0.02995610609650612,0.02885650284588337
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.028516987338662148,0.0280071422457695,0.028044072911143303,0.9154318571090698
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.019589349627494812,0.01951702870428562,0.9415674209594727,0.019326217472553253
9,Can you explain to me why we are setting up two individual aid stations?,0.036349713802337646,0.03573964163661003,0.0360083170235157,0.8919023275375366
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.9363592267036438,0.02084939554333687,0.021496359258890152,0.021295057609677315
11,It won't take long.,0.06534446030855179,0.07211274653673172,0.799185037612915,0.06335777789354324
12,Why does it have to be in private? We don't have a ton of time. ,0.06341717392206192,0.06306753307580948,0.8080962300300598,0.06541905552148819
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.0358775295317173,0.03607761859893799,0.03750132769346237,0.890543520450592
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.022985557094216347,0.023150837048888206,0.9309653043746948,0.02289828099310398
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.014082460664212704,0.014475682750344276,0.9570410847663879,0.014400739222764969
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.025653483346104622,0.0252962876111269,0.02518966980278492,0.9238606095314026
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.03176184743642807,0.9036427140235901,0.03169528767466545,0.032900165766477585
18,"No, he is not here. I am taking his place.",0.08578231930732727,0.7467923760414124,0.0840405523777008,0.08338471502065659
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.04185545817017555,0.8741846680641174,0.042192474007606506,0.04176735877990723
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.9363716244697571,0.02084939368069172,0.02148464322090149,0.02129432000219822
21,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.014082460664212704,0.014476318843662739,0.9570412039756775,0.01440002117305994
22,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.02565547451376915,0.025296300649642944,0.025189673528075218,0.9238585829734802
23,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.46677663922309875,0.47463086247444153,0.028187021613121033,0.030405495315790176
24,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.014082465320825577,0.014476563781499863,0.9570386409759521,0.014402292668819427
25,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.03176190331578255,0.9036188721656799,0.031695328652858734,0.032923921942710876
26,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.03143133223056793,0.03137565776705742,0.9030095338821411,0.03418346121907234
27,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.031391482800245285,0.9057889580726624,0.03132772445678711,0.03149182349443436
28,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.018437273800373077,0.9442024230957031,0.01912403479218483,0.018236251547932625
29,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.019591132178902626,0.01951732486486435,0.9415653347969055,0.01932622119784355
30,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.03143133968114853,0.03137566149234772,0.9029914736747742,0.0342014878988266
31,I’d rather not say.,0.7485857009887695,0.08346331119537354,0.08346505463123322,0.08448589593172073
