,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.011194582097232342,0.011154897511005402,0.011220837011933327,0.955044686794281,0.011385001242160797
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.010110697709023952,0.010052968747913837,0.01011637318879366,0.01006520725786686,0.9596547484397888
2,"Hello, sir. Have you eaten yet?",0.040047552436590195,0.0404164157807827,0.04000081866979599,0.04000094160437584,0.8395342826843262
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.8992729187011719,0.02517954632639885,0.025113042443990707,0.025288736447691917,0.025145715102553368
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.02231382019817829,0.9105013608932495,0.022436730563640594,0.0223834328353405,0.02236468344926834
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.008438914082944393,0.9663344621658325,0.008434860035777092,0.008384350687265396,0.00840737298130989
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.02231154590845108,0.02234094962477684,0.9102077484130859,0.0223835539072752,0.02275623008608818
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.012590860016644001,0.012632273137569427,0.04606908559799194,0.9161505699157715,0.012557242065668106
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.02255461923778057,0.022589584812521935,0.022486569359898567,0.9099005460739136,0.022468622773885727
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.02508542872965336,0.8998296856880188,0.025012392550706863,0.025000225752592087,0.025072284042835236
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.022311532869935036,0.022340930998325348,0.9102221131324768,0.02238352783024311,0.022741883993148804
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.012587404809892178,0.012628630734980106,0.06402994692325592,0.8982002139091492,0.012553812935948372
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.008439322002232075,0.966337263584137,0.008431678637862206,0.008384348824620247,0.008407365530729294
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.016020817682147026,0.015456154942512512,0.015610451810061932,0.9373874664306641,0.015525114722549915
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.01706247590482235,0.016802366822957993,0.9323021173477173,0.01686258800327778,0.016970453783869743
15,I don't have any questions right now.,0.05091959983110428,0.050334881991147995,0.05044044554233551,0.7979762554168701,0.0503288134932518
16,"No, he is not here. I am taking his place.",0.7326096892356873,0.06738006323575974,0.0666690394282341,0.06667017936706543,0.06667104363441467
17,Can you explain to me why we are setting up two individual aid stations?,0.8850541710853577,0.028718767687678337,0.028707217425107956,0.028872573748230934,0.028647270053625107
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.03373367711901665,0.03439106419682503,0.033445775508880615,0.8650920391082764,0.03333750367164612
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.011194578371942043,0.011154894717037678,0.011220831423997879,0.9550498723983765,0.011379805393517017
20,I’d rather not say.,0.06668701767921448,0.06720561534166336,0.7319137454032898,0.06752153486013412,0.06667208671569824
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.02231382206082344,0.9105011224746704,0.02243685908615589,0.02238350920379162,0.02236468903720379
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.014363831840455532,0.014332172460854053,0.9425058960914612,0.014386158436536789,0.01441191229969263
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.03373369574546814,0.03439604118466377,0.033445779234170914,0.8650870323181152,0.03333750367164612
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.01707366667687893,0.016802381724119186,0.9322900176048279,0.016862614080309868,0.01697133667767048
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9327037930488586,0.016746852546930313,0.016851581633090973,0.016769714653491974,0.016928108409047127
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.9327036142349243,0.016746848821640015,0.01685158722102642,0.016769712790846825,0.01692824438214302
27,"I'd really prefer just to wait until the brief, if that is ok.",0.033409375697374344,0.8664729595184326,0.03335873410105705,0.03341829776763916,0.033340681344270706
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.022311536595225334,0.022340934723615646,0.9102196097373962,0.02238353155553341,0.022744402289390564
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.022311536595225334,0.022340938448905945,0.9102165102958679,0.022383539006114006,0.02274746261537075
30,"Hello, sir. Have you eaten yet?",0.04004756361246109,0.040427032858133316,0.04000081866979599,0.04000094160437584,0.8395236134529114
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.02508528344333172,0.8998290300369263,0.025012390688061714,0.025000223889946938,0.02507307007908821
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.02231382206082344,0.9105011224746704,0.022436974570155144,0.022383447736501694,0.02236468344926834
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.010110416449606419,0.010052967816591263,0.010115492157638073,0.010065203532576561,0.9596558809280396
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.02240498550236225,0.022249363362789154,0.022316714748740196,0.022380748763680458,0.9106481671333313
35,"Hello, sir. Have you eaten yet?",0.04004755988717079,0.040421005338430405,0.04000081866979599,0.04000094160437584,0.8395296335220337
36,"Hello, sir. Have you eaten yet?",0.04004755988717079,0.040418192744255066,0.04000082239508629,0.04000094532966614,0.8395324945449829
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.014363848604261875,0.014332174323499203,0.9425055384635925,0.014386139810085297,0.014412293210625648
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.010110684670507908,0.010052968747913837,0.010115738958120346,0.010065206326544285,0.9596554040908813
39,"No, he is not here. I am taking his place.",0.7326153516769409,0.06737437099218369,0.0666690394282341,0.06667017936706543,0.06667104363441467
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9190028309822083,0.02045624703168869,0.020285630598664284,0.02004116214811802,0.02021411620080471
41,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.022311560809612274,0.022340970113873482,0.9101935029029846,0.02238358184695244,0.02277042530477047
42,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.023048939183354378,0.02275969460606575,0.02244243025779724,0.909376859664917,0.022372134029865265
43,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9193811416625977,0.020117362961173058,0.020100444555282593,0.020252732560038567,0.02014831081032753
44,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.025086257606744766,0.8998275399208069,0.025012394413352013,0.025000225752592087,0.025073597207665443
45,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.025246277451515198,0.026227157562971115,0.8977823257446289,0.025562794879078865,0.025181403383612633
46,Why does it have to be in private? We don't have a ton of time. ,0.05056588724255562,0.050252415239810944,0.05027678981423378,0.7986342906951904,0.05027066543698311
47,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.02524627558887005,0.02622372657060623,0.8977857828140259,0.025562776252627373,0.025181403383612633
48,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.011194569058716297,0.011154890060424805,0.011220818385481834,0.9550582766532898,0.011371439322829247
49,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.926914393901825,0.018226683139801025,0.018278824165463448,0.018306884914636612,0.0182732455432415
50,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.8992792367935181,0.025179423391819,0.025113018229603767,0.025282619521021843,0.025145679712295532
51,Can I talk with you in private once questions are over?,0.05110670253634453,0.050049781799316406,0.050163500010967255,0.7948645949363708,0.053815439343452454
52,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.023079873993992805,0.022759830579161644,0.02244247868657112,0.9093456864356995,0.022372152656316757
53,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.03353346511721611,0.03355075418949127,0.8657628297805786,0.033747348934412,0.033405549824237823
54,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.025087103247642517,0.8998277187347412,0.025012392550706863,0.025000223889946938,0.025072570890188217
55,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.010110784322023392,0.010052970610558987,0.010117058642208576,0.01006520725786686,0.9596539735794067
56,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.01551024615764618,0.015404666773974895,0.015443151816725731,0.9381743669509888,0.015467559918761253
57,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.015510347671806812,0.015404664911329746,0.015443149954080582,0.9381742477416992,0.01546756736934185
58,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9269134402275085,0.018226685002446175,0.018278922885656357,0.018307892605662346,0.01827310584485531
59,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.025071224197745323,0.025056367740035057,0.025140564888715744,0.0250517837703228,0.8996800780296326
60,The plan was to use one large aid station with American medics running it. How is this way better?,0.47092097997665405,0.017324557527899742,0.016736898571252823,0.016762949526309967,0.4782545864582062
