,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.020997850224375725,0.8956053256988525,0.020896291360259056,0.020833509042859077,0.02083350531756878,0.020833514630794525
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.018720140680670738,0.6490289568901062,0.018704304471611977,0.27632981538772583,0.018606020137667656,0.018610816448926926
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.01290457509458065,0.01294713281095028,0.012842311523854733,0.9355667233467102,0.012880870141088963,0.012858408503234386
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.010435317642986774,0.010453256778419018,0.01044559944421053,0.9477970600128174,0.010439594276249409,0.01042921096086502
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.009275582619011402,0.9535736441612244,0.00928783044219017,0.009271513670682907,0.00930785946547985,0.009283596649765968
5,"No, he is not here. I am taking his place.",0.05584472790360451,0.055556006729602814,0.05557810515165329,0.05568615347146988,0.055579252541065216,0.7217557430267334
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01852165348827839,0.01852588541805744,0.01858118548989296,0.01855143904685974,0.018542258068919182,0.9072775840759277
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.018542736768722534,0.018532704561948776,0.01853969320654869,0.9071579575538635,0.018531329929828644,0.018695596605539322
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.01284684706479311,0.012861285358667374,0.01286729983985424,0.012912129983305931,0.6673532128334045,0.28115925192832947
9,Can you explain to me why we are setting up two individual aid stations?,0.024197649210691452,0.024090329185128212,0.023949092254042625,0.8799842596054077,0.023819124326109886,0.02395954541862011
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.9303820133209229,0.013997960835695267,0.013916383497416973,0.013906086795032024,0.013898810371756554,0.013898742385208607
11,It won't take long.,0.04184417426586151,0.04167773947119713,0.04178159311413765,0.4889233410358429,0.042016759514808655,0.34375637769699097
12,Why does it have to be in private? We don't have a ton of time. ,0.041720762848854065,0.04174688085913658,0.7899653315544128,0.041985608637332916,0.042227912694215775,0.042353495955467224
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.023898420855402946,0.02383900247514248,0.023810602724552155,0.023813799023628235,0.8807157874107361,0.023922407999634743
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.015158469788730145,0.015170901082456112,0.015203908085823059,0.015336817130446434,0.9239165782928467,0.015213376842439175
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.009275583550333977,0.9535710215568542,0.00928783230483532,0.009271513670682907,0.009310469031333923,0.009283598512411118
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9165400862693787,0.01668214611709118,0.016691891476511955,0.01670149527490139,0.016693586483597755,0.016690827906131744
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.02083948813378811,0.020848574116826057,0.02083439566195011,0.8957000374794006,0.02086917869746685,0.020908337086439133
18,"No, he is not here. I am taking his place.",0.05586141720414162,0.055556006729602814,0.05557812377810478,0.05568631738424301,0.05557927116751671,0.7217388153076172
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.027812935411930084,0.8605101108551025,0.027780678123235703,0.02800176851451397,0.027885816991329193,0.028008708730340004
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.9303793907165527,0.01400059089064598,0.013916385360062122,0.013906088657677174,0.013898810371756554,0.013898742385208607
