,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9522541761398315,0.00795481912791729,0.007976428605616093,0.007949317805469036,0.007945278659462929,0.007955681532621384,0.007964286021888256
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.007152989041060209,0.007169310934841633,0.0071486919187009335,0.9570685625076294,0.007149508688598871,0.00715315667912364,0.007157782558351755
2,"Hello, sir. Have you eaten yet?",0.8284121751785278,0.028571760281920433,0.028571760281920433,0.028588898479938507,0.02870868891477585,0.028571762144565582,0.02857498824596405
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.017901699990034103,0.017862001433968544,0.0179017074406147,0.017863769084215164,0.01791531778872013,0.8926966190338135,0.017858922481536865
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.015892425552010536,0.015937790274620056,0.015909969806671143,0.9045345187187195,0.015925055369734764,0.015883050858974457,0.015917209908366203
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.005956715438514948,0.005955017637461424,0.005964689422398806,0.005956192966550589,0.005957632791250944,0.9642523527145386,0.005957373417913914
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.01587977632880211,0.01589280366897583,0.015896908938884735,0.01591576263308525,0.9046207666397095,0.015892216935753822,0.015901725739240646
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.008939213119447231,0.9463917016983032,0.008930958807468414,0.008935830555856228,0.008934009820222855,0.008931375108659267,0.008936895988881588
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01588079333305359,0.01589561626315117,0.9046667218208313,0.015890071168541908,0.015891069546341896,0.015885986387729645,0.015889741480350494
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.017862388864159584,0.017857292667031288,0.8927532434463501,0.01787790283560753,0.017857294529676437,0.017934568226337433,0.017857292667031288
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.01587977632880211,0.01589279994368553,0.015896905213594437,0.015912868082523346,0.9046237468719482,0.015892215073108673,0.01590171456336975
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.008939739316701889,0.9463912844657898,0.008930959738790989,0.008935830555856228,0.00893401075154543,0.008931376039981842,0.00893683172762394
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.005956713110208511,0.005955016240477562,0.005963239353150129,0.005956191103905439,0.00595762999728322,0.9642537832260132,0.005957371089607477
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.9339286088943481,0.011011054739356041,0.011010432615876198,0.011003543622791767,0.010994982905685902,0.011036005802452564,0.011015338823199272
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.011942221783101559,0.9284205436706543,0.011922715231776237,0.011932526715099812,0.011914828792214394,0.011925206519663334,0.011941961012780666
15,I don't have any questions right now.,0.03580211102962494,0.7852899432182312,0.03580310940742493,0.03578425198793411,0.03574886918067932,0.03575305640697479,0.035818640142679214
16,"No, he is not here. I am taking his place.",0.7140026092529297,0.04763643071055412,0.04761927202343941,0.04768424853682518,0.047749113291502,0.04768671467900276,0.04762163385748863
17,Can you explain to me why we are setting up two individual aid stations?,0.020464899018406868,0.020408283919095993,0.02045378088951111,0.02041175775229931,0.877373218536377,0.02047894522547722,0.020409103482961655
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.02388734184205532,0.856957733631134,0.023866914212703705,0.023823166266083717,0.023810436949133873,0.023829443380236626,0.023824958130717278
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9522573947906494,0.007954816333949566,0.007973252795636654,0.007949315942823887,0.007945277728140354,0.00795567873865366,0.007964281365275383
20,I’d rather not say.,0.04761916771531105,0.047626931220293045,0.04765576496720314,0.7141923308372498,0.04766175523400307,0.04762428253889084,0.0476197674870491
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.015892427414655685,0.015941331163048744,0.01590997539460659,0.904530942440033,0.01592506468296051,0.015883050858974457,0.01591721549630165
