,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.01562509685754776,0.01562509685754776,0.890589714050293,0.015627844259142876,0.015625448897480965,0.015638282522559166,0.015636077150702477,0.015632489696145058
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.013907826505601406,0.013895043171942234,0.013898566365242004,0.01390001643449068,0.013904986903071404,0.013901511207222939,0.013908937573432922,0.9026831388473511
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.009617877192795277,0.009618188254535198,0.009620903991162777,0.009618556126952171,0.009617544710636139,0.009617045521736145,0.009624146856367588,0.9326657056808472
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.007815626449882984,0.007814430631697178,0.007815276272594929,0.007813850417733192,0.007813969627022743,0.007813639007508755,0.9452970623970032,0.007816184312105179
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006948413327336311,0.006946081295609474,0.006951278541237116,0.9513410329818726,0.006951494608074427,0.006957467179745436,0.006952174939215183,0.006952129304409027
5,"No, he is not here. I am taking his place.",0.708146870136261,0.041666992008686066,0.04175429791212082,0.041666992008686066,0.0416744165122509,0.041666992008686066,0.04175647720694542,0.041666995733976364
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01389404945075512,0.9027494788169861,0.013893804512917995,0.01389570627361536,0.013892625458538532,0.013892102055251598,0.01389265526086092,0.013889615423977375
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.01389248576015234,0.013920456171035767,0.013896781019866467,0.013900953345000744,0.013890271075069904,0.01389156375080347,0.9027155637741089,0.013891885057091713
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.009619150310754776,0.9326481223106384,0.009622456505894661,0.009634808637201786,0.009618225507438183,0.009619375690817833,0.009618895128369331,0.009619015268981457
9,Can you explain to me why we are setting up two individual aid stations?,0.874880850315094,0.01786652021110058,0.01785820908844471,0.017863741144537926,0.017887791618704796,0.01787307672202587,0.01788913831114769,0.017880676314234734
