n_estimators,Depth,Accuracy,F1 score,Glove dimension
100,2,0.832,0.825233899,50
150,2,0.8,0.791083031,50
200,2,0.836,0.829880588,50
250,2,0.815333333,0.805352363,50
100,4,0.966,0.966242745,50
150,4,0.930666667,0.931489463,50
200,4,0.948666667,0.94902266,50
250,4,0.930666667,0.931489463,50
100,6,1,1,50
150,6,1,1,50
200,6,1,1,50
250,6,1,1,50
100,8,1,1,50
150,8,1,1,50
200,8,1,1,50
250,8,1,1,50
100,10,1,1,50
150,10,1,1,50
200,10,1,1,50
250,10,1,1,50
100,12,1,1,50
150,12,1,1,50
200,12,1,1,50
250,12,1,1,50
100,14,1,1,50
150,14,1,1,50
200,14,1,1,50
250,14,1,1,50
100,16,1,1,50
150,16,1,1,50
200,16,1,1,50
250,16,1,1,50
100,18,1,1,50
150,18,1,1,50
200,18,1,1,50
250,18,1,1,50
100,20,1,1,50
150,20,1,1,50
200,20,1,1,50
250,20,1,1,50
100,22,1,1,50
150,22,1,1,50
200,22,1,1,50
250,22,1,1,50
100,24,1,1,50
150,24,1,1,50
200,24,1,1,50
250,24,1,1,50
100,26,1,1,50
150,26,1,1,50
200,26,1,1,50
250,26,1,1,50
100,28,1,1,50
150,28,1,1,50
200,28,1,1,50
250,28,1,1,50
100,2,0.767333333,0.751568234,100
150,2,0.748666667,0.729203852,100
200,2,0.734,0.707804232,100
250,2,0.748666667,0.729203852,100
100,4,0.967333333,0.967559669,100
150,4,0.914666667,0.91560134,100
200,4,0.914666667,0.91560134,100
250,4,0.934,0.934111667,100
100,6,1,1,100
150,6,1,1,100
200,6,1,1,100
250,6,1,1,100
100,8,1,1,100
150,8,1,1,100
200,8,1,1,100
250,8,1,1,100
100,10,1,1,100
150,10,1,1,100
200,10,1,1,100
250,10,1,1,100
100,12,1,1,100
150,12,1,1,100
200,12,1,1,100
250,12,1,1,100
100,14,1,1,100
150,14,1,1,100
200,14,1,1,100
250,14,1,1,100
100,16,1,1,100
150,16,1,1,100
200,16,1,1,100
250,16,1,1,100
100,18,1,1,100
150,18,1,1,100
200,18,1,1,100
250,18,1,1,100
100,20,1,1,100
150,20,1,1,100
200,20,1,1,100
250,20,1,1,100
100,22,1,1,100
150,22,1,1,100
200,22,1,1,100
250,22,1,1,100
100,24,1,1,100
150,24,1,1,100
200,24,1,1,100
250,24,1,1,100
100,26,1,1,100
150,26,1,1,100
200,26,1,1,100
250,26,1,1,100
100,28,1,1,100
150,28,1,1,100
200,28,1,1,100
250,28,1,1,100
100,2,0.871333333,0.869764546,200
150,2,0.868666667,0.863890076,200
200,2,0.884,0.881190829,200
250,2,0.862,0.856174068,200
100,4,1,1,200
150,4,1,1,200
200,4,1,1,200
250,4,1,1,200
100,6,1,1,200
150,6,1,1,200
200,6,1,1,200
250,6,1,1,200
100,8,1,1,200
150,8,1,1,200
200,8,1,1,200
250,8,1,1,200
100,10,1,1,200
150,10,1,1,200
200,10,1,1,200
250,10,1,1,200
100,12,1,1,200
150,12,1,1,200
200,12,1,1,200
250,12,1,1,200
100,14,1,1,200
150,14,1,1,200
200,14,1,1,200
250,14,1,1,200
100,16,1,1,200
150,16,1,1,200
200,16,1,1,200
250,16,1,1,200
100,18,1,1,200
150,18,1,1,200
200,18,1,1,200
250,18,1,1,200
100,20,1,1,200
150,20,1,1,200
200,20,1,1,200
250,20,1,1,200
100,22,1,1,200
150,22,1,1,200
200,22,1,1,200
250,22,1,1,200
100,24,1,1,200
150,24,1,1,200
200,24,1,1,200
250,24,1,1,200
100,26,1,1,200
150,26,1,1,200
200,26,1,1,200
250,26,1,1,200
100,28,1,1,200
150,28,1,1,200
200,28,1,1,200
250,28,1,1,200
100,2,0.985333333,0.985272775,300
150,2,0.982666667,0.982580053,300
200,2,0.982666667,0.982580053,300
250,2,0.968,0.967666117,300
100,4,1,1,300
150,4,1,1,300
200,4,1,1,300
250,4,1,1,300
100,6,1,1,300
150,6,1,1,300
200,6,1,1,300
250,6,1,1,300
100,8,1,1,300
150,8,1,1,300
200,8,1,1,300
250,8,1,1,300
100,10,1,1,300
150,10,1,1,300
200,10,1,1,300
250,10,1,1,300
100,12,1,1,300
150,12,1,1,300
200,12,1,1,300
250,12,1,1,300
100,14,1,1,300
150,14,1,1,300
200,14,1,1,300
250,14,1,1,300
100,16,1,1,300
150,16,1,1,300
200,16,1,1,300
250,16,1,1,300
100,18,1,1,300
150,18,1,1,300
200,18,1,1,300
250,18,1,1,300
100,20,1,1,300
150,20,1,1,300
200,20,1,1,300
250,20,1,1,300
100,22,1,1,300
150,22,1,1,300
200,22,1,1,300
250,22,1,1,300
100,24,1,1,300
150,24,1,1,300
200,24,1,1,300
250,24,1,1,300
100,26,1,1,300
150,26,1,1,300
200,26,1,1,300
250,26,1,1,300
100,28,1,1,300
150,28,1,1,300
200,28,1,1,300
250,28,1,1,300
