,number_of_topics,n_neigh,accuracy,f1
0,4,3,1.0,1.0
0,5,3,1.0,1.0
0,5,4,1.0,1.0
0,6,3,0.9993333333333333,0.9993332968284376
0,6,4,0.998,0.9980006812838652
0,6,5,0.998,0.9980006812838652
0,7,3,1.0,1.0
0,7,4,1.0,1.0
0,7,5,1.0,1.0
0,7,6,1.0,1.0
0,8,3,0.9993333333333333,0.9993332237864632
0,8,4,0.9993333333333333,0.9993332237864632
0,8,5,0.9993333333333333,0.9993332237864632
0,8,6,0.9993333333333333,0.9993332237864632
0,8,7,0.9993333333333333,0.9993332237864632
0,9,3,0.9986666666666667,0.9986666666666667
0,9,4,0.9973333333333333,0.997334340032114
0,9,5,0.9966666666666667,0.9966672020869125
0,9,6,0.9966666666666667,0.9966672020869125
0,9,7,0.9953333333333333,0.9953335641510073
0,9,8,0.9953333333333333,0.9953335641510073
0,10,3,0.9993333333333333,0.999333368689828
0,10,4,0.9993333333333333,0.999333368689828
0,10,5,0.9993333333333333,0.999333368689828
0,10,6,0.9993333333333333,0.999333368689828
0,10,7,0.9973333333333333,0.9973330366983153
0,10,8,0.9946666666666667,0.994667223187771
0,10,9,0.9946666666666667,0.994667223187771
0,11,3,1.0,1.0
0,11,4,1.0,1.0
0,11,5,1.0,1.0
0,11,6,1.0,1.0
0,11,7,0.9986666666666667,0.9986670960618329
0,11,8,0.9986666666666667,0.9986670960618329
0,11,9,0.9986666666666667,0.9986670960618329
0,11,10,0.9986666666666667,0.9986670960618329
0,12,3,0.9986666666666667,0.9986656811930678
0,12,4,0.9986666666666667,0.9986656811930678
0,12,5,0.998,0.9980003585809347
0,12,6,0.998,0.9980003585809347
0,12,7,0.998,0.9980003585809347
0,12,8,0.998,0.9980003585809347
0,12,9,0.998,0.9980003585809347
0,12,10,0.998,0.9980003585809347
0,12,11,0.998,0.9980003585809347
0,13,3,0.9986666666666667,0.9986667747474484
0,13,4,0.9973333333333333,0.9973330046927228
0,13,5,0.9973333333333333,0.9973330046927228
0,13,6,0.9973333333333333,0.9973330046927228
0,13,7,0.9973333333333333,0.9973330046927228
0,13,8,0.9973333333333333,0.9973330046927228
0,13,9,0.9973333333333333,0.9973330046927228
0,13,10,0.9973333333333333,0.9973330046927228
0,13,11,0.9973333333333333,0.9973330046927228
0,13,12,0.9973333333333333,0.9973330046927228
0,14,3,0.998,0.998000324242345
0,14,4,0.998,0.998000324242345
0,14,5,0.998,0.998000324242345
0,14,6,0.998,0.998000324242345
0,14,7,0.996,0.9960017320728404
0,14,8,0.9933333333333333,0.9933306794090185
0,14,9,0.9933333333333333,0.9933306794090185
0,14,10,0.9933333333333333,0.9933306794090185
0,14,11,0.9933333333333333,0.9933306794090185
0,14,12,0.9933333333333333,0.9933306794090185
0,14,13,0.994,0.9939989307148305
0,15,3,0.9986666666666667,0.9986665929839125
0,15,4,0.9986666666666667,0.9986665929839125
0,15,5,0.9973333333333333,0.9973325264131024
0,15,6,0.9973333333333333,0.9973325264131024
0,15,7,0.9973333333333333,0.9973325264131024
0,15,8,0.9973333333333333,0.9973325264131024
0,15,9,0.9973333333333333,0.9973325264131024
0,15,10,0.9973333333333333,0.9973325264131024
0,15,11,0.9946666666666667,0.9946675936113547
0,15,12,0.9946666666666667,0.9946675936113547
0,15,13,0.9946666666666667,0.9946675936113547
0,15,14,0.9946666666666667,0.9946675936113547
0,16,3,1.0,1.0
0,16,4,0.9986666666666667,0.99866622554275
0,16,5,0.9986666666666667,0.99866622554275
0,16,6,0.9986666666666667,0.99866622554275
0,16,7,0.9986666666666667,0.99866622554275
