,id,avatar_prompt_id,identifier,response_text,response_score,response_feedback,comment,id,turk_response_text,prompt_type,assignment,identifier,comment,response_round_score
1599,42,42,14a,"Our medics are better at doing this sort of thing, and your men are better at site security.",2.67,"You mentioned each team's relative strengths, but unless you incentivize their job's importance and appeal to the leader's pride, they will keep doing what they were doing.",,1288,"Since your men are very skilled at site security,  I suggest that our medics handle the victims in one large aid station.  ",rewrite,3NC5L260MOMLQFBJET1K5ENFNJPOF2a,14a,,3
1431,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,562,"Alright, now that we are alone, please explain why you think we should have two aid stations?",rewrite,38F71OA9GTWXQCQ71DM7DAYASJEMFPa,12a,,3
706,17,17,6b,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",2.0,Worst option since the tone is quite casual and seems to be flippant of the Chinese Officers situation.,,194,"Due to the fact that your plane was delayed, I would like to meet and partner together to discuss our plans for the mission.",rewrite,3S96KQ6I9M445N2VJ4STBOQHAEODT0b,6b,,1
669,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,181,I heard you had a flight delight. I have a few questions to make sure the mission is still going smoothly.,rewrite,3QXNC7EIPIVRMOSN9MZH5H5MMIL90Ca,6a,,3
893,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1476,I can't get my job done without your help. Otherwise I have to notify my commander that we can't follow the plan. I know both of us don't want that to happen - is there a compromise that works for you and me?,rewrite,30BUDKLTXDV7CR55E3LFEQ2OUNFE5Fb,7b,,5
23,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,385,"He won't be in today, no. I will be his stand in.",rewrite,3DR23U6WE5E9XTGVFZ3DH682AQ8ETDa,2a,,1
203,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,27,Unfortunately he is not able to attend but I am more than capable of assisting you.,rewrite,3VA45EW49NNU00HB7UMZGCJLKBA1OKc,2c,,5
279,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1346,He was needed on an unexpected mission and cannot attend today.,rewrite,3GS6S824SQX5JGX233B7UD9ASCJWN2b,3b,,5
1005,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1598,"If we have your extra men we can do this, the supplies are abundant and man power is sparse without your help.",rewrite,3JZQSN0I3QAXY2ULQAOC05EDWX4GFDd,7d,,3
1305,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,1012,What is your reasoning in setting up two different aid stations?,rewrite,3QY7M81QH7MPLVBYYIBFA5TP5QU7KVb,10b,,1
1549,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1203,Why would it be better to have two stations when they can all work together in one? One large one with the American medics running it would be the best option.,rewrite,3TVRFO09GKFUKGZ71VREJ4JSWJHXLMa,13a,,3
1395,35,35,11a,It won't take long.,3.0,Gently nudging your interests forward after they have already been stated is a good way to push your position without aggravating the team leader.,,513,This will be quick.,rewrite,3GD6L00D3SX60XWZUE7MO8UGR9YM1Ra,11a,,3
1422,36,36,11b,Why does it have to be in private? We don't have a ton of time. ,1.33,"Questioning the team leader's authority will be seen as an attack on his legitimacy as a leader, and will set the stage for future hostile interactions.",,502,Why does it need to be in private? We do not have much time.,rewrite,388U7OUMF71XQOO933Z3W25GS4K0RJb,11b,,1
