HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,30X31N5D63Q5SGM4AUW1BIMPXLBAS0,A2YFWF0H8SMYV8,Submitted,Sun Jan 20 08:11:29 PST 2019,Sun Jan 20 08:13:31 PST 2019,Wed Jan 23 08:13:31 PST 2019,,,,122,0% (0/0),0% (0/0),0% (0/0),"Since nobody else is here, I wanted to find out from you why you want to set up two aid stations.|Thank you for taking the time to meet with me. Could you explain the aid station portion of the plan? That is the part that concerned me.|It is an honor to meet with you. Can i get you anything to eat",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,31Z0PCVWUKFOOE1LSRP7BWGLYWJ7TV,A2BD4LRNUZX65A,Submitted,Sun Jan 20 08:11:15 PST 2019,Sun Jan 20 08:15:22 PST 2019,Wed Jan 23 08:15:22 PST 2019,,,,247,0% (0/0),0% (0/0),0% (0/0),"Esteemed sir. Now that we have the opportunity to talk, I need to ask why you want to set up two aid stations as this time?|Sir, thanks for taking the time to meet with me today. I have a concern about the plan you shared about the aid stations. While these aid stations are a valuable part of our strategy, I have a couple concerns which I would like to address with you. |""Good afternoon, sir. Before we dive into discussing the strategy, would you like to share a meal?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,326O153BMIY2G4KYT93YC2QGHXZDE4,AVBLMDK750VFG,Submitted,Sun Jan 20 08:10:58 PST 2019,Sun Jan 20 08:17:26 PST 2019,Wed Jan 23 08:17:26 PST 2019,,,,388,0% (0/0),0% (0/0),0% (0/0),"Now that we have some privacy, I respectfully inquire as to why you request two aid stations?|Sir, thank you for granting my request for a meeting.  I am not exactly clear as to your intentions with the aid stations, , can you clarify?|Sir, thank you for meeting with me.  Can I get you anything to eat before we talk?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,32KTQ2V7RDFOP2ZUYRMF3ECZZEGM9Q,A3NBT0WBUQ1AJ4,Submitted,Sun Jan 20 09:35:06 PST 2019,Sun Jan 20 09:38:31 PST 2019,Wed Jan 23 09:38:31 PST 2019,,,,205,0% (0/0),0% (0/0),0% (0/0),"Now that I can speak to you in confidence, I would like to know why you intend to set up two aid stations. |Thank you for agreeing to meet with me.  I would like to discuss the part of your plan involving aid stations. I am concerned about the aid stations and would like to learn more from you about that aspect of your plan. |Hello, commander.  Would you like anything to eat?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,32M8BPYGATMH8TWBRIUX32R5MIMGIQ,AUB2Y2EREGBUZ,Submitted,Sun Jan 20 08:16:47 PST 2019,Sun Jan 20 08:22:00 PST 2019,Wed Jan 23 08:22:00 PST 2019,,,,313,0% (0/0),0% (0/0),0% (0/0),"I would like to speak with you privately when you have a free moment. I would like to inquire as to why you want to set up two aid stations?|Thank you kindly for meeting with me. I would like to express my concerns regarding the aid stations. Could you please elucidate?|How are you doing today, dear friend? Have you had anything to eat today?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,32SCWG5HIH47SMU9S0BV08FSEIJP6E,AP4WHIGKMQFMS,Submitted,Sun Jan 20 09:35:38 PST 2019,Sun Jan 20 09:38:02 PST 2019,Wed Jan 23 09:38:02 PST 2019,,,,144,0% (0/0),0% (0/0),0% (0/0),I am in private .Do you want to set up two aid stations? |Thank you very much for meeting me today however I have a concern regarding the part of the plan involving aid stations. Would you please explain that specific part of the plan?|Thank you very much for clarifying. Have you eaten already?,,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,333U7HK6I9FARK6Q7AEP9I38M5XJDX,AIHVLBHJROONN,Submitted,Sun Jan 20 08:47:03 PST 2019,Sun Jan 20 08:51:40 PST 2019,Wed Jan 23 08:51:40 PST 2019,,,,277,0% (0/0),0% (0/0),0% (0/0),"Now that we're in private, I'd like to know why you want to set up two aid stations.|Thanks for meeting with me. I have concerns regarding the aid station plan. Can you explain the plan to me?|Hi, how are you doing? Have you eaten yet?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,33C7UALJVLYRF8UV0DX3JQTLHXY81A,A17V85U8PXS4LJ,Submitted,Sun Jan 20 08:11:21 PST 2019,Sun Jan 20 08:13:18 PST 2019,Wed Jan 23 08:13:18 PST 2019,,,,117,0% (0/0),0% (0/0),0% (0/0),"We are alone now so what do you want to put up two stations.|I appreciate your pulling me aside but if you don't mind my asking: Why did you recommend that part to the plan for the aid stations?|Welcome, sir, have you had dinner yet?",,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,3483FV8BEEJB0FT3Q20J4V7Z38N624,A1TM0YUPC90UFZ,Submitted,Sun Jan 20 08:30:18 PST 2019,Sun Jan 20 08:34:22 PST 2019,Wed Jan 23 08:34:22 PST 2019,,,,244,0% (0/0),0% (0/0),0% (0/0),Ask him in private why he wants to set up an additional aid station.|Ask him to explain the part of the plan involving the aid stations and thank him for meeting with you. |Give him a respectful greeting and ask him if he needs something to eat.,,
3VJ4PFXFJ37IL9GE9WL02Z8S4YTUA3,3PVEVXFK77AGTYEBHU1RCFXV778ADW,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 12",$0.20 ,Sun Jan 20 08:08:04 PST 2019,50,BatchId:3505131;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:08:04 PST 2019,,,37XITHEISW9HKGJPFJSNR37HBMFRCX,A33Z2265ZOIZOZ,Submitted,Sun Jan 20 08:48:25 PST 2019,Sun Jan 20 08:50:15 PST 2019,Wed Jan 23 08:50:15 PST 2019,,,,110,0% (0/0),0% (0/0),0% (0/0),"I am in private and available to discuss your alternative. What is your reasoning for two aid stations?|Thanks you for meeting with me, I am concerned about the plan involving aid stations. Can you explain that part in more detail?|Hello Sir, its a pleasure to meet you. Have you eaten yet? Can I get you anything?",,
