HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3QBD8R3Z21JBSZEUUC51EAQO8MB4OL,A11QDNT3W7DT7K,Submitted,Sun Jan 20 07:49:47 PST 2019,Sun Jan 20 07:50:45 PST 2019,Wed Jan 23 07:50:45 PST 2019,,,,58,100% (13/13),0% (0/0),0% (0/0),"We'll give it a try, but it may be difficult.|That can't happen. We need the supplies at the station, so your team is on security.|Stop - we need to take these to the station.|I don't think that will work, despite your intent to help.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3YDTZAI2WXGQW77TOA7Q2EDGFB114V,A1979KWJEIVATJ,Submitted,Sun Jan 20 07:40:04 PST 2019,Sun Jan 20 07:43:37 PST 2019,Wed Jan 23 07:43:37 PST 2019,,,,213,0% (0/0),0% (0/0),0% (0/0),"This complicates things, but we can figure it out.|That's not what I wanted. The supplies need to be brought to the aid station, and you're going to be on security. |I disagree. This stuff needs to be returned to the aid station right this minute. |Nope, that is bound to fail. I appreciate your offer, but it's not helpful.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,38YMOXR4MUZXCVRA4MPQS2NO7FFW69,A1FMHI1NY82HN9,Submitted,Sun Jan 20 07:39:49 PST 2019,Sun Jan 20 07:43:20 PST 2019,Wed Jan 23 07:43:20 PST 2019,,,,211,0% (0/0),0% (0/0),0% (0/0),"It will be hard,but we can work with this.|This is how it's going to work, I need to go get the stuff from the aid station, and you're going to work security.|No. The supplies have to go back to the aid station right away.|No. It's not working. I know you just want to help, but it's not working.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3WOKGM4L71GUTBWTBBIZ270BRAVO0P,A1GKEEI844CEKI,Submitted,Sun Jan 20 07:53:58 PST 2019,Sun Jan 20 07:55:02 PST 2019,Wed Jan 23 07:55:02 PST 2019,,,,64,0% (0/0),0% (0/0),0% (0/0),"That will make it harder, but I think we can work around it |This is what needs to be done, I need those supplies back at the aid station and on security |The supplies need to go back right now. |That is not going to work, I know your helping but it is not working.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,34FNN24DCM95IWMWE4X9LTU4MS4Y5U,A1PTH9KTRO06EG,Submitted,Sun Jan 20 07:39:44 PST 2019,Sun Jan 20 07:42:09 PST 2019,Wed Jan 23 07:42:09 PST 2019,,,,145,0% (0/0),0% (0/0),0% (0/0),"Thats going to make thing more difficult than before, but well still work with it.|No here is what we are going to make happen. Get those supplies back to the aid station, and youll be on security.|No, get those supplies back to the aid station now.|No, thats not going to be able to work. I know you want to help, but its not working out.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3ERMJ6L4DYSKBJB1JUOVPILT4OMM78,A1TOLWATRG2MPG,Submitted,Sun Jan 20 08:00:30 PST 2019,Sun Jan 20 08:03:06 PST 2019,Wed Jan 23 08:03:06 PST 2019,,,,156,0% (0/0),0% (0/0),0% (0/0),"We can get it done, but it is going to be difficult. |This is what needs to happen. Supplies need to go back to the aid station, and you need to be on security. |Absolutely not, the aid station needs those supplies right now. |It is not going to work. I know you want to help, but that's not going to work.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3Y5140Z9DXGNL6PAU1KKXB5XN98PI2,A1U77XDX5VK70V,Submitted,Sun Jan 20 07:51:06 PST 2019,Sun Jan 20 07:55:45 PST 2019,Wed Jan 23 07:55:45 PST 2019,,,,279,0% (0/0),0% (0/0),0% (0/0),It will be a bit more difficult but we will find a way|I really need you on security and for those supplies to make their way back to the station|It is important that the supplies be sent to the aid station as soon as possible|Your suggestions are not as functional right now and I understand all you are tying to do is help,,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3SBEHTYCWN3HUKHBLOG3A2Y9REBYI5,A1Y4C2TYJFRF1G,Submitted,Sun Jan 20 08:02:32 PST 2019,Sun Jan 20 08:06:35 PST 2019,Wed Jan 23 08:06:35 PST 2019,,,,243,0% (0/0),0% (0/0),0% (0/0),"Although this will make things more difficult, I believe we can work around it. |I disagree. You are going to be on security and I need those supplies back at the aid station. |Incorrect. I need those supplies back at the aid station immediately. |That's not going to work. Although you are trying, your help isn't succeeding.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3KXIR214I4GXLSPP7E747XNL7HG24E,A23MCHRW2IBC6K,Submitted,Sun Jan 20 08:06:37 PST 2019,Sun Jan 20 08:12:00 PST 2019,Wed Jan 23 08:12:00 PST 2019,,,,323,0% (0/0),0% (0/0),0% (0/0),"That may not work, but I'm sure we can find some other way to do it.|I disagree. I need you to take care of security. Supplies will go back to the aid station.|No. Supplies must go to the aid station now.|No, that wont work. Your help is appreciated, but it is adversely affecting the mission.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3LRLIPTPEQ974X9W5LNZKWVFGRXAKI,A2ABOMU5VUN9NG,Submitted,Sun Jan 20 07:52:29 PST 2019,Sun Jan 20 07:54:27 PST 2019,Wed Jan 23 07:54:27 PST 2019,,,,118,0% (0/0),0% (0/0),0% (0/0),We can figure out how to work with the situation although it will be hard.|I require the supplies to be back at the aid station with you working security.|The supplies must go back to the aid station promptly.|I appreciate your assistance but I am unable to work with this currently.,,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3P4RDNWND56RZVMCZOF00FJLEA2IJV,A2CMMYJA87O25N,Submitted,Sun Jan 20 07:51:42 PST 2019,Sun Jan 20 07:53:33 PST 2019,Wed Jan 23 07:53:33 PST 2019,,,,111,0% (0/0),0% (0/0),0% (0/0),"This isn't going to help us, however we'll be able to manage.|You don't understand.  We need to hand out supplies at the aid station, and it's important that you handle security concerns.|There is no room for negotiations here.  The supplies belong at the aid station.|I know you have good intentions, but I don't think this solution is practical.",,
3MQKOF1EE2OTBK8VO6R3AO1VAH1WD6,30AWZEBKT2R6O68XHY6GS9FDM7WACW,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 15",$0.20 ,Sun Jan 20 07:39:18 PST 2019,30,BatchId:3505102;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 07:39:18 PST 2019,,,3PDJHANYK5GFF5WL9N3QRZD1SR36HK,A2MHM7JK1T9XHR,Submitted,Sun Jan 20 07:44:44 PST 2019,Sun Jan 20 07:47:03 PST 2019,Wed Jan 23 07:47:03 PST 2019,,,,139,0% (0/0),0% (0/0),0% (0/0),"This makes things a little harder but we can still work with it.|Hold on. Take those supplies back to the aid station, then go work security instead.|Take those supplies back to the aid station immediately.|Don't do that. I understand you want to help, but not like this.",,
