HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,30LB5CDZNCA6SFA0DKTGI57FBE30Z8,A33Z2265ZOIZOZ,Submitted,Sun Jan 20 09:08:35 PST 2019,Sun Jan 20 09:10:25 PST 2019,Wed Jan 23 09:10:25 PST 2019,,,,110,0% (0/0),0% (0/0),0% (0/0),"Sir, we need your men on security.|Sir, it would be best for the mission if your men were on security.|Your soldiers can help with the aid station, but we will hand out supplies. |Okay. Your men can pack the supply bags and my men will distribute them.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,30LSNF239UVRTZO4S3981YX4CZK2IW,A1EOVMNNT8Q370,Submitted,Sun Jan 20 08:51:22 PST 2019,Sun Jan 20 08:53:21 PST 2019,Wed Jan 23 08:53:21 PST 2019,,,,119,0% (0/0),0% (0/0),0% (0/0),"I need you to station your self on security. |If you take a security post you will help us win this mission.|Your people can help with the aid, but my soldiers will handle the supplies. |I done fighting, you team may pack supplies and my team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,31N2WW6R9RQW4QIXVVHSHBP42LSF3T,A1ZE52NWZPN85P,Submitted,Sun Jan 20 08:53:16 PST 2019,Sun Jan 20 08:54:50 PST 2019,Wed Jan 23 08:54:50 PST 2019,,,,94,0% (0/0),0% (0/0),0% (0/0),"Sir, the United States needs your men to work security.|We believe your designation to security will help the mission succeed.|Your team can help here, but please allow my soldiers to hand out the supplies.|Go right ahead, sir. Your men can pack and my men will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,320DUZ38G7MD34GH90FXF365ZXFGJ6,A3MOHY42B7HDWU,Submitted,Sun Jan 20 09:10:29 PST 2019,Sun Jan 20 09:14:16 PST 2019,Wed Jan 23 09:14:16 PST 2019,,,,227,100% (3/3),0% (0/0),0% (0/0),"We really need you to work with security on this project, please instruct your people to work security.|In order for the mission to succeed, your team is needed for security.|Okay, your team can assist in the aid station under the supervision of my team who will hand out the supplies.|Reluctantly I agree to allow your team to help in the aid station by packing supply bags, but the US team will dispense them.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,32EYX73OY09D6A0P1ADNL9TNIMOURC,A2DHULMYU99OIO,Submitted,Sun Jan 20 09:19:30 PST 2019,Sun Jan 20 09:23:07 PST 2019,Wed Jan 23 09:23:07 PST 2019,,,,217,100% (2/2),0% (0/0),0% (0/0),"The US needs them on security, please tell him. |Inform him that it will help the overall mission if they are on security. |Tell him your soldiers will hand out supplies, and his team will help at the aid station.|Tell him his team can help by packing supply bags your team will hand out, you have given up fighting.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,32Q90QCQ1SLAUAQ8LQPLGFL616XKEP,A28PSBVTD53WQV,Submitted,Sun Jan 20 08:27:47 PST 2019,Sun Jan 20 08:36:17 PST 2019,Wed Jan 23 08:36:17 PST 2019,,,,510,0% (0/0),0% (0/0),0% (0/0),"Commander, your soldiers need to be on security.|Having your soldiers on security will benefit both the Americans, Chinese and the refugees.|The Chinese may help in the aid station, Commander. However, it is best my soldiers hand out the supplies.|I understand your points and have an agreement. Your soldiers can pack supply bags while our team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,32RIADZISS4QQR6N1TMAYF0P5BHS49,A24YLA3ZDB7CX,Submitted,Sun Jan 20 08:51:12 PST 2019,Sun Jan 20 08:55:11 PST 2019,Wed Jan 23 08:55:11 PST 2019,,,,239,0% (0/0),0% (0/0),0% (0/0),"We thank you for your assistance; what we need from you is security of the aid station.|From a strategic standpoint, we feel the best use of your assistance would be to act as security to the aid station. |We see the best course of action is to have your team work security of the aid table while our team distributes the aid.|In addition to security, your team could be very helpful in packing the aid supplies into packages that our team can distribute.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,33CID57104TI4ISTH6KQCOUOZHCL32,A2SMEB68NUZ2Y6,Submitted,Sun Jan 20 08:31:10 PST 2019,Sun Jan 20 08:33:39 PST 2019,Wed Jan 23 08:33:39 PST 2019,,,,149,0% (0/0),0% (0/0),0% (0/0),"The United States needs your men to work on security. |If they are on security, it will benefit the mission overall. |You team can help out at the aid station, but it will be my soldiers who pass out the supplies. |I'm done arguing. Your team can help by packing the supply bags that my team will be handing out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,33NF62TLXJ2I5QC0ZR0CDVYY6ETKJA,A29VJDTNNW65KT,Submitted,Sun Jan 20 08:29:28 PST 2019,Sun Jan 20 08:37:14 PST 2019,Wed Jan 23 08:37:14 PST 2019,,,,466,0% (0/0),0% (0/0),0% (0/0),"The United States team is now in charge of the aid station and will oversee distribution of the supplies, the Chinese team is now on security detail.|This change in assignment is critical to the joint mission and need the Chinese on security detail to ensure its success.|The United States team will still utilize your Chinese team in the aid station, but the United States team will take charge of handing out the supplies.|Please assign a portion of your team to assist packing supply teams. The United States will ensure distribution.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,340UGXU9DY15ZHH6AUIXM6IQ3SZUV3,A2MHM7JK1T9XHR,Submitted,Sun Jan 20 08:55:28 PST 2019,Sun Jan 20 08:57:31 PST 2019,Wed Jan 23 08:57:31 PST 2019,,,,123,0% (0/0),0% (0/0),0% (0/0),"The US team has it covered with handing out supplies; we really need you on security instead.|It would really benefit the overall mission if your team works security instead.|I don't mind if you want to help out at the aid station, but I'd prefer my soldiers hand out the supplies.|You win. You and your team can help out by packing the supplies. My team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,34Q075JO1XD9XJPS59KOQBN3YZQ01J,A11BACV6DY5S8M,Submitted,Sun Jan 20 09:05:34 PST 2019,Sun Jan 20 09:07:53 PST 2019,Wed Jan 23 09:07:53 PST 2019,,,,139,92% (11/12),0% (0/0),0% (0/0),"Our country really needs you for this.|You will be a great asset to the overall mission if your men provide security.|We could use your support at the aid center, but supplies are covered.|The fighting has ceased. Let him know that his team can help by packing supplies, and yours can by handing them out.",,
