HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,304SM51WA34ABQRWG8WX6T6VF3YSBF,A1ZE52NWZPN85P,Submitted,Sun Jan 20 08:51:54 PST 2019,Sun Jan 20 08:53:12 PST 2019,Wed Jan 23 08:53:12 PST 2019,,,,78,0% (0/0),0% (0/0),0% (0/0),"Please don't leave, sir. This will hurt the mission.|If you stay, your men can pack supplies and pass out water.|If you leave now it will hurt the mission.|I understand that you don't want to do this, but leaving will hurt the mission.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,320DUZ38G7MD34GH90FXF365ZXDGJ4,A8E99XNOTT390,Submitted,Sun Jan 20 08:46:18 PST 2019,Sun Jan 20 08:48:49 PST 2019,Wed Jan 23 08:48:49 PST 2019,,,,151,0% (0/0),0% (0/0),0% (0/0),"Please do not leave, these refugees really need help, and leaving will have a negative impact on our mission.|It would be best to divide the work. You're team can pack supplies and hand out water while our team distributes the supplies.|If your team leaves, it will hurt the mission and the people we are trying to help.|I understand you've objections, but if you leave, our mission will be hurt.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,32RIADZISS4QQR6N1TMAYF0P5BI4SM,A37XX32F7FC9SA,Submitted,Sun Jan 20 08:51:03 PST 2019,Sun Jan 20 08:55:53 PST 2019,Wed Jan 23 08:55:53 PST 2019,,,,290,0% (0/0),0% (0/0),0% (0/0),"I understand that you are upset sir, but you and your men are critical to this mission. Please stay for the sake of the mission.|Can we compromise on the matter? Your team can pack supplies and distribute the water.|If you leave the mission will be damaged.|I understand you want to be treated equally in the mission, but if you leave the mission will suffer.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,33C7UALJVLYRF8UV0DX3JQTLHX281E,A11PQRJNZ2DUOF,Submitted,Sun Jan 20 09:08:47 PST 2019,Sun Jan 20 09:10:24 PST 2019,Wed Jan 23 09:10:24 PST 2019,,,,97,0% (0/0),0% (0/0),0% (0/0),"Sir, we don't want you to leave as that will be detrimental to the mission.|What we can do however, is have your men pack our supplies and hand out water.|If you decide to leave, it will hurt our mission.|I understand that you'd rather help out in other ways, but it's just not working out the way it is intended. It'll impact us if you leave however.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,33L7PJKHCGYSOS642WHDPWCG9GRT86,A2EED3HLTA96CP,Submitted,Sun Jan 20 08:49:11 PST 2019,Sun Jan 20 08:51:48 PST 2019,Wed Jan 23 08:51:48 PST 2019,,,,157,100% (3/3),0% (0/0),0% (0/0),"I would respectfully ask you to please stay. Otherwise it will impact the mission.|How about if you guys pack the supplies and distribute the water?|If you leave the mission sufferers.|Look.I hear what you're saying: you don't want to engage here. But if you leave, the mission suffers.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,33SA9F9TRXU1PAKPA48O4QF1OD8EWH,A3RT82GOZ3OGJO,Submitted,Sun Jan 20 08:52:42 PST 2019,Sun Jan 20 08:58:10 PST 2019,Wed Jan 23 08:58:10 PST 2019,,,,328,0% (0/0),0% (0/0),0% (0/0),I would appreciate it if you would stay because your presence is critical to our mission.|We already have a system set up but if your men would pack the supplies and pass out water it would be most helpful.|You presence is critical to the mission and leaving would endanger it.|I can appreciate you position but if you leave the mission will suffer.,,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,34YB12FSQYO34CM2CXSPVVYM3RAMGG,A207MWA5U0GWA5,Submitted,Sun Jan 20 09:15:11 PST 2019,Sun Jan 20 09:22:26 PST 2019,Wed Jan 23 09:22:26 PST 2019,,,,435,0% (0/0),0% (0/0),0% (0/0),"Sir, This mission is far more important to help the people, please let us proceed together in a calm reasonable manner. that is what would help the people the most.|Sir, you and your men are not aware of our procedures, so i must ask that you help with the logistics of packing supplies and handing out water because that will help us tremendously to free up specialist that are needed in other areas to help the people faster.|Sir, if you leave it will hurt the mission of helping your people. Stay your people need you.|Sir, i understand you feel this is beneath you, but sometimes its the people in the background that make everything possible. You leaving will only hurt your people.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,354P56DE9K3N9EO63RKH1RKZWD87S9,A17SWXSZOWCC3M,Submitted,Sun Jan 20 08:54:59 PST 2019,Sun Jan 20 08:59:10 PST 2019,Wed Jan 23 08:59:10 PST 2019,,,,251,0% (0/0),0% (0/0),0% (0/0),"I ask that you reconsider staying, if you leave, it will affect the mission. |I think we can easily compromise, and your men can help pack the supplies and hand out water. |Leaving would really hurt the mission. |I understand this isn't what you want to do, but if you leave, it will affect the mission negatively.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,354P56DE9K3N9EO63RKH1RKZWD97SA,A1G84UV90TGHSR,Submitted,Sun Jan 20 09:07:26 PST 2019,Sun Jan 20 09:09:24 PST 2019,Wed Jan 23 09:09:24 PST 2019,,,,118,100% (6/6),0% (0/0),0% (0/0),I respectfully ask you to stay. If you leave the mission will be compromised.|How does this sound--your men can pack the supplies and pass out the water.|Your leaving will leave the mission in tatters.|Look. I get it. This is not what you wanted. But you need to stay or there goes the mission.,,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,358010RM5ETXGLB1FZTK6DHUXAGVXW,A1FOZ4Y26FB6RP,Submitted,Sun Jan 20 08:48:12 PST 2019,Sun Jan 20 08:51:52 PST 2019,Wed Jan 23 08:51:52 PST 2019,,,,220,0% (0/0),0% (0/0),0% (0/0),"Please reconsider your decision. Leaving will hurt the mission and you dont want that. Do you? |Okay, how about this sir, let your men pack the supplies and pass out the water. How about that? |I think that compromise should help. Please dont leave, it will be a bad idea.|I truly understand that this makes you and your men feel less important here and you dont want that but your leaving will hurt both our relationship and the mission.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,36V4Q8R5ZK0UH1GGFTX1P92O9EHQMD,AIHVLBHJROONN,Submitted,Sun Jan 20 08:46:58 PST 2019,Sun Jan 20 08:48:37 PST 2019,Wed Jan 23 08:48:37 PST 2019,,,,99,0% (0/0),0% (0/0),0% (0/0),"Please don't leave; it'll hurt the mission.|Fine. Your men can pack supplies and pass out water.|Leaving will hurt the mission.|I understand if you don't want to do this, but it'll really hurt the mission if you leave.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,37FMASSAYCRLHCO0BW2J2R0865XBI7,A2MHM7JK1T9XHR,Submitted,Sun Jan 20 08:59:44 PST 2019,Sun Jan 20 09:01:03 PST 2019,Wed Jan 23 09:01:03 PST 2019,,,,79,0% (0/0),0% (0/0),0% (0/0),Please don't leave. It would really hurt the mission if you do.|Okay how about this: your men can pack the supplies and pass out the water.|Leaving now would really jeopardize the mission.|I understand how you feel but leaving now will really hurt the mission.,,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,388U7OUMF71XQOO933Z3W25G2XI0RD,AW1QY7Q83DYCJ,Submitted,Sun Jan 20 08:44:37 PST 2019,Sun Jan 20 08:47:54 PST 2019,Wed Jan 23 08:47:54 PST 2019,,,,197,0% (0/0),0% (0/0),0% (0/0),"The mission will fail if you do not participate.|Lets work together by having your men pack supplies and distribute water.|Abandoning this site would be mission failure.|I understand your reluctance in participating, but your presence is mission critical.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,39LOEL67OS5NPB8ANHBM7J8IFHG836,A1GFN7WDJ0GX5V,Submitted,Sun Jan 20 09:09:25 PST 2019,Sun Jan 20 09:12:51 PST 2019,Wed Jan 23 09:12:51 PST 2019,,,,206,100% (1/1),0% (0/0),0% (0/0),"The mission is very important to us both, please do not leave.|Why don't you have your men pack supplies plus hand out the water?|Let's not forget how important the mission is and we need you to be successful. |I understand that you want to be treated equally and we want to work together so please do not leave and doom the mission.",,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,3A0EX8ZRN8O77C35FEOMOFUWWOTYBY,AF5OX8V2MJZCY,Submitted,Sun Jan 20 08:35:21 PST 2019,Sun Jan 20 08:39:13 PST 2019,Wed Jan 23 08:39:13 PST 2019,,,,232,0% (0/0),0% (0/0),0% (0/0),I need you on this mission and we all need to work together.|We all need to work together and have hands on all tasks. I need your men to pack supplies and pass out water.|By you leaving it will undermine the mission. I need you to focus on the task at hand.|I understand your concerns but we need help the most by packing supplies and handing out water.,,
3XT3KXP24ZYCPG9BP2FA3RIVEKH6II,3OSXIFYM55HJ5IO2JK2ZI00SKZOAG6,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 17",$0.25 ,Sun Jan 20 08:30:46 PST 2019,50,BatchId:3505148;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:30:46 PST 2019,,,3AWETUDC92SHZARGHAIMO97BX8HIZI,A1A4F9XE3IQ6M0,Submitted,Sun Jan 20 08:32:56 PST 2019,Sun Jan 20 08:35:42 PST 2019,Wed Jan 23 08:35:42 PST 2019,,,,166,0% (0/0),0% (0/0),0% (0/0),"Sir, if you leave it will compromise this mission. Not only will the mission fail, but the victims will suffer even more.|We can compromise to be equal. The US team will distribute supplies and the Chinese military will pack supplies and distribute water.|If you leave, it would drastically hurt the mission.|I fully understand you do not want to do this, but the victims will suffer if you leave. We are here to protect and to serve the people, let's not let them down.",,
