HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,31EUONYN2V3AMCX9E86ON0Q1L67OVG,A3JHXEH79DJ83L,Submitted,Sun Jan 20 07:42:26 PST 2019,Sun Jan 20 07:44:05 PST 2019,Wed Jan 23 07:44:05 PST 2019,,,,99,0% (0/0),0% (0/0),0% (0/0),"I don't care, whatever.|I don't think so, but I guess it's alright.|Sure, no problem.|If you are bullying me, then go ahead.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,324G5B4FB38N854UUP1XRLEG1LL70I,A11QDNT3W7DT7K,Submitted,Sun Jan 20 07:47:05 PST 2019,Sun Jan 20 07:47:46 PST 2019,Wed Jan 23 07:47:46 PST 2019,,,,41,100% (13/13),0% (0/0),0% (0/0),"Sure, that's fine.|I don't think it's the best idea, but we'll allow it.|They can film, that's fine.|If that's what you'd like, sure, let them in.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,32KTQ2V7RDFOP2ZUYRMF3ECZZEA9M7,A31J3022SQPIMW,Submitted,Sun Jan 20 07:48:53 PST 2019,Sun Jan 20 07:49:53 PST 2019,Wed Jan 23 07:49:53 PST 2019,,,,60,0% (0/0),0% (0/0),0% (0/0),"Anything you want to do is OK.|I am not sure if we should do that, but it will probably be fine.|You may allow your film team to enter.|If that's the only choice, fine, they may enter.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,32RIADZISS4QQR6N1TMAYF0P5BDS45,A1RAMKQ7DTZSY9,Submitted,Sun Jan 20 07:45:08 PST 2019,Sun Jan 20 07:48:55 PST 2019,Wed Jan 23 07:48:55 PST 2019,,,,227,100% (3/3),0% (0/0),0% (0/0),"Sure, go ahead and do what you want. |I don't think that's a very good way to do that, but I think it's alright.|Alright, go ahead and send in your film team.|They can come in at your command.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,32Z9ZLUT1LK54B2P9JPK8ZZSDRXHOK,A2XGO7G61F5KBN,Submitted,Sun Jan 20 07:48:35 PST 2019,Sun Jan 20 07:53:15 PST 2019,Wed Jan 23 07:53:15 PST 2019,,,,280,0% (0/0),0% (0/0),0% (0/0),"Okay, do what you desire.|I am reluctant, however I don't see any problems arising.|Alright, you may allow your film crew to enter.|If you strongly suggest it, they may enter.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,336KAV9KYQSDJZ39WLVBNMRS2IEY2U,A2X4XHTGDW15RF,Submitted,Sun Jan 20 08:00:58 PST 2019,Sun Jan 20 08:04:06 PST 2019,Wed Jan 23 08:04:06 PST 2019,,,,188,0% (0/0),0% (0/0),0% (0/0),"If you would like to it's okay with me.|I'm reluctant to do this, but proceed if you must.|Your film team may enter.|Under your insistance, the film team may enter.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,36W0OB37HWEH3FGWBS01OX6WXV0ZH4,A123BMISGF28F7,Submitted,Sun Jan 20 08:08:43 PST 2019,Sun Jan 20 08:10:46 PST 2019,Wed Jan 23 08:10:46 PST 2019,,,,123,0% (0/0),0% (0/0),0% (0/0),"Whatever you want to do is fine.|I think it will be okay, but I have some reservations.|It's okay for your film team to come in.|They can come in, if you insist.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,37M28K1J0QDCTD3EN0NNJHV212XAJJ,A1Y4C2TYJFRF1G,Submitted,Sun Jan 20 07:51:57 PST 2019,Sun Jan 20 07:54:14 PST 2019,Wed Jan 23 07:54:14 PST 2019,,,,137,0% (0/0),0% (0/0),0% (0/0),"Ok, however you would like to do that. |I'm not sue, but I guess that will be alright. |Yes your film team can come in. |The film team can come in if you insist,",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,37ZHEEHM6WMJPX3RDCJGTJCN4X5379,A2CMMYJA87O25N,Submitted,Sun Jan 20 07:49:05 PST 2019,Sun Jan 20 07:51:37 PST 2019,Wed Jan 23 07:51:37 PST 2019,,,,152,0% (0/0),0% (0/0),0% (0/0),"Ok, I don't think it will make a large difference either way.|I'm not sure if exactly how it will turn out, however it should be fine.|Alright, if it's very important, we'll allow the film team to work.|I see it means a lot to you, I'll allow them in.",,
33IXYHIZB5ICRAOO6HDGSZ3R6M7E2Z,3VTTFELP3T88Y3D8JVV64203K6GOZ2,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 18",$0.20 ,Sun Jan 20 07:41:21 PST 2019,30,BatchId:3505106;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:41:21 PST 2019,,,38F5OAUN5NCYJ5AQSX8IXDDXN2N7HK,A2MHM7JK1T9XHR,Submitted,Sun Jan 20 07:49:20 PST 2019,Sun Jan 20 07:50:20 PST 2019,Wed Jan 23 07:50:20 PST 2019,,,,60,0% (0/0),0% (0/0),0% (0/0),"Okay, if that's what you want to do.|Well, I'm not too sure about that but I guess it's fine.|Sure, the film team can come in.|If they have to, it's okay for them to come in.",,
