HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,32EYX73OY09D6A0P1ADNL9TNPL4URX,A3C8NUIBNZYMT2,Submitted,Sun Mar 03 13:27:32 PST 2019,Sun Mar 03 13:36:15 PST 2019,Wed Mar 06 13:36:15 PST 2019,,,,523,0% (0/0),0% (0/0),0% (0/0),"Hello Captain Wang, it is an honor to meet you.|Good morning, Captain Wang. How are you doing today sir?|Hello Captain Wang, is everything okay? Your face has me worried sir.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,33JKGHPFYCU9E43OZ15KLF7JB2CMN9,AWEUES6SHPIEB,Submitted,Sun Mar 03 13:27:14 PST 2019,Sun Mar 03 13:28:04 PST 2019,Wed Mar 06 13:28:04 PST 2019,,,,50,0% (0/0),0% (0/0),0% (0/0),"Hello Captain Wang, I am honored to meet you.|Hello Captain Wang, how are you today?|Hello Captain Wang.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,33PPUNGG385US9UZ7XCV2182R3IRZI,A1583QYOFIMYWT,Submitted,Sun Mar 03 13:09:08 PST 2019,Sun Mar 03 13:10:36 PST 2019,Wed Mar 06 13:10:36 PST 2019,,,,88,0% (0/0),0% (0/0),0% (0/0),"Good day, Captain Wang, it is a great honor to meet you.|Good day, Captain Wang. It is an honor to meet you. I hope you are doing well today?|Hello, Captain Wang.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,351SEKWQS0H0SSCBA7RHPAVPXY8MDP,A3ET3D0FXULIXG,Submitted,Sun Mar 03 13:03:01 PST 2019,Sun Mar 03 13:06:57 PST 2019,Wed Mar 06 13:06:57 PST 2019,,,,236,0% (0/0),0% (0/0),0% (0/0),"Hello Captain, it is an honor to be meeting with you Sir|Captain Wang, good afternoon.  How are you and your soldiers faring today?|Captain Wang, Good Morning Sir.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,3634BBTX0OUBUT0GGYOFLHRTS25IFH,A1GV0UZU0T2ORS,Submitted,Sun Mar 03 13:04:16 PST 2019,Sun Mar 03 13:06:06 PST 2019,Wed Mar 06 13:06:06 PST 2019,,,,110,0% (0/0),0% (0/0),0% (0/0),It's an honor to meet you Captain Wang.|I'm honored to meet you Captain. How are you today?|Hello Captain Wang.,,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,373ERPL3YO8Y6XL015NDGD7L67XTR5,A2E5W02ZPUULQZ,Submitted,Sun Mar 03 13:21:43 PST 2019,Sun Mar 03 13:22:45 PST 2019,Wed Mar 06 13:22:45 PST 2019,,,,62,0% (0/0),0% (0/0),0% (0/0),"Nihao, Captain Wang. Pleasure to meet you. |Nihao, Captain Wang. Pleasure to meet you. How was your trip?|Captain.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,373ERPL3YO8Y6XL015NDGD7L67YTR6,AH4YPX4FVWMSY,Submitted,Sun Mar 03 13:39:32 PST 2019,Sun Mar 03 13:44:06 PST 2019,Wed Mar 06 13:44:06 PST 2019,,,,274,0% (0/0),0% (0/0),0% (0/0),"Captain Wang, Good morning.|Glad to meet you. How are you today?|Awesome",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,39L1G8WVWQR5EBOPOW27S9LA8AR313,A1W3PGRM5NNVW8,Submitted,Sun Mar 03 13:31:26 PST 2019,Sun Mar 03 13:33:12 PST 2019,Wed Mar 06 13:33:12 PST 2019,,,,106,0% (0/0),0% (0/0),0% (0/0),"It's a pleasure to meet you, Captain Wang.|It's nice to meet you, Captain.  How are you doing sir?|Greetings, Captain.",,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,39ZSFO5CA8WW8MHCT54EJI7WF48JUS,A2QT6KMF0PSI8O,Submitted,Sun Mar 03 13:02:35 PST 2019,Sun Mar 03 13:05:21 PST 2019,Wed Mar 06 13:05:21 PST 2019,,,,166,0% (0/0),0% (0/0),0% (0/0),Good Day! I am pleased to meet you Captain Wang.|I am pleased to meet you Captain Wang.  I hope you are well.|Nice to meet you.,,
30Z7M1Q8UYKKNC916TKV67Q38YK8A3,3NS4ESZ41PR7PKLJNL33U31LI5AWQ8,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:57:44 PST 2019,30,BatchId:3553108;OriginalHitTemplateId:920937336;,600,259200,Thu Mar 07 12:57:44 PST 2019,,,3AWETUDC92SHZARGHAIMO97B47YIZ4,A3CKT1HSHWUO8Y,Submitted,Sun Mar 03 13:00:21 PST 2019,Sun Mar 03 13:01:32 PST 2019,Wed Mar 06 13:01:32 PST 2019,,,,71,0% (0/0),0% (0/0),0% (0/0),"Good afternoon, Captain Wang.|Good afternoon, Captain Wang. How are you today?|Hello, Captain.",,
