HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3483FV8BEEJB0FT3Q20J4V7ZA7562R,ADW1CCQRMHXBP,Submitted,Sun Mar 03 13:06:03 PST 2019,Sun Mar 03 13:07:22 PST 2019,Wed Mar 06 13:07:22 PST 2019,,,,79,100% (19/19),0% (0/0),0% (0/0),I am honored you joined us Captain.|How are you this morning Captain Wang ?|Hope you are doing good this morning Captain!,,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,34MAJL3QP4NM6AL8BEL9Q7SDKU043G,A26JBK2KRPQX2R,Submitted,Sun Mar 03 13:08:27 PST 2019,Sun Mar 03 13:10:49 PST 2019,Wed Mar 06 13:10:49 PST 2019,,,,142,0% (0/0),0% (0/0),0% (0/0),"Good Morning, i am glad to have you with us today|Good'day how are you doing today, Captain Wang|Top of the Morning to ya",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3BDCF01OGXUJKLPH6RDG2IQ1FHPYL8,A1ICMI2FHOZ9HA,Submitted,Sun Mar 03 13:07:42 PST 2019,Sun Mar 03 13:09:41 PST 2019,Wed Mar 06 13:09:41 PST 2019,,,,119,0% (0/0),0% (0/0),0% (0/0),"Good morning, Captain Wang.  I am honored to meet with you.|Good morning, Captain Wang.  How is your day so far?|Captain Wang, good morning.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3DPNQGW4LLFL3T8QUGJ7XA4XUL064M,A1F0NR3E2VWUIO,Submitted,Sun Mar 03 12:56:22 PST 2019,Sun Mar 03 12:58:51 PST 2019,Wed Mar 06 12:58:51 PST 2019,,,,149,0% (0/0),0% (0/0),0% (0/0),"Good morning Captain Wang, it is an honor to have you join us.|Good morning Captain Wang, how is your day?|Hello, Captain Wang.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3DYGAII7PL8024DT79PT6DWJLIAPQV,A1I3QYJJU5ACFR,Submitted,Sun Mar 03 13:28:10 PST 2019,Sun Mar 03 13:28:49 PST 2019,Wed Mar 06 13:28:49 PST 2019,,,,39,0% (0/0),0% (0/0),0% (0/0),it is an honor to have you join us captain wang|how are you today caption wang|morning captain wang,,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3EO896NRAWVH892NT0E4EMLUWQ1TJB,A1QPGKN28Y7CXP,Submitted,Sun Mar 03 12:59:37 PST 2019,Sun Mar 03 13:00:29 PST 2019,Wed Mar 06 13:00:29 PST 2019,,,,52,0% (0/0),0% (0/0),0% (0/0),"Good morning Captain Wang, i am happy to have you.|How are you today Captain Wang?|Hello Captain Wang.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3ERET4BTVM9TZEZRDF9ZO1KVH8Z9KR,A32HZPPA9NEEP1,Submitted,Sun Mar 03 13:03:14 PST 2019,Sun Mar 03 13:04:58 PST 2019,Wed Mar 06 13:04:58 PST 2019,,,,104,0% (0/0),0% (0/0),0% (0/0),"Greetings, Captain Wang. I can't express how great it is to have you here with us.|Greetings, Captain Wang. How are you fairing?|Captain Wang, hello.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3F6KKYWMNB16AAXBM86H2PKP2OJNDR,A2GHMAPJHOF07G,Submitted,Sun Mar 03 13:04:22 PST 2019,Sun Mar 03 13:05:27 PST 2019,Wed Mar 06 13:05:27 PST 2019,,,,65,0% (0/0),0% (0/0),0% (0/0),"Honored to have you with us Captain Wang. |How are you today Captain Wang?|Captain Wang, good morning.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3FTF2T8WLRIKUET82TS2CCEQ4F8W9A,A258T50TYA9PR2,Submitted,Sun Mar 03 13:09:11 PST 2019,Sun Mar 03 13:11:25 PST 2019,Wed Mar 06 13:11:25 PST 2019,,,,134,0% (0/0),0% (0/0),0% (0/0),"Captain Wang, I am honored to have you join us, Good Morning. |Pleasant Morning today, how are you doing today, Captain Wang?|Captain Wang, greetings on this fine morning.",,
3R6RZGK0XFCJU63HUS9L17SIMNNVY4,3HE4IXOKV79MP8K4N8OEUYBBD9OWPH,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 1",$0.15 ,Sun Mar 03 12:50:04 PST 2019,30,BatchId:3553096;OriginalHitTemplateId:920937336;,600,259200,Wed Mar 06 12:50:04 PST 2019,,,3GNCZX450IN8FO6CIDS7GDHEH0MAP7,A3MS21UJPMHLK0,Submitted,Sun Mar 03 12:53:49 PST 2019,Sun Mar 03 12:57:43 PST 2019,Wed Mar 06 12:57:43 PST 2019,,,,234,0% (0/0),0% (0/0),0% (0/0),"Hello Captain Wang, We are honored to have you with us this morning.|Hello Captain Wang, how are you this morning?|Captain Wang! Good morning.",,
