HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3DL65MZB8DFSBCEKTD8NSW8YWXMEC4,A17V85U8PXS4LJ,Submitted,Sun Jan 20 07:59:34 PST 2019,Sun Jan 20 08:03:34 PST 2019,Wed Jan 23 08:03:34 PST 2019,,,,240,0% (0/0),0% (0/0),0% (0/0),"I'm glad what concerned you has been taken care of, but I have to ask you a few things since that flight delay will affect the number of soldiers there.|Because of the flight delay, let me work with you on your planning.|Are you find with the flight delay, because if not, let me tell you that we have more than enough supplies to take care of our mission together and if needs by, I can change a few things so better accommodate you on your mission.|I do apologize for my intrusion, but I want to let you know that whatever you need during this delay, I will do my best to assist for the fulfillment of your work.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3QJOXOW4XJR5KYQB6221VSDAQBQMEU,A31J3022SQPIMW,Submitted,Sun Jan 20 08:01:46 PST 2019,Sun Jan 20 08:04:41 PST 2019,Wed Jan 23 08:04:41 PST 2019,,,,175,0% (0/0),0% (0/0),0% (0/0),"I hope that the problems were resolved. I heard about the flight delay and have a few questions regarding that.|Hi, I wanted to reach out to you. We have some plans that could help out with the flight delay and the associated issues, and I was hoping to collaborate with you to help.|Are you worried about the flight delay? Please try not to be. We have enough supplies here to where we can assist you in completing the mission even without the supplies that were on the plane. Let's figure this out together.|I'm so sorry for interrupting you during your meeting. Is there anything we can do to help with the flight delay? We'd like to collaborate to help everything go smoothly. Even though the flight is delayed, I have confidence that we can work out an alternative plan.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3K5TEWLKGVB0QQM6GDTJ33UF9X9VIT,A3117JX5H0COWZ,Submitted,Sun Jan 20 08:00:55 PST 2019,Sun Jan 20 08:04:43 PST 2019,Wed Jan 23 08:04:43 PST 2019,,,,228,0% (0/0),0% (0/0),0% (0/0),"Although there has been a delay, we will attempt to keep the mission on track.|We will try to work together to compensate for the delay.|Although there has been a delay, we are confident we can accomplish the mission based on the resources we currently have.|We are sorry for the delay, unfortunately, we can only move past this and try to optimize our current strategy.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3NJM2BJS4W6W833A2ROYM872A4PCPO,A16VWHG05D168X,Submitted,Sun Jan 20 08:07:42 PST 2019,Sun Jan 20 08:17:31 PST 2019,Wed Jan 23 08:17:31 PST 2019,,,,589,0% (0/0),0% (0/0),0% (0/0),"I have already heard about the flight that has been delayed and for the good of the mission I hope that those problems are solved quickly since the soldiers on the ground are the most affected, so I will ask you some questions about it|I learned about the delay in the flight, I shared with you some plans made.|You must be calm remember that we have enough supplies, I know you must be worried about the delay of the flight but for that we are talking, and we have to reach an agreement.|accept my help while the plane arrives",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,34YB12FSQYO34CM2CXSPVVYM3R6GM6,AH2SY93UMSL5F,Submitted,Sun Jan 20 08:16:27 PST 2019,Sun Jan 20 08:18:36 PST 2019,Wed Jan 23 08:18:36 PST 2019,,,,129,0% (0/0),0% (0/0),0% (0/0),I hope your problems have been solved. I have a few questions because I heard the delay will effect how many men you can deploy.|I heard about the flight delay and I want to share my planning and collaborate.|Are you worried about the flight being delayed? I have enough supplies to accomplish the mission even if the flight does not arrive and I know we can make a new arrangement to complete it.|I'm sorry for interrupting. Is there anything I can do to help? I want to make this mission go well even with the plane delay.,,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3Z7EFSHGN9E1HC51OIYFGLT5C3YXCX,A2EED3HLTA96CP,Submitted,Sun Jan 20 08:25:10 PST 2019,Sun Jan 20 08:32:53 PST 2019,Wed Jan 23 08:32:53 PST 2019,,,,463,100% (3/3),0% (0/0),0% (0/0),"I hope your problems were addressed. What affect  will the flight delay have on the troop levels?|I want to put our heads together because I heard about the flight delay.|Is the flight delay a concern for you? We have the supplies, let's get together and move this mission along. I'm sure we can reach an agreement.|Excuse me for interrupting.  May I help here? I want to make this work; I'm sure we can succeed despite the air situation.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3GD6L00D3SX60XWZUE7MO8UG12P1MT,AGWRA2WBNN92I,Submitted,Sun Jan 20 08:37:36 PST 2019,Sun Jan 20 08:41:00 PST 2019,Wed Jan 23 08:41:00 PST 2019,,,,204,0% (0/0),0% (0/0),0% (0/0),I hope that your equipment issues have been solved. I have a few questions just to ensure the ground troops aren't effected.|Let me share with you our op plan and let's work together to sort out any issues.|Are you concerned about the flight being delayed? We have plenty of supplies so we can assist you and your troops with that.|I'm sorry for interrupting. Is there anything that I can do to help? We want to ensure that everything goes smooth.,,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3TOK3KHVJTI8BMWDWA38HMAYZO47OB,A3E5LA62R563X0,Submitted,Sun Jan 20 08:41:49 PST 2019,Sun Jan 20 08:45:21 PST 2019,Wed Jan 23 08:45:21 PST 2019,,,,212,0% (0/0),0% (0/0),0% (0/0),"Hopefully your issues are resolved. I heard about the flight delay that will affect how many soldiers we have on the ground. Can I ask you a few questions about that?|After hearing about the flight delay, I think we should collaborate. I want to share my planning with you.|Are you concerned about the flight delay? It shouldn't be a problem, because our team has enough supplies to work with you to complete the mission successfully. Don't worry; we can work out a deal.|My apologies for interrupting your conversation. Is there anything I can do to help? I want this to go as smoothly as possible despite the plane delay.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,3EWIJTFFVO78HKJ4HXF3XV6XN8S0E0,ASI6KXF2GAUTQ,Submitted,Sun Jan 20 08:43:06 PST 2019,Sun Jan 20 08:46:32 PST 2019,Wed Jan 23 08:46:32 PST 2019,,,,206,0% (0/0),0% (0/0),0% (0/0),"Commander, I hope your mission is back on track. Some of my men were saying that the delay will affect the number of soldiers on the ground - is this correct?|Because of this delay, I think we should collaborate to maximize success of the mission.|Are you concerned about the delay, sir? Our team is more than prepared to collaborate, and we have enough supplies to join our efforts. I'm sure we can work together to finish the mission.|Excuse me, sir, is there anything me and my team can do to assist you? I want to make sure the plane delay has a minimal impact on all of our efforts.",,
3ECKRY5B1QWEDQTMR7CL0PBQJODZI1,3ZBBW13US36OIW4SG9NLM6SI1WKV9R,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 6",$0.20 ,Sun Jan 20 07:57:53 PST 2019,50,BatchId:3505116;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:57:53 PST 2019,,,33PPUNGG385US9UZ7XCV2182K42RZX,A3OLRWACCCCUTU,Submitted,Sun Jan 20 09:03:15 PST 2019,Sun Jan 20 09:05:27 PST 2019,Wed Jan 23 09:05:27 PST 2019,,,,132,0% (0/0),0% (0/0),0% (0/0),"I hope your issues have been resolved.  I have a few questions as I heard there is a flight delay which will impact the number of soliders we have on the ground.|Since there is a flight delay, I'd like to share my planning and collaborate with you.|Are you concerned about the flight delay?  Fortunately we have enough supplies so if we work toether, we can achieve the goals of our mission.  We'll figure this out and come up with a new arrangement.|I'm sorry to inturrupt your important conversation.  Is there anything I can do to be of assistance.  I want to help ensure this mission runs smoothly even though the plane is delayed.",,
