HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,3137ONMDKG55SOUPVZ46INTDKW3GE9,A38JULQ1GHXHTD,Approved,Sun Nov 11 13:11:05 PST 2018,Sun Nov 11 13:15:22 PST 2018,Wed Nov 14 13:15:22 PST 2018,2018-11-14 21:15:42 UTC,,,257,100% (2/2),0% (0/0),0% (0/0),"I hope everything was figured out. I would like to ask a few questions about the mission. I heard your flight was held up and that impacts how many of your soldiers are out there.|I wanted to go over some ideas I had for what we are planning for the mission and try to work together since I was just informed about your flight being delayed.|Oh, is it about your flight delay? We have enough supplies to provide so we can both complete the mission until it gets here. I am confident we will figure out a solution.|I am sorry for my interjection, but this sounds important. Is there anything I can assist with? Due to your flight being delayed I want to ensure I can do what I can to make this mission go accordingly.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,3137ONMDKG55SOUPVZ46INTDKWRGEX,A11BACV6DY5S8M,Approved,Sun Nov 11 10:35:14 PST 2018,Sun Nov 11 10:39:01 PST 2018,Wed Nov 14 10:39:01 PST 2018,2018-11-14 18:39:43 UTC,,,227,92% (11/12),0% (0/0),0% (0/0),"I hope everything worked itself out. If now's a good time, I do have a few questions about your plane delay. Is it true that this will affect how many Chinese soldiers are on the ground?|I heard your plane was delayed, so I thought I'd come over so we can discuss the plans for the mission, and try collaborating in-person|Everything will work out. There's plenty of supplies here so we can do the mission together until it arrives|Sorry to interrupt something that seemed important. Is there anything I can do to help though? After the delay I want to do what I can to make the rest of the mission smoother.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,31UV0MXWNQCJSW7RAMB6Z50GMGK5ID,A3RGXN4L9MCK33,Approved,Sun Nov 11 10:31:27 PST 2018,Sun Nov 11 10:35:17 PST 2018,Wed Nov 14 10:35:17 PST 2018,2018-11-14 18:35:42 UTC,,,230,100% (13/13),0% (0/0),0% (0/0),"I just received word that you had a significant flight delay that will impact Chinese soldiers on the ground. I hope everything is okay. Can I ask you a few questions about the mission?|This plane delay is a good opportunity to work more closely together and for us to share with you our strategy for the mission.|We have an abundance of supplies that can substitute for the ones being delayed by the plane. Let's figure out a way to cooperate.|Pardon the interruption, but I'd like to do everything I can given the plane delay to help make the mission be a success.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,32KTQ2V7RDFOP2ZUYRMF3ECZPLE9MF,A3HLIJUBLECL5T,Approved,Sun Nov 11 09:35:14 PST 2018,Sun Nov 11 09:39:12 PST 2018,Wed Nov 14 09:39:12 PST 2018,2018-11-14 17:39:42 UTC,,,238,100% (1/1),0% (0/0),0% (0/0),"I heard you had a flight delay, which will affect how many Chinese soldiers are on the ground.If it is alright, I have a few questions about the mission. I hope everything was resolved.|Since I just found out your plane was delayed, I wanted to come share what we are planning for the mission in hopes to collaborate more closely.|If it is about the plane being delayed I'm sure we can figure something out. We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives.|With your plane being delayed I'd like to do my best to make the mission go smoothly. I'm sorry to interrupt, it sounded important, but is there anything I can do to help?",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,36AHBNMV1RC0M91PTAFSJ5IWPG8DYR,AL60E28B9HQZP,Approved,Sun Nov 11 09:44:18 PST 2018,Sun Nov 11 09:47:12 PST 2018,Wed Nov 14 09:47:12 PST 2018,2018-11-14 17:47:42 UTC,,,174,100% (13/13),0% (0/0),0% (0/0),"I hope everything worked out. If it's alright, I have some questions about the mission as I head your flight was delayed which will affect how many Chinese soldiers are on the ground.|Well, I wanted to come over to discuss what we are planning for this mission and try to collaborate more, as I just discovered your plan was postponed.|Oh, is this about the plane being delayed? We have enough supplies to compensate so we are able to complete this mission as a team until it arrives. I am sure we will be able to make this work.|I'm sorry to interrupt, it sounded pressing. Is there anything I can do to help you? With your plane being delayed I want to do everything I can to make sure this mission runs smoothly.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,37C0GNLMHF3Y3PRJNRK00EY3Q6CD6O,A1487J8VOJ13YN,Approved,Sun Nov 11 09:25:29 PST 2018,Sun Nov 11 09:32:21 PST 2018,Wed Nov 14 09:32:21 PST 2018,2018-11-14 17:32:42 UTC,,,412,100% (1/1),0% (0/0),0% (0/0),I hope the delay does not impact the mission. I need to ask a few questions regarding the mission.|I want to be forthcoming regarding the details of our mission so we can ensure each others cooperation.|We have enough supplies to finish the mission even though there was a delay in the flight. |What can we do to help? We have resources available to accomplish this mission successfully.,,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,37QW5D2ZRGMR9STPDWCNFRGUX4US81,A3IB7YJHP04OHI,Approved,Sun Nov 11 12:13:01 PST 2018,Sun Nov 11 12:22:31 PST 2018,Wed Nov 14 12:22:31 PST 2018,2018-11-14 20:22:42 UTC,,,570,100% (1/1),0% (0/0),0% (0/0),"I heard you had a flight delay which will affect how many Chinese soldiers are on the ground so I had a few questions if it is alright.  I hope everything went OK. |I just wanted to collaborate more closely with you since I found out your plane was delayed.  I wanted to share some of what we are planning for the mission.|We have more than enough supplies to compensate since the plane is being delayed.  We can surely figure something out until it arrives to accomplish the mission together.|I overheard something that sounded important, but I didn't mean to interrupt.  I know your plane is being delayed and I would like to help you make the mission go smoothly.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,39K0FND3AHF2UL9ZQX0FZ9NJV31MAC,AB4X6HZFPNGYP,Approved,Sun Nov 11 10:11:53 PST 2018,Sun Nov 11 10:17:52 PST 2018,Wed Nov 14 10:17:52 PST 2018,2018-11-14 18:18:42 UTC,,,359,100% (6/6),0% (0/0),0% (0/0),I heard there was a flight delay that may affect how many Chinese soldier are on the ground in time for the mission. I hope this will be resolved soon and I have a few questions about the mission moving forward.|Since I found out that your plane was delayed I would like to share more of our plans for the mission so that we may collaborate more closely.|We should not be worried about the plane delay for now. We have plenty of supplies already on site to compensate for the delay. We can work together to accomplish the mission until it arrives.|I apologize and mean no disrespect for interrupting. I understand your plane will be delayed and I would like to offer my best to assist in making the mission go smoothly in spite of the delay.,,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,3AAJC4I4FGSDULBMZS3M0AMB0UNZJW,A15340BRCER2UO,Approved,Sun Nov 11 11:52:27 PST 2018,Sun Nov 11 11:55:16 PST 2018,Wed Nov 14 11:55:16 PST 2018,2018-11-14 19:55:42 UTC,,,169,100% (3/3),0% (0/0),0% (0/0),"I hope it worked out. I heard there were some delays and it might affect the number of troops on the ground. Can I ask you some questions?|I'd like to share some of our plans with you and try to work out some things together due to your plane delay.|No worries about the plane delay. We have plenty of supplies to help finish the mission together. We can work something out.|Pardon for the interruption, but it did sound important. Can I help with anything, especially with the plane delay. I hope everything goes smoothly.",,
3HXCEECSQMT03Q8RVPYOMD5D5SHYZC,3ML4SXAKAKM99I6MBSWLLUYBY459B0,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 6",$0.25 ,Sun Nov 11 09:24:45 PST 2018,45,BatchId:3431721;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:24:45 PST 2018,,,3CFJTT4SXTQYF0LAYFQ3XPECDM47IJ,A1G84UV90TGHSR,Approved,Sun Nov 11 09:25:29 PST 2018,Sun Nov 11 09:29:53 PST 2018,Wed Nov 14 09:29:53 PST 2018,2018-11-14 17:30:42 UTC,,,264,100% (6/6),0% (0/0),0% (0/0),"I hope everyhting is OK on your end. I did hear that a flight delay may affect Chinese deployment.|I wanted to get us on the same page in light of a flight delay I was just now approsed of, so I'll share our plans.|This is about the flight delay? Don't worry, we can increase our supplies and proceed as a team.|Pardon the intrusion, but do you need asistance? In light of the flight delay I'd like to supply anything you need to keep us on schedule.",,
