HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,32SCWG5HIH47SMU9S0BV08FS4PPP6O,A11BACV6DY5S8M,Approved,Sun Nov 11 10:27:47 PST 2018,Sun Nov 11 10:31:15 PST 2018,Wed Nov 14 10:31:15 PST 2018,2018-11-14 18:31:42 UTC,,,208,92% (11/12),0% (0/0),0% (0/0),"I'm sorry, but this has left me with no choice but to go to one of our commanders to get this to work-there's no alternative.|We each have our orders, and I will not stop until I fulfill mine. That means getting these supplies to the refugees, regardless of what it takes to get it done.|Was that man you were talking to in your chain of command? If so I want to speak with him.|Weren't you and that other gentleman talking aboit this? I'd like to speak with him.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,351SEKWQS0H0SSCBA7RHPAVPG6SDMZ,A1FYMTQ3YSEOQ9,Approved,Sun Nov 11 09:30:44 PST 2018,Sun Nov 11 09:35:36 PST 2018,Wed Nov 14 09:35:36 PST 2018,2018-11-14 17:35:42 UTC,,,292,100% (4/4),0% (0/0),0% (0/0),"I'm sorry to have to go to my commander or your to make this work, but I don't see any other options.|I don't mean to work around you. We are both looking to get these supplies to the refugees, but I need men to accomplish the mission even if it means going above you.|Is the man you were talking to in your chain of command? I'd like to talk to him to find out if there is a way.|Can I talk to the fellow who was here earlier? You both seemed to be talking about this.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,358010RM5ETXGLB1FZTK6DHUNHHXV3,A3RECFJSQ96LH5,Approved,Sun Nov 11 09:38:28 PST 2018,Sun Nov 11 09:41:12 PST 2018,Wed Nov 14 09:41:12 PST 2018,2018-11-14 17:41:42 UTC,,,164,88% (14/16),0% (0/0),0% (0/0),We need to make this work. I would have to go to my commander or yours to solve this. I'm sorry to have to do that but that seems to be the only solution now.|You might have your orders but I also have mine to get these supplies to to the refugees. I'm going to have to find men to accomplish the mission. I probably will have to talk to our chain of command.|There is a way. Who was the guy you were talking to? If he is in your chain of command would you introduce me to him?|How about the guy who was here earlier? Is it alright to talk to him? It seems like you both were talking about this.,,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,37TRT2X24QRHCN86TENJESF89RRBJS,AMOO2P3A36ULC,Approved,Sun Nov 11 10:10:05 PST 2018,Sun Nov 11 10:14:21 PST 2018,Wed Nov 14 10:14:21 PST 2018,2018-11-14 18:14:42 UTC,,,256,100% (14/14),0% (0/0),0% (0/0),"You have left me no choice but to speak to my superior, I do apologize but this must be worked out and I don't see any other way.|We all have our orders but the bottom line is the refugees and supplies. Im really sorry but in order to complete my mission I may have to speak to the chain of command.|I know there is something that can be done. If the man you were speaking to is your superior, I want to talk to him, what is his name?|I noticed you speaking to a guy earlier about this situation, I would like to talk to him.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,37U1UTWH9VMF8DTCY7CIPHBYB208RI,A1D65V0LNF09MP,Approved,Sun Nov 11 10:09:40 PST 2018,Sun Nov 11 10:18:54 PST 2018,Wed Nov 14 10:18:54 PST 2018,2018-11-14 18:19:42 UTC,,,554,100% (9/9),0% (0/0),0% (0/0),"Unfortunately, I don't see any alternative solution here, so you leave me no other choice but to go to either my commander or yours to try to resolve this matter quickly.|Either way, I need extra manpower. We both have our own orders to follow, and I understand that, but at times we need to swallow our pride and go to our chain of command to get these situations worked out. I need to be getting these supplies to these refugees as per my orders, let's both accomplish our orders and work together.|What is his name? The man you were talking to, is he your chain of command? If so, I'd like to request permission to speak with him. This has to work, we can work together on this!|I'd like to talk to the guy who was here earlier, you both were talking about this.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,39JEC7537U19DN06O3XXS0WKMZUVC0,A2X61ARPDQ7ZWX,Approved,Sun Nov 11 09:44:37 PST 2018,Sun Nov 11 09:48:14 PST 2018,Wed Nov 14 09:48:14 PST 2018,2018-11-14 17:48:42 UTC,,,217,100% (9/9),0% (0/0),0% (0/0),"There is no choice, I must go to my commander or yours in order to work this out. I see no other alternative, so I apologize. |We both have our orders, but mine are to get these supplies to refugees. I don't want to step on toes, but I am going to accomplish my mission, even if it means talking to our chain of command to find more men.|There must be another way. Who were you talking to? I would like to talk to him, if hes in your chain of command.|Earlier there was a fellow here? What about talking to him? You both seemed to be talking about this topic.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,3BWI6RSP7G9MZVJO2W0CCAGKLT07ED,AL60E28B9HQZP,Approved,Sun Nov 11 09:41:28 PST 2018,Sun Nov 11 09:44:10 PST 2018,Wed Nov 14 09:44:10 PST 2018,2018-11-14 17:44:42 UTC,,,162,100% (13/13),0% (0/0),0% (0/0),"Well, I have no choice but to go to one of our commanders and try to figure this out. I'm sorry to have to do this, but there does not seem to be another solution.|I understand that you have your orders, but I also have mine-- I must get these supplies to the refugees. I don't mean to work around your plans, but I need to find men to accomplish my mission, even if that means I must talk with our chain of command.|There must be a way. What was the name of that man you were talking with? If he is your chain of command I would like to speak with him.|How about the gentleman who was here earlier? Am I able to talk with him? It appeared that you were both discussing this.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,3CTOC39K37QUAB5GGXB39QTCQ13J7H,A167HKEGYHVS13,Approved,Sun Nov 11 10:23:07 PST 2018,Sun Nov 11 10:26:05 PST 2018,Wed Nov 14 10:26:05 PST 2018,2018-11-14 18:26:42 UTC,,,178,100% (2/2),0% (0/0),0% (0/0),"There is no alternative, I have to go to my commander or yours to get this to work.|My orders are to get these supplies to the refugees.  I need to find men to accomplish this mission even if it means working around you.|There is always a way.  Remind me of the man you were talking to? I'd like to talk to him.|Can I talk to the fellow who was here earlier?  You both were kinda talking about this.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,3EQHHY4HQSS5W51WKYB3ETN073JG5N,A2S751BFHZ6QCS,Approved,Sun Nov 11 09:37:18 PST 2018,Sun Nov 11 09:41:32 PST 2018,Wed Nov 14 09:41:32 PST 2018,2018-11-14 17:41:42 UTC,,,254,100% (5/5),0% (0/0),0% (0/0),"I'm sorry to do this, but my only option is to notify my commander or yours.  We have to get this mission accomplished.|I get that you have to follow your commands, but I also have to follow mine.  I have to get supplies to these refugees, and I need men to do so.  I don't mean to disrespect you, but if I must notify our chain of command then I will.|Where there's a will, there's a way.  Is the man you were speaking with your chain of command?  If so I'd like to speak with him.|Well how about the man who was here earlier?  It appeared as though you were discussing this issue.  May I speak with him?",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,3EWIJTFFVO78HKJ4HXF3XV6XDFYE0O,A1471QMIXXBS17,Approved,Sun Nov 11 10:10:21 PST 2018,Sun Nov 11 10:13:16 PST 2018,Wed Nov 14 10:13:16 PST 2018,2018-11-14 18:13:42 UTC,,,175,94% (15/16),0% (0/0),0% (0/0),"Well, I have no choice but to go to my commander or your commander and try to make this work. Sorry I got ta do that, but I don't see any alternative.|You have your orders, I understand, but I also have mine to get these supplies to refugees. I don't mean working around you, but I'll have to find men to carry out a mission, even if it means talking to our chain of command.|It has to be a way. What was the name of the man you spoke to? I would like to speak to him if he's in your chain of command.|What about the fellow here before? Can I speak to him? It seemed you were both talking about this.",,
39WICJI5ATSZNNB3645YWJ90WRMZ37,34645SSUIBUYQRLAGS5AHGOAE3Z0XO,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 8",$0.25 ,Sun Nov 11 09:28:21 PST 2018,30,BatchId:3431731;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 09:28:21 PST 2018,,,3F6HPJW4JD09UU89HKDN2P6CHHPW28,A3RGXN4L9MCK33,Approved,Sun Nov 11 10:17:13 PST 2018,Sun Nov 11 10:20:08 PST 2018,Wed Nov 14 10:20:08 PST 2018,2018-11-14 18:20:42 UTC,,,175,100% (13/13),0% (0/0),0% (0/0),"I don't want to go to a commander about this, but if you don't stay and help me, I have no choice.|I know you're in a bind, but so am I. I really don't want to bring this to our superiors, but I will if I must.|Please help me here. Who was the man in your chain of command that you were talking to? Maybe I can speak with him.|Or what about the guy who was here before me? Maybe I can talk to him, since it looked like you both were discussing this too.",,
